"OPEID","PELLID","Name","State","Type & Control","Recipients","Awards"
"110200","1102","OUACHITA BAPTIST UNIVERSITY","AR","Private 4 Year","403","1081814"
"997600","9976","OUACHITA TECHNICAL COLLEGE","AR","Public 2 Year","474","1094836.5"
"2087000","13217","OZARKA COLLEGE","AR","Public 2 Year","647","1648050.49"
"110300","1103","PHILANDER SMITH COLLEGE","AR","Private 4 Year","783","2252762"
"110400","1104","PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS","AR","Public 2 Year","1229","3109359.5499999998"
"2202400","15585","PROFESSIONAL COSMETOLOGY EDUCATION CENTER","AR","Proprietary","60","149446"
"2075300","14167","PULASKI TECHNICAL COLLEGE","AR","Public 2 Year","4761","12057582.619999999"
"2111100","12435","RICH MOUNTAIN COMMUNITY COLLEGE","AR","Public 2 Year","439","1068921"
"2569600","17262","SEARCY BEAUTY COLLEGE","AR","Proprietary","83","199946"
"2074600","13858","SOUTH ARKANSAS COMMUNITY COLLEGE","AR","Public 2 Year","725","1714415.8700000001"
"570700","14893","SOUTHEAST ARKANSAS COLLEGE","AR","Public 2 Year","1271","3236951.4900000002"
"110700","1107","SOUTHERN ARKANSAS UNIVERSITY","AR","Public 4 Year","1456","4065456.23"
"773800","7738","SOUTHERN ARKANSAS UNIVERSITY TECH","AR","Public 2 Year","395","980591.37"
"110800","1108","UNIVERSITY OF ARKANSAS","AR","Public 4 Year","3281","8661492"
"111000","1110","UNIVERSITY OF ARKANSAS AT FORT SMITH","AR","Public 4 Year","2890","6928420.3899999997"
"110100","1101","UNIVERSITY OF ARKANSAS AT LITTLE ROCK","AR","Public 4 Year","4445","11056596"
"108500","1085","UNIVERSITY OF ARKANSAS AT MONTICELLO","AR","Public 4 Year","1771","4791182.6100000003"
"108600","1086","UNIVERSITY OF ARKANSAS AT PINE BLUFF","AR","Public 4 Year","2390","7257165.79"
"2073500","14042","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILLE","AR","Public 2 Year","1039","2542266.8399999999"
"573200","5732","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE","AR","Public 2 Year","686","1663016.6499999999"
"524500","5245","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON","AR","Public 2 Year","1029","2305051.3799999999"
"110900","1109","UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES","AR","Public 4 Year","267","762785.90000000002"
"109200","1092","UNIVERSITY OF CENTRAL ARKANSAS","AR","Public 4 Year","3569","9399191.75"
"109400","1094","UNIVERSITY OF THE OZARKS","AR","Private 4 Year","192","507005"
"3214300","32143","VELVATEX COLLEGE OF BEAUTY CULTURE","AR","Proprietary","21","51722"
"110600","1106","WILLIAMS BAPTIST COLLEGE","AR","Private 4 Year","324","828487"
"1001000","10010","AMERICAN SAMOA COMMUNITY COLLEGE","AS","Public 2 Year","1068","2606727.1299999999"
"2199900","15550","AMERICAN INDIAN COLLEGE OF THE ASSEMBLIES OF GOD","AZ","Private 4 Year","55","141058.5"
"2317800","16405","AMERICAN INSTITUTE OF TECHNOLOGY","AZ","Proprietary","524","842487.33999999997"
"2100600","14550","APOLLO COLLEGE","AZ","Proprietary","3543","8072049"
"886400","8864","ARIZONA ACADEMY OF BEAUTY","AZ","Proprietary","82","186905.76999999999"
"1180200","11802","ARIZONA ACADEMY OF BEAUTY - NORTH","AZ","Proprietary","82","197427.31"
"1084700","10847","ARIZONA AUTOMOTIVE INSTITUTE","AZ","Proprietary","934","2264556.6699999999"
"3115000","31150","ARIZONA COLLEGE OF ALLIED HEALTH","AZ","Proprietary","355","655378"
"108100","1081","ARIZONA STATE UNIVERSITY","AZ","Public 4 Year","12567","31810302"
"107100","1071","ARIZONA WESTERN COLLEGE","AZ","Public 2 Year","2783","6170250.1500000004"
"2491500","16730","ART CENTER DESIGN COLLEGE (THE)","AZ","Proprietary","402","970693"
"1180800","11808","ARTISTIC BEAUTY COLLEGES - FLAGSTAFF","AZ","Proprietary","323","688246"
"2220300","15694","ARTISTIC BEAUTY COLLEGES - GLENDALE","AZ","Proprietary","203","462753"
"1234300","12343","ARTISTIC BEAUTY COLLEGES - PHOENIX","AZ","Proprietary","245","541704"
"1293700","12937","ARTISTIC BEAUTY COLLEGES - SCOTTSDALE","AZ","Proprietary","56","132724"
"886500","8865","ARTISTIC BEAUTY COLLEGES - TUCSON","AZ","Proprietary","321","702253"
"3076400","30764","BRYMAN SCHOOL (THE) - PHOENIX","AZ","Proprietary","5583","13246091"
"3097800","30978","CARSTEN INSTITUTE","AZ","Proprietary","117","242649"
"728300","7283","CENTRAL ARIZONA COLLEGE","AZ","Public 2 Year","1615","3411149"
"3072200","30722","CHANDLER-GILBERT COMMUNITY COLLEGE","AZ","Public 2 Year","1173","2291754.3500000001"
"945100","9451","CHAPARRAL COLLEGE","AZ","Proprietary","444","1112648.95"
"2280500","16098","CHARLES OF ITALY BEAUTY COLLEGE","AZ","Proprietary","77","179666.32000000001"
"107200","1072","COCHISE COLLEGE","AZ","Public 2 Year","1968","4453042"
"3100400","31004","COCONINO COUNTY COMMUNITY COLLEGE-FLAGSTAFF LONE TREE CAMPUS & DIST.OF","AZ","Public 2 Year","752","1574157"
"3120300","31203","COLLEGE AMERICA - FLAGSTAFF","AZ","Proprietary","213","631020"
"2174900","15333","COLLINS COLLEGE","AZ","Proprietary","1519","3895856"
"3034400","30344","CONSERVATORY OF RECORDING ARTS & SCIENCES","AZ","Proprietary","299","679927"
"2582700","25827","DESERT INSTITUTE OF THE HEALING ARTS","AZ","Proprietary","99","202546"
"2173300","15324","DEVOE COLLEGE OF BEAUTY","AZ","Proprietary","52","97955.809999999998"
"824600","8246","DINE COLLEGE","AZ","Public 2 Year","1375","2411567.5"
"1085800","10858","EARL'S ACADEMY OF BEAUTY","AZ","Proprietary","182","465325"
"3572300","35723","EAST VALLEY INSTITUTE OF TECHNOLOGY","AZ","Public 2 Year","32","45586"
"107300","1073","EASTERN ARIZONA COLLEGE","AZ","Public 2 Year","1124","2736299"
"3156300","31563","ESTRELLA MOUNTAIN COMMUNITY COLLEGE","AZ","Public 2 Year","1714","3101154.3799999999"
"2295000","16203","EVEREST COLLEGE","AZ","Proprietary","967","1751922"
"830300","8303","GATEWAY COMMUNITY COLLEGE","AZ","Public 2 Year","2423","4469389.0099999998"
"107600","1076","GLENDALE COMMUNITY COLLEGE","AZ","Public 2 Year","4723","8973245.6199999992"
"107400","1074","GRAND CANYON UNIVERSITY","AZ","Proprietary","553","1267596"
"3445300","34453","HDS TRUCK DRIVING INSTITUTE","AZ","Proprietary","107","237064.51000000001"
"2263100","15988","HIGH-TECH INSTITUTE - PHOENIX","AZ","Proprietary","5731","13895583.109999999"
"1218400","14283","INTERNATIONAL ACADEMY OF HAIR DESIGN","AZ","Proprietary","101","219862"
"3347300","33473","INTERNATIONAL BAPTIST COLLEGE","AZ","Private 4 Year","26","75300"
"2218800","15681","INTERNATIONAL INSTITUTE OF THE AMERICAS","AZ","Private 4 Year","2215","6137220"
"2521500","5186","LAMSON COLLEGE","AZ","Proprietary","236","455429"
"2071200","13884","LONG TECHNICAL COLLEGE","AZ","Proprietary","444","1115981"
"2181300","15391","LONG TECHNICAL COLLEGE","AZ","Proprietary","198","485059"
"2192300","15491","MARICOPA BEAUTY COLLEGE","AZ","Proprietary","43","94961.979999999996"
"107700","1077","MESA COMMUNITY COLLEGE","AZ","Public 2 Year","6028","11637811.130000001"
"3081200","30812","METROPOLITAN COLLEGE","AZ","Private 4 Year","84","217967.35000000001"
"1186400","11864","MOHAVE COMMUNITY COLLEGE","AZ","Public 2 Year","1893","4261836"
"2100500","14518","MOTORCYCLE MECHANICS INSTITUTE, DIVISION OF CLINTON TECHNICAL INSTITUT","AZ","Proprietary","3320","8169778.9500000002"
"3004700","30047","MUNDUS INSTITUTE","AZ","Proprietary","52","126762.35000000001"
"3813300","38133","NORTHCENTRAL UNIVERSITY","AZ","Proprietary","35","41831"
"108200","1082","NORTHERN ARIZONA UNIVERSITY","AZ","Public 4 Year","4645","12320331.800000001"
"1186200","11862","NORTHLAND PIONEER COLLEGE","AZ","Public 2 Year","892","1881617"
"2623600","26236","PARADISE VALLEY COMMUNITY COLLEGE","AZ","Public 2 Year","1566","2903113.7999999998"
"107800","1078","PHOENIX COLLEGE","AZ","Public 2 Year","3506","7432865.0800000001"
"2623800","26238","PHOENIX THERAPEUTIC MASSAGE COLLEGE","AZ","Proprietary","124","272987"
"726600","7266","PIMA COUNTY COMMUNITY COLLEGE","AZ","Public 2 Year","8109","18426880"
"2217100","15666","PIMA MEDICAL INSTITUTE","AZ","Proprietary","4511","10808003.189999999"
"2065300","13659","PRESCOTT COLLEGE","AZ","Private 4 Year","368","826663"
"2177500","14483","RIO SALADO COMMUNITY COLLEGE","AZ","Public 2 Year","2508","3441393.23"
"2113800","14740","ROBERTO-VENN SCHOOL OF LUTHIERY","AZ","Proprietary","16","29625"
"3005000","30050","SAFFORD COLLEGE OF BEAUTY CULTURE","AZ","Proprietary","76","224226.85000000001"
"830400","8304","SCOTTSDALE COMMUNITY COLLEGE","AZ","Public 2 Year","1778","3444477.7000000002"
"2616700","26167","SCOTTSDALE CULINARY INSTITUTE","AZ","Proprietary","1120","2845291.5"
"2146600","15001","SOUTH MOUNTAIN COMMUNITY COLLEGE","AZ","Public 2 Year","1669","3254266.9100000001"
"3593300","35933","SOUTHWEST INSTITUTE OF HEALING ARTS","AZ","Proprietary","90","160355"
"711300","7113","SOUTHWESTERN COLLEGE","AZ","Private 4 Year","97","260893"
"1168900","14127","THE REFRIGERATION SCHOOL","AZ","Proprietary","267","589396.06999999995"
"3784400","37844","TOHONO O'ODHAM COMMUNITY COLLEGE","AZ","Private 2 Year","58","127977"
"2561900","25619","TONI AND GUY HAIRDRESSING ACADEMY","AZ","Proprietary","137","284943.12"
"446700","14212","TUCSON COLLEGE","AZ","Proprietary","380","849215"
"3740500","37405","TUCSON DESIGN COLLEGE","AZ","Proprietary","103","230878.89999999999"
"3814300","38143","TURNING POINT BEAUTY COLLEGE","AZ","Proprietary","29","71836.630000000005"
"822100","8221","UNIVERSAL TECHNICAL INSTITUTE","AZ","Proprietary","5239","11927871.49"
"2559000","17188","UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY","AZ","Proprietary","403","999776"
"108300","1083","UNIVERSITY OF ARIZONA (THE)","AZ","Public 4 Year","6953","18610534"
"2098800","14593","UNIVERSITY OF PHOENIX","AZ","Proprietary","61192","128703163.73"
"2171500","14970","WESTERN INTERNATIONAL UNIVERSITY","AZ","Proprietary","18498","35763987.710000001"
"107900","1079","YAVAPAI COLLEGE","AZ","Public 2 Year","1537","3085467.1200000001"
"3662400","36624","ACADEMY EDUCATION SERVICES","CA","Proprietary","120","249046"
"753100","7531","ACADEMY OF ART UNIVERSITY","CA","Proprietary","1890","4351543"
"3098700","30987","ACADEMY OF COURT REPORTING","CA","Proprietary","1065","2631062.0299999998"
"2342400","23424","ACADEMY OF RADIO & TV BROADCASTING","CA","Proprietary","123","304303.87"
"760500","7605","ACADEMY PACIFIC TRAVEL COLLEGE","CA","Proprietary","175","468162"
"3019900","30199","ADELANTE CAREER INSTITUTE","CA","Proprietary","168","399001"
"3736300","37363","ADVANCE BEAUTY COLLEGE","CA","Proprietary","267","612035"
"3786300","37863","ADVANCED COLLEGE","CA","Proprietary","81","99821.940000000002"
"2258600","14046","ALAMEDA BEAUTY COLLEGE","CA","Proprietary","92","224933"
"2282300","14260","ALHAMBRA BEAUTY COLLEGE","CA","Proprietary","245","603504"
"111100","1111","ALLAN HANCOCK COLLEGE","CA","Public 2 Year","1441","3205538.1899999999"
"1111700","11117","ALLIANT INTERNATIONAL UNIVERSITY","CA","Private 4 Year","123","341919"
"2106900","14801","AMERICAN ACADEMY OF DRAMATIC ARTS-WEST","CA","Private 2 Year","89","257600"
"1307400","13074","AMERICAN BEAUTY COLLEGE","CA","Proprietary","52","134881"
"2241800","15829","AMERICAN CAREER COLLEGE","CA","Proprietary","3014","7272966"
"3144400","31444","AMERICAN COLLEGE OF HEALTH PROFESSIONS","CA","Proprietary","77","187902.5"
"3138400","31384","AMERICAN COLLEGE OF MEDICAL TECHNOLOGY","CA","Proprietary","421","1013902.17"
"2099200","14545","AMERICAN CONSERVATORY THEATER FOUNDATION","CA","Private 4 Year","2","6750"
"3225300","32253","AMERICAN INSTITUTE OF HEALTH SCIENCES","CA","Proprietary","85","205300"
"3722300","37223","AMERICAN MEDICAL SCIENCES CENTER","CA","Proprietary","5","10125"
"123200","1232","AMERICAN RIVER COLLEGE","CA","Public 2 Year","6072","13595968.17"
"111300","1113","ANTELOPE VALLEY COLLEGE","CA","Public 2 Year","3548","7365946.1799999997"
"3427500","34275","ANTELOPE VALLEY MEDICAL COLLEGE","CA","Proprietary","384","976193"
"111600","1116","ART CENTER COLLEGE OF DESIGN","CA","Private 4 Year","743","2310155.9199999999"
"723600","7236","ART INSTITUTE OF CALIFORNIA - LOS ANGELES (THE)","CA","Proprietary","3076","7519074.8799999999"
"2327600","16471","ART INSTITUTE OF CALIFORNIA - SAN DIEGO","CA","Proprietary","841","2007146.22"
"2595600","25956","ASIAN - AMERICAN INTERNATIONAL BEAUTY COLLEGE","CA","Proprietary","154","438748"
"902200","13988","ASSOCIATED TECHNICAL COLLEGE","CA","Proprietary","652","2207827"
"2553500","17135","ASSOCIATED TECHNICAL COLLEGE -","CA","Proprietary","86","229944"
"3740400","37404","ATI COLLEGE","CA","Proprietary","7","9317"
"3598300","35983","AVALON BEAUTY COLLEGE","CA","Proprietary","40","124692"
"2519800","16894","AVANCE BEAUTY COLLEGE","CA","Proprietary","59","168389"
"111700","1117","AZUSA PACIFIC UNIVERSITY","CA","Private 4 Year","1036","2258419"
"111800","1118","BAKERSFIELD COLLEGE","CA","Public 2 Year","7719","16726050.16"
"3067400","30674","BALDWIN PARK ADULT SCHOOL","CA","Public 2 Year","142","116451"
"111900","1119","BARSTOW COMMUNITY COLLEGE","CA","Public 2 Year","1162","2582819.5"
"705000","7050","BAY VISTA COLLEGE OF BEAUTY","CA","Proprietary","182","472272.17999999999"
"112100","1121","BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD","CA","Private 4 Year","260","619373.04000000004"
"3266300","32663","BETHESDA CHRISTIAN UNIVERSITY","CA","Private 4 Year","31","97060"
"112200","1122","BIOLA UNIVERSITY","CA","Private 4 Year","857","2090948.7"
"2065500","13703","BROOKS COLLEGE","CA","Proprietary","1238","2762704.8999999999"
"112300","1123","BROOKS INSTITUTE OF PHOTOGRAPHY -","CA","Proprietary","1041","2894083.4100000001"
"2543400","17050","BROWNSON TECHNICAL SCHOOL","CA","Proprietary","63","135308.54000000001"
"716400","7164","BRYAN COLLEGE OF COURT REPORTING","CA","Proprietary","163","350145"
"760600","7606","BRYMAN COLLEGE","CA","Proprietary","978","1785400"
"809000","8090","BRYMAN COLLEGE","CA","Proprietary","1486","3177677"
"1102400","11024","BRYMAN COLLEGE","CA","Proprietary","2532","4872587"
"1110700","11107","BRYMAN COLLEGE","CA","Proprietary","882","1591694"
"1110900","11109","BRYMAN COLLEGE","CA","Proprietary","808","1683845"
"1112100","11121","BRYMAN COLLEGE","CA","Proprietary","1595","2728447"
"1112300","11123","BRYMAN COLLEGE","CA","Proprietary","1870","3750422"
"3195400","31954","BRYMAN COLLEGE","CA","Proprietary","319","617790"
"449400","4494","BRYMAN COLLEGE","CA","Proprietary","1256","2605492"
