"OPEID","PELLID","Name","State","Type & Control","Recipients","Awards"
"106100","1061","ALASKA PACIFIC UNIVERSITY","AK","Private 4 Year","151","357124"
"3160300","31603","ALASKA VOCATIONAL TECHNICAL CENTER","AK","Public 2 Year","96","248091.70999999999"
"2541000","17066","CAREER ACADEMY","AK","Proprietary","258","578814.06999999995"
"2576900","17377","CHARTER COLLEGE","AK","Proprietary","265","548322.68000000005"
"3461300","34613","ILISAGVIK COLLEGE","AK","Public 2 Year","33","67522"
"106200","1062","SHELDON JACKSON COLLEGE","AK","Private 4 Year","72","178509"
"1146200","11462","UNIVERSITY OF ALASKA - ANCHORAGE","AK","Public 4 Year","2419","5123342.4800000004"
"106300","1063","UNIVERSITY OF ALASKA FAIRBANKS","AK","Public 4 Year","1359","3136355"
"106500","1065","UNIVERSITY OF ALASKA SOUTHEAST","AK","Public 4 Year","345","708984"
"100200","1002","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","AL","Public 4 Year","3575","9821064.0199999996"
"103400","1034","ALABAMA SOUTHERN COMMUNITY COLLEGE","AL","Public 2 Year","955","2430215.0899999999"
"3032500","30325","ALABAMA STATE COLLEGE OF BARBER STYLING","AL","Proprietary","19","51500.25"
"100500","1005","ALABAMA STATE UNIVERSITY","AL","Public 4 Year","3602","10663562"
"100800","1008","ATHENS STATE UNIVERSITY","AL","Public 4 Year","1001","2341895"
"100900","1009","AUBURN UNIVERSITY","AL","Public 4 Year","3013","7820446"
"831000","8310","AUBURN UNIVERSITY MONTGOMERY","AL","Public 4 Year","1698","4313927"
"573300","5733","BEVILL STATE COMMUNITY COLLEGE","AL","Public 2 Year","2746","6564465.2199999997"
"101200","1012","BIRMINGHAM SOUTHERN COLLEGE","AL","Private 4 Year","172","428015"
"103000","1030","BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS","AL","Public 2 Year","3771","10187327.810000001"
"3783300","37833","BLUE CLIFF CAREER COLLEGE","AL","Proprietary","69","139371.89999999999"
"101300","1013","CALHOUN COMMUNITY COLLEGE-DECATUR","AL","Public 2 Year","3344","7158911.3799999999"
"2341000","16592","CAPPS COLLEGE","AL","Proprietary","1131","2368698.0499999998"
"3361400","33614","CAPPS COLLEGE","AL","Proprietary","462","949567"
"100700","1007","CENTRAL ALABAMA COMMUNITY COLLEGE","AL","Public 2 Year","1334","3215655.79"
"1218200","12182","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","AL","Public 2 Year","1271","3058691.8700000001"
"1055400","10554","CONCORDIA COLLEGE","AL","Private 4 Year","816","2238316.3700000001"
"101500","1015","ENTERPRISE-OZARK COMMUNITY COLLEGE","AL","Public 2 Year","881","2049782.9099999999"
"106000","1060","FAULKNER STATE COMMUNITY COLLEGE","AL","Public 2 Year","1649","3712158.27"
"100300","1003","FAULKNER UNIVERSITY","AL","Private 4 Year","1728","4248662.5800000001"
"446200","4462","GADSDEN BUSINESS COLLEGE","AL","Proprietary","143","238959"
"101700","1017","GADSDEN STATE COMMUNITY COLLEGE","AL","Public 2 Year","2595","6185759.9000000004"
"2323800","16445","GAITHER & COMPANY BEAUTY COLLEGE","AL","Proprietary","46","123753.50999999999"
"101800","1018","GEORGE C. WALLACE COMMUNITY COLLEGE","AL","Public 2 Year","2150","3931875.6899999999"
"787100","7871","GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS","AL","Public 2 Year","4114","7369094.1600000001"
"569900","9980","GEORGE CORLEY WALLACE STATE COMMUNITY COLLEGE-CLANTON EXTENTION","AL","Public 2 Year","1705","4076628.6699999999"
"573400","5734","H. COUNCILL TRENHOLM STATE TECHNICAL COLLEGE","AL","Public 2 Year","1127","1785962.76"
"2199700","15370","HERITAGE CHRISTIAN UNIVERSITY","AL","Private 4 Year","64","152188"
"1019300","10193","HERZING COLLEGE","AL","Proprietary","404","960453"
"101900","1019","HUNTINGDON COLLEGE","AL","Private 4 Year","240","596750"
"526000","5260","J F DRAKE STATE TECHNICAL COLLEGE","AL","Public 2 Year","661","1555649.1899999999"
"102000","1020","JACKSONVILLE STATE UNIVERSITY","AL","Public 4 Year","3076","8316560"
"102100","1021","JEFFERSON DAVIS COMMUNITY COLLEGE","AL","Public 2 Year","884","2021448.78"
"102200","1022","JEFFERSON STATE COMMUNITY COLLEGE","AL","Public 2 Year","2228","4284139"
"102300","1023","JUDSON COLLEGE","AL","Private 4 Year","151","391326.53999999998"
"105900","1059","LAWSON STATE COMMUNITY COLLEGE","AL","Public 2 Year","1953","5414362"
"105901","5704","LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS","AL","Public 2 Year","970","1728192"
"898800","8988","LURLEEN B. WALLACE COMMUNITY COLLEGE","AL","Public 2 Year","887","2257112.23"
"102600","1026","MARION MILITARY INSTITUTE","AL","Private 2 Year","68","176222"
"102800","1028","MILES COLLEGE","AL","Private 4 Year","1665","4887976.4000000004"
"103100","1031","NORTHEAST ALABAMA COMMUNITY COLLEGE","AL","Public 2 Year","1317","3029286.0699999998"
"569700","5697","NORTHWEST-SHOALS COMMUNITY COLLEGE","AL","Public 2 Year","2304","5766259.1900000004"
"103300","1033","OAKWOOD COLLEGE","AL","Private 4 Year","809","2338044.5499999998"
"2296000","16217","PRINCE INSTITUTE OF PROFESSIONAL STUDIES","AL","Proprietary","46","118211"
"569200","5692","REID STATE TECHNICAL COLLEGE","AL","Public 2 Year","548","951945"
"2605500","26055","REMINGTON COLLEGE - MOBILE CAMPUS","AL","Proprietary","3336","6810114.4299999997"
"103600","1036","SAMFORD UNIVERSITY","AL","Private 4 Year","402","992850.96999999997"
"569100","5691","SHELTON STATE COMMUNITY COLLEGE","AL","Public 2 Year","3052","7363720.2800000003"
"103800","1038","SNEAD STATE COMMUNITY COLLEGE","AL","Public 2 Year","1069","2502661.3100000001"
"2270400","13857","SOUTHEASTERN BIBLE COLLEGE","AL","Private 4 Year","118","314439"
"3459300","34593","SOUTHEASTERN SCHOOL OF COSMETOLOGY","AL","Private 2 Year","182","456003.5"
"2503400","16885","SOUTHERN CHRISTIAN UNIVERSITY","AL","Private 4 Year","253","642764"
"1123700","11237","SOUTHERN COMMUNITY COLLEGE","AL","Private 2 Year","119","265343"
"104000","1040","SOUTHERN UNION STATE COMMUNITY COLLEGE","AL","Public 2 Year","1827","4555328.0800000001"
"104100","1041","SPRING HILL COLLEGE","AL","Private 4 Year","343","926364"
"104400","1044","STILLMAN COLLEGE","AL","Private 4 Year","860","2536000"
"104600","1046","TALLADEGA COLLEGE","AL","Private 4 Year","283","849626"
"104700","1047","TROY STATE UNIVERSITY","AL","Public 4 Year","7145","17608999.969999999"
"105000","1050","TUSKEGEE UNIVERSITY","AL","Private 4 Year","1229","3686805.73"
"2170600","21706","UNITED STATES SPORTS ACADEMY","AL","Private 4 Year","17","21522"
"105100","1051","UNIVERSITY OF ALABAMA","AL","Public 4 Year","3914","10492077"
"105200","1052","UNIVERSITY OF ALABAMA AT BIRMINGHAM","AL","Public 4 Year","3704","9423616"
"105500","1055","UNIVERSITY OF ALABAMA IN HUNTSVILLE","AL","Public 4 Year","1420","3657914"
"102900","1029","UNIVERSITY OF MOBILE","AL","Private 4 Year","798","2009412"
"100400","1004","UNIVERSITY OF MONTEVALLO","AL","Public 4 Year","758","2018511"
"101600","1016","UNIVERSITY OF NORTH ALABAMA","AL","Public 4 Year","1603","4173173"
"105700","1057","UNIVERSITY OF SOUTH ALABAMA","AL","Public 4 Year","3492","9113339"
"102400","1024","UNIVERSITY OF WEST ALABAMA","AL","Public 4 Year","882","2498102.6600000001"
"3010600","30106","VIRGINIA COLLEGE","AL","Proprietary","7041","15405244"
"3065100","30651","ARKADELPHIA BEAUTY COLLEGE","AR","Proprietary","46","120867.78"
"108700","1087","ARKANSAS BAPTIST COLLEGE","AR","Private 4 Year","176","512131"
"3005100","30051","ARKANSAS BEAUTY SCHOOL","AR","Proprietary","70","141038"
"3007600","30076","ARKANSAS BEAUTY SCHOOL/CONWAY","AR","Proprietary","57","96660"
"3292300","32923","ARKANSAS CAREER TRAINING INSTITUTE","AR","Public 2 Year","35","45091.510000000002"
"3023400","30234","ARKANSAS COLLEGE OF BARBERING & HAIR DESIGN","AR","Proprietary","107","282882.27000000002"
"1286000","12860","ARKANSAS NORTHEASTERN COLLEGE","AR","Public 2 Year","1194","2906741.7999999998"
"109000","1090","ARKANSAS STATE UNIVERSITY","AR","Public 4 Year","5804","15210969"
"109100","1091","ARKANSAS STATE UNIVERSITY - BEEBE","AR","Public 2 Year","1135","2772325.3100000001"
"108900","1089","ARKANSAS TECH UNIVERSITY","AR","Public 4 Year","2915","7621538.25"
"2363500","15099","ARTHUR'S BEAUTY COLLEGE","AR","Proprietary","79","167593"
"2538500","17020","ARTHUR'S BEAUTY COLLEGE","AR","Proprietary","322","668187"
"3127200","31272","ASKINS VO TECH","AR","Proprietary","9","12368.299999999999"
"3105200","31052","BAPTIST HEALTH MEDICAL CENTER","AR","Private 2 Year","414","835748.19999999995"
"2260400","14554","BEE JAY'S HAIRSTYLING ACADEMY","AR","Proprietary","28","49221.139999999999"
"2052200","11948","BLACK RIVER TECHNICAL COLLEGE","AR","Public 2 Year","1153","2678573"
"3212300","32123","BLYTHEVILLE ACADEMY OF COSMETOLOGY","AR","Proprietary","29","74470.179999999993"
"2341700","16596","CAREER ACADEMY OF HAIR DESIGN","AR","Proprietary","67","138097"
"109300","1093","CENTRAL BAPTIST COLLEGE","AR","Private 4 Year","155","390129"
"2220900","12432","COSSATOT COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS","AR","Public 2 Year","514","1330896.3300000001"
"3912300","39123","CROSSETT SCHOOL OF COSMETOLOGY","AR","Proprietary","11","26784"
"109500","1095","CROWLEY'S RIDGE COLLEGE","AR","Private 2 Year","79","222399"
"704400","13583","CROWLEY'S RIDGE TECHNICAL INSTITUTE","AR","Public 2 Year","318","753827.26000000001"
"3116800","31168","DELUXE BEAUTY SCHOOL","AR","Proprietary","18","48655.160000000003"
"1226000","12260","EAST ARKANSAS COMMUNITY COLLEGE","AR","Public 2 Year","928","2222926.52"
"2272400","16041","EASTERN COLLEGE OF HEALTH VOCATIONS","AR","Proprietary","683","1374003"
"3124900","31249","EATON BEAUTY STYLIST COLLEGE","AR","Proprietary","18","38614"
"3855300","38553","ECCLESIA COLLEGE","AR","Private 4 Year","11","35525"
"792100","8070","FAYETTEVILLE BEAUTY COLLEGE","AR","Proprietary","47","104686.91"
"109700","1097","HARDING UNIVERSITY","AR","Private 4 Year","1313","3638396.4399999999"
"109800","1098","HENDERSON STATE UNIVERSITY","AR","Public 4 Year","1580","4280374.9699999997"
"109900","1099","HENDRIX COLLEGE","AR","Private 4 Year","217","588513"
"3007100","30071","HOT SPRINGS BEAUTY COLLEGE","AR","Proprietary","71","181686"
"2330800","16498","JEFFERSON SCHOOL OF NURSING","AR","Private 2 Year","55","98256"
"110000","1100","JOHN BROWN UNIVERSITY","AR","Private 4 Year","550","1363159.25"
"2525800","16925","LEES SCHOOL OF COSMETOLOGY","AR","Proprietary","41","92998"
"3519400","35194","LYNNDALE FUNDAMENTALS OF BEAUTY SCHOOL","AR","Proprietary","28","81937.179999999993"
"108800","1088","LYON COLLEGE","AR","Private 4 Year","227","612657"
"3254300","32543","MARGARET'S  HAIR ACADEMY","AR","Proprietary","45","98076.229999999996"
"2287400","16123","MARSHA KAY BEAUTY COLLEGE","AR","Proprietary","25","69543"
"1074100","10741","MELLIE'S BEAUTY COLLEGE","AR","Proprietary","36","60932"
"2348200","15862","MID-SOUTH COMMUNITY COLLEGE","AR","Public 2 Year","795","1678522.6200000001"
"1210500","12105","NATIONAL PARK COMMUNITY COLLEGE","AR","Public 2 Year","1317","3063552.8399999999"
"2284200","16053","NEW TYLER BARBER COLLEGE","AR","Proprietary","100","279260.07000000001"
"1226100","12261","NORTH ARKANSAS COLLEGE","AR","Public 2 Year","1260","3173465"
"3688300","36883","NORTHWEST ARKANSAS AVIATION TECHNOLOGIES CENTER","AR","Private 2 Year","65","149664.07000000001"
"3063300","30633","NORTHWEST ARKANSAS COMMUNITY COLLEGE","AR","Public 2 Year","1224","2430253"
"2073700","14044","NORTHWEST TECHNICAL INSTITUTE","AR","Public 2 Year","200","345114"
