"OPEID","PELLID","NAME","State",,"Awards","Recipients"
"2522800","16924","FOX COLLEGE","IL",2004,"514069.44","205"
"456000","4560","GEM CITY COLLEGE","IL",2004,"92627","47"
"914500","9145","GOVERNORS STATE UNIVERSITY","IL",2004,"2136696","888"
"893800","8938","GRAHAM HOSPITAL SCHOOL OF NURSING","IL",2004,"112791","35"
"168400","1684","GREENVILLE COLLEGE","IL",2004,"1146648","482"
"2261200","15965","HAIR PROFESSIONALS ACADEMY OF COSMETOLOGY","IL",2004,"113480","56"
"2498200","16841","HAIR PROFESSIONALS ACADEMY OF COSMETOLOGY","IL",2004,"159593","84"
"2332200","16504","HAIR PROFESSIONALS CAREER COLLEGE","IL",2004,"77329","36"
"2587700","25877","HAIR PROFESSIONALS CAREER COLLEGE","IL",2004,"150136","70"
"2262100","15970","HAIR PROFESSIONALS SCHOOL OF COSMETOLOGY","IL",2004,"95765","50"
"3002000","30020","HAIRMASTERS INSTITUTE OF COSMETOLOGY","IL",2004,"159182","65"
"2599500","25995","HANOVER PARK COLLEGE OF BEAUTY CULTURE","IL",2004,"81504","35"
"2055200","13601","HARRINGTON COLLEGE OF DESIGN","IL",2004,"657231.68000000005","348"
"3083800","30838","HEARTLAND COMMUNITY COLLEGE","IL",2004,"2637569.3900000001","1446"
"168500","1685","HEBREW THEOLOGICAL COLLEGE","IL",2004,"369094","132"
"168100","1681","HIGHLAND COMMUNITY COLLEGE","IL",2004,"1860291.74","959"
"3101800","31018","ILLINOIS CENTER FOR BROADCASTING","IL",2004,"243166","118"
"675300","6753","ILLINOIS CENTRAL COLLEGE","IL",2004,"4510362.0599999996","2289"
"168800","1688","ILLINOIS COLLEGE","IL",2004,"856981","350"
"913500","16295","ILLINOIS EASTERN COMMUNITY COLLEGE SYSTEM OFFICE","IL",2004,"3659707","1520"
"1258400","12584","ILLINOIS INSTITUTE OF ART (THE)","IL",2004,"3286462.0299999998","1467"
"169100","1691","ILLINOIS INSTITUTE OF TECHNOLOGY","IL",2004,"1152814.5","419"
"3099800","30998","ILLINOIS SCHOOL OF HEALTH CAREERS","IL",2004,"1181690","432"
"169200","1692","ILLINOIS STATE UNIVERSITY","IL",2004,"9024982.4600000009","3766"
"170500","1705","ILLINOIS VALLEY COMMUNITY COLLEGE","IL",2004,"2046439.4299999999","965"
"3669300","36693","ILLINOIS WELDING SCHOOL","IL",2004,"178699","57"
"169600","1696","ILLINOIS WESLEYAN UNIVERSITY","IL",2004,"552287","233"
"2160300","15231","INTERNATIONAL ACADEMY OF DESIGN AND TECHNOLOGY","IL",2004,"5281126.6799999997","2349"
"807600","8076","JOHN A. LOGAN COLLEGE","IL",2004,"4328233","1778"
"2166800","15276","JOHN AMICO'S SCHOOL OF HAIR DESIGN","IL",2004,"106571","42"
"1281300","12813","JOHN WOOD COMMUNITY COLLEGE","IL",2004,"2388867.6499999999","1267"
"169900","1699","JOLIET JUNIOR COLLEGE","IL",2004,"3167682.1800000002","1620"
"170000","1700","JUDSON COLLEGE","IL",2004,"854037","365"
"2563300","17267","KANKAKEE ACADEMY OF HAIR DESIGN","IL",2004,"190172","97"
"769000","7690","KANKAKEE COMMUNITY COLLEGE","IL",2004,"1568337.05","797"
"170100","1701","KASKASKIA COLLEGE","IL",2004,"3437901.0600000001","1467"
"170300","1703","KENDALL COLLEGE","IL",2004,"443831.66999999998","201"
"768400","7684","KISHWAUKEE COLLEGE","IL",2004,"2195769.98","994"
"170400","1704","KNOX COLLEGE","IL",2004,"678463","273"
"2312300","16350","LA JAMES COLLEGE OF HAIRSTYLING","IL",2004,"110703.81","39"
"170600","1706","LAKE FOREST COLLEGE","IL",2004,"848914","316"
"764400","7644","LAKE LAND COLLEGE","IL",2004,"4021313.0600000001","1810"
"1050100","10501","LAKEVIEW COLLEGE OF NURSING","IL",2004,"114523.12","46"
"1317800","13178","LAMONT'S INTERNATIONAL SCHOOL OF COSMETOLOGY","IL",2004,"93862","40"
"1002000","10020","LEWIS & CLARK COMMUNITY COLLEGE","IL",2004,"3671342.7200000002","1825"
"170700","1707","LEWIS UNIVERSITY","IL",2004,"1887593.25","756"
"2527600","16942","LEXINGTON COLLEGE","IL",2004,"77031.5","27"
"170800","1708","LINCOLN CHRISTIAN COLLEGE AND SEMINARY","IL",2004,"683543","309"
"170900","1709","LINCOLN COLLEGE","IL",2004,"1357302","537"
"717000","7170","LINCOLN LAND COMMUNITY COLLEGE","IL",2004,"3270544.1800000002","1781"
"1031600","10316","LINCOLN TECHNICAL INSTITUTE","IL",2004,"3375796.0499999998","1507"
"171000","1710","LOYOLA UNIVERSITY CHICAGO","IL",2004,"5599596","2167"
"2228100","14120","MAC DANIEL'S BEAUTY SCHOOL","IL",2004,"273671","110"
"171600","1716","MACCORMAC COLLEGE","IL",2004,"750416","329"
"171700","1717","MACMURRAY COLLEGE","IL",2004,"851523.70999999996","344"
"769100","7691","MCHENRY COUNTY COLLEGE","IL",2004,"1271343.1799999999","685"
"172200","1722","MCKENDREE COLLEGE","IL",2004,"1471720","609"
"622800","6228","METHODIST MEDICAL CENTER OF ILLINOIS SCHOOL OF NURSING","IL",2004,"50175","18"
"456800","4568","MIDSTATE COLLEGE","IL",2004,"990636.81000000006","501"
