"OPEID","Institution","State","Recipients","Awards"
"106100","ALASKA PACIFIC UNIVERSITY","AK","110","268100"
"3160300","ALASKA VOCATIONAL TECHNICAL CENTER","AK","79","206445.60999999999"
"2541000","CAREER ACADEMY","AK","244","537801.97999999998"
"2576900","CHARTER COLLEGE","AK","260","506867.96000000002"
"3461300","ILISAGVIK COLLEGE","AK","94","196369"
"106200","SHELDON JACKSON COLLEGE","AK","69","161015.41"
"1146200","UNIVERSITY OF ALASKA - ANCHORAGE","AK","2257","4799012"
"106300","UNIVERSITY OF ALASKA FAIRBANKS","AK","1280","2952984"
"106500","UNIVERSITY OF ALASKA SOUTHEAST","AK","314","669813"
"100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","AL","3242","9000135"
"103400","ALABAMA SOUTHERN COMMUNITY COLLEGE","AL","947","2560714.4500000002"
"3032500","ALABAMA STATE COLLEGE OF BARBER STYLING","AL","37","109319"
"100500","ALABAMA STATE UNIVERSITY","AL","3810","11036183.699999999"
"100800","ATHENS STATE UNIVERSITY","AL","887","2076359"
"100900","AUBURN UNIVERSITY","AL","3057","7884228"
"831000","AUBURN UNIVERSITY MONTGOMERY","AL","1626","4070073.6499999999"
"570400","BESSEMER STATE TECHNICAL COLLEGE","AL","1032","1752941.8500000001"
"573300","BEVILL STATE COMMUNITY COLLEGE","AL","759","1754643.6100000001"
"573301","BEVILL STATE COMMUNITY COLLEGE - BREWER CAMPUS","AL","610","1445103.7"
"573302","BEVILL STATE COMMUNITY COLLEGE - HAMILTON CAMPUS","AL","632","1564776.1799999999"
"573305","BEVILL STATE COMMUNITY COLLEGE - WALKER COLLEGE CAMPUS","AL","678","1576708"
"101200","BIRMINGHAM SOUTHERN COLLEGE","AL","172","445231"
"103000","BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS","AL","4312","11145000.800000001"
"101300","CALHOUN COMMUNITY COLLEGE-DECATUR","AL","3542","7740969.96"
"2341000","CAPPS COLLEGE","AL","1097","2186152"
"3361400","CAPPS COLLEGE","AL","158","338831"
"100700","CENTRAL ALABAMA COMMUNITY COLLEGE","AL","1120","1950784.6799999999"
"1218200","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","AL","1255","3161707"
"1055400","CONCORDIA COLLEGE","AL","855","2340301.0299999998"
"569800","DOUGLAS MACARTHUR STATE TECHNICAL COLLEGE","AL","454","748638"
"101500","ENTERPRISE-OZARK COMMUNITY COLLEGE","AL","793","1893985.97"
"106000","FAULKNER STATE COMMUNITY COLLEGE","AL","1617","3677683"
"100300","FAULKNER UNIVERSITY","AL","1586","3931104.0699999998"
"446200","GADSDEN BUSINESS COLLEGE","AL","266","566507.68000000005"
"101700","GADSDEN STATE COMMUNITY COLLEGE","AL","2122","4993614"
"101706","GADSDEN STATE COMMUNITY COLLEGE - HARRY M. AYERS CAMPUS","AL","1131","2288085.0499999998"
"2323800","GAITHER & COMPANY BEAUTY COLLEGE","AL","53","141437.66"
"101800","GEORGE C. WALLACE COMMUNITY COLLEGE","AL","2489","4836469.5199999996"
"787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS","AL","2603","6758960.0999999996"
"569900","GEORGE CORLEY WALLACE STATE COMMUNITY COLLEGE-CLANTON EXTENTION","AL","1550","3815314.0600000001"
"2199700","HERITAGE CHRISTIAN UNIVERSITY","AL","71","162181"
"1019300","HERZING COLLEGE","AL","422","974949"
"101900","HUNTINGDON COLLEGE","AL","194","475103"
"526000","J F DRAKE STATE TECHNICAL COLLEGE","AL","666","1537412.5600000001"
"102000","JACKSONVILLE STATE UNIVERSITY","AL","3134","8318045"
"102100","JEFFERSON DAVIS COMMUNITY COLLEGE","AL","974","2411904.73"
"102200","JEFFERSON STATE COMMUNITY COLLEGE","AL","1985","4304626"
"569300","JOHN M. PATTERSON STATE TECHNICAL COLLEGE","AL","632","1066187.9199999999"
"102300","JUDSON COLLEGE","AL","156","384317.32000000001"
"105900","LAWSON STATE COMMUNITY COLLEGE","AL","1924","5182152.8499999996"
"898800","LURLEEN B. WALLACE STATE JUNIOR COLLEGE-","AL","475","1284663.5"
"102600","MARION MILITARY INSTITUTE","AL","66","171660"
"102800","MILES COLLEGE","AL","1669","4835681.5"
"103100","NORTHEAST ALABAMA COMMUNITY COLLEGE","AL","1201","2593832"
"569702","NORTHWEST - SHOALS COMMUNITY COLLEGE - PHIL CAMPBELL CAMPUS","AL","521","1308929.3100000001"
"569700","NORTHWEST-SHOALS COMMUNITY COLLEGE","AL","2125","5141395.3200000003"
"103300","OAKWOOD COLLEGE","AL","795","2225767"
"2296000","PRINCE INSTITUTE OF PROFESSIONAL STUDIES","AL","69","152435.51999999999"
"569200","REID STATE TECHNICAL COLLEGE","AL","698","1378778"
"2605500","REMINGTON COLLEGE - MOBILE CAMPUS","AL","2510","5542091"
"103600","SAMFORD UNIVERSITY","AL","385","960694"
"569100","SHELTON STATE COMMUNITY COLLEGE","AL","3120","7495608.3200000003"
"103800","SNEAD STATE COMMUNITY COLLEGE","AL","762","1787296.5900000001"
"2270400","SOUTHEASTERN BIBLE COLLEGE","AL","107","233612.75"
"3459300","SOUTHEASTERN SCHOOL OF COSMETOLOGY","AL","171","417091.65000000002"
"2503400","SOUTHERN CHRISTIAN UNIVERSITY","AL","205","492911"
"1123700","SOUTHERN COMMUNITY COLLEGE","AL","71","196581.82999999999"
"104000","SOUTHERN UNION STATE COMMUNITY COLLEGE","AL","1868","4630018.2999999998"
"104100","SPRING HILL COLLEGE","AL","378","943116"
"104400","STILLMAN COLLEGE","AL","1129","3407871"
"104600","TALLADEGA COLLEGE","AL","340","1041501.4"
"573400","TRENHOLM STATE TECHNICAL COLLEGE","AL","755","1423506.3200000001"
"104700","TROY STATE UNIVERSITY","AL","4519","10707377.5"
"105000","TUSKEGEE UNIVERSITY","AL","1377","4189806.9500000002"
"105100","UNIVERSITY OF ALABAMA","AL","3862","10586481.5"
"105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","AL","3271","8610015"
"105500","UNIVERSITY OF ALABAMA AT HUNTSVILLE","AL","1286","3322255"
"102900","UNIVERSITY OF MOBILE","AL","941","2340999"
"100400","UNIVERSITY OF MONTEVALLO","AL","706","1753196.0600000001"
"101600","UNIVERSITY OF NORTH ALABAMA","AL","1690","4310909"
"105700","UNIVERSITY OF SOUTH ALABAMA","AL","3431","8692375.1400000006"
"102400","UNIVERSITY OF WEST ALABAMA","AL","844","2409406.96"
"3010600","VIRGINIA COLLEGE","AL","5564","11762220"
"3065100","ARKADELPHIA BEAUTY COLLEGE","AR","54","108882.58"
"108700","ARKANSAS BAPTIST COLLEGE","AR","260","765546"
"3005100","ARKANSAS BEAUTY SCHOOL","AR","63","143709"
"3007600","ARKANSAS BEAUTY SCHOOL/CONWAY","AR","58","116337"
"3292300","ARKANSAS CAREER TRAINING INSTITUTE","AR","92","173198.57000000001"
"3023400","ARKANSAS COLLEGE OF BARBERING & HAIR DESIGN","AR","79","210896.39000000001"
"2363500","ARKANSAS CONTINENTAL BEAUTY COLLEGE","AR","112","252340"
"1286000","ARKANSAS NORTHEASTERN COLLEGE","AR","1390","3473235.4100000001"
"1286001","ARKANSAS NORTHEASTERN COLLEGE -","AR","199","506321"
"109000","ARKANSAS STATE UNIVERSITY","AR","6424","16292186.029999999"
"108900","ARKANSAS TECH UNIVERSITY","AR","2332","6034295"
"108906","ARKANSAS TECH UNIVERSITY - ARKANSAS VALLEY TECHNICAL INSTITUTE OF ATU","AR","341","785710.93000000005"
"2538500","ARTHUR'S BEAUTY COLLEGE, INC","AR","155","313034.92999999999"
"3127200","ASKINS VO TECH","AR","30","27709.599999999999"
"3105200","BAPTIST HEALTH MEDICAL CENTER","AR","368","768603.13"
"2260400","BEE JAY'S HAIRSTYLING ACADEMY","AR","27","62731"
"2052200","BLACK RIVER TECHNICAL COLLEGE","AR","1054","2514373"
"3212300","BLYTHEVILLE ACADEMY OF COSMETOLOGY","AR","26","73094.389999999999"
"2341700","CAREER ACADEMY OF HAIR DESIGN","AR","62","126418"
"109300","CENTRAL BAPTIST COLLEGE","AR","136","361460"
"2220900","COSSATOT COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS","AR","501","1231602.5900000001"
"109500","CROWLEY'S RIDGE COLLEGE","AR","76","159652"
"704400","CROWLEY'S RIDGE TECHNICAL INSTITUTE","AR","221","485226.08000000002"
"3116800","DELUXE BEAUTY SCHOOL","AR","35","103684.89999999999"
"1226000","EAST ARKANSAS COMMUNITY COLLEGE","AR","1005","2493815.0699999998"
"2272400","EASTERN COLLEGE OF HEALTH VOCATIONS","AR","731","1467784"
"3124900","EATON BEAUTY STYLIST COLLEGE","AR","37","77660"
"792100","FAYETTEVILLE BEAUTY COLLEGE","AR","45","86559.929999999993"
"109700","HARDING UNIVERSITY","AR","1406","3748219.8799999999"
"109800","HENDERSON STATE UNIVERSITY","AR","1562","4130264.6299999999"
"109900","HENDRIX COLLEGE","AR","239","634701.94999999995"
"3007100","HOT SPRINGS BEAUTY COLLEGE","AR","77","198261"
"2330800","JEFFERSON SCHOOL OF NURSING","AR","56","116731"
"110000","JOHN BROWN UNIVERSITY","AR","475","1027140"
"2525800","LEES SCHOOL OF COSMETOLOGY","AR","28","80586"
"108800","LYON COLLEGE","AR","180","483386"
"3254300","MARGARET'S  HAIR ACADEMY","AR","53","122253.75"
"2287400","MARSHA KAY BEAUTY COLLEGE","AR","24","58161"
"1074100","MELLIE'S BEAUTY COLLEGE","AR","45","83934"
"2348200","MID-SOUTH COMMUNITY COLLEGE","AR","712","1557393.6599999999"
"1210500","NATIONAL PARK COMMUNITY COLLEGE","AR","1310","2943542.48"
"2284200","NEW TYLER BARBER COLLEGE","AR","100","235936.39000000001"
"1226100","NORTH ARKANSAS COLLEGE","AR","1167","2913095"
"3688300","NORTHWEST ARKANSAS AVIATION TECHNOLOGIES CENTER","AR","40","80507.050000000003"
"3063300","NORTHWEST ARKANSAS COMMUNITY COLLEGE","AR","894","1752643.1599999999"
"2073700","NORTHWEST TECHNICAL INSTITUTE","AR","191","394246.27000000002"
"110200","OUACHITA BAPTIST UNIVERSITY","AR","438","1167773"
"997600","OUACHITA TECHNICAL COLLEGE","AR","480","1054491"
"2087000","OZARKA COLLEGE","AR","682","1803016.6499999999"
"110300","PHILANDER SMITH COLLEGE","AR","794","2218480"
"110400","PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS","AR","1307","3359434.3700000001"
"2202400","PROFESSIONAL COSMETOLOGY EDUCATION CENTER","AR","78","201951.63"
"2075300","PULASKI TECHNICAL COLLEGE","AR","3047","7476836.2800000003"
"2111100","RICH MOUNTAIN COMMUNITY COLLEGE","AR","544","1281914"
"2569600","SEARCY BEAUTY COLLEGE","AR","73","156750"
"2074600","SOUTH ARKANSAS COMMUNITY COLLEGE","AR","521","1138527.3400000001"
"570700","SOUTHEAST ARKANSAS COLLEGE","AR","1246","3199991.7799999998"
"110700","SOUTHERN ARKANSAS UNIVERSITY","AR","1480","4042751.7400000002"
"773800","SOUTHERN ARKANSAS UNIVERSITY TECH","AR","395","1008073.73"
"2339800","SOUTHERN INSTITUTE OF COSMETOLOGY","AR","138","384383"
"110800","UNIVERSITY OF ARKANSAS","AR","3342","8759399.8499999996"
"111000","UNIVERSITY OF ARKANSAS AT FORT SMITH","AR","2289","5350866.3799999999"
"110100","UNIVERSITY OF ARKANSAS AT LITTLE ROCK","AR","4184","10232443"
"108500","UNIVERSITY OF ARKANSAS AT MONTICELLO","AR","1443","3980593.79"
"108502","UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY CROSSETT","AR","75","155141.20999999999"
"108501","UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY MCGEHEE","AR","101","186591.54999999999"
"108600","UNIVERSITY OF ARKANSAS AT PINE BLUFF","AR","2152","6191660.9699999997"
"2073500","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILLE","AR","886","2099040.46"
"573200","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE","AR","747","1842374.28"
"524500","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON","AR","1009","2183835.6800000002"
"110900","UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES","AR","264","713070.39000000001"
"109200","UNIVERSITY OF CENTRAL ARKANSAS","AR","2928","7821407.75"
"109400","UNIVERSITY OF THE OZARKS","AR","225","588882"
"3214300","VELVATEX COLLEGE OF BEAUTY CULTURE","AR","18","54262"
"110600","WILLIAMS BAPTIST COLLEGE","AR","318","836182"
"1001000","AMERICAN SAMOA COMMUNITY COLLEGE","AS","867","2280175.9500000002"
"2199900","AMERICAN INDIAN COLLEGE OF THE ASSEMBLIES OF GOD","AZ","68","206926"
"2317800","AMERICAN INSTITUTE OF TECHNOLOGY","AZ","416","616318.55000000005"
"2100600","APOLLO COLLEGE","AZ","2174","5026705"
"886400","ARIZONA ACADEMY OF BEAUTY","AZ","113","230722.51999999999"
"1180200","ARIZONA ACADEMY OF BEAUTY - NORTH","AZ","110","279409.20000000001"
"1084700","ARIZONA AUTOMOTIVE INSTITUTE","AZ","696","1510649.6100000001"
"3115000","ARIZONA COLLEGE OF ALLIED HEALTH","AZ","244","463006"
"108100","ARIZONA STATE UNIVERSITY","AZ","10466","25949083"
"107100","ARIZONA WESTERN COLLEGE","AZ","2512","5540484.6100000003"
"2491500","ART CENTER DESIGN COLLEGE (THE)","AZ","392","922590.15000000002"
"1180800","ARTISTIC BEAUTY COLLEGES - FLAGSTAFF","AZ","255","550132"
"2220300","ARTISTIC BEAUTY COLLEGES - GLENDALE","AZ","158","376215"
"1234300","ARTISTIC BEAUTY COLLEGES - PHOENIX","AZ","185","383052"
"1293700","ARTISTIC BEAUTY COLLEGES - SCOTTSDALE","AZ","58","122028"
"886500","ARTISTIC BEAUTY COLLEGES - TUCSON","AZ","227","487845"
"3076400","BRYMAN SCHOOL (THE) - PHOENIX","AZ","3876","9353421"
"3097800","CARSTEN INSTITUTE OF HAIR AND BEAUTY","AZ","69","121208"
"728300","CENTRAL ARIZONA COLLEGE","AZ","1210","2664315"
"3072200","CHANDLER-GILBERT COMMUNITY COLLEGE","AZ","881","1710369.54"
"945100","CHAPARRAL COLLEGE","AZ","482","1050871.8100000001"
"2280500","CHARLES OF ITALY BEAUTY COLLEGE","AZ","56","132992"
"107200","COCHISE COLLEGE","AZ","2148","4799398"
"3100400","COCONINO COUNTY COMMUNITY COLLEGE-FLAGSTAFF LONE TREE CAMPUS & DIST.OF","AZ","605","1127634"
"3120300","COLLEGEAMERICA","AZ","79","211129.29999999999"
"2174900","COLLINS COLLEGE","AZ","1386","3443769.8500000001"
"3034400","CONSERVATORY OF RECORDING ARTS & SCIENCES","AZ","180","324561"
"2582700","DESERT INSTITUTE OF THE HEALING ARTS","AZ","117","216385.57000000001"
"2173300","DEVOE COLLEGE OF BEAUTY","AZ","63","116638.12"
"824600","DINE COLLEGE","AZ","1325","3524755.8900000001"
"1085800","EARL'S ACADEMY OF BEAUTY","AZ","102","232355"
"3572300","EAST VALLEY INSTITUTE OF TECHNOLOGY","AZ","21","29642"
"107300","EASTERN ARIZONA COLLEGE","AZ","983","2312261"
"3156300","ESTRELLA MOUNTAIN COMMUNITY COLLEGE","AZ","1376","2461266.8500000001"
"2295000","EVEREST COLLEGE","AZ","598","1154669"
"830300","GATEWAY COMMUNITY COLLEGE","AZ","2348","4332988"
"107600","GLENDALE COMMUNITY COLLEGE","AZ","4204","8405820"
"107400","GRAND CANYON UNIVERSITY","AZ","501","1233834"
"3445300","HDS TRUCK DRIVING INSTITUTE","AZ","97","190023.88"
"2263100","HIGH-TECH INSTITUTE - PHOENIX","AZ","4112","9998078"
"1218400","INTERNATIONAL ACADEMY OF HAIR DESIGN","AZ","91","215205.14999999999"
"3347300","INTERNATIONAL BAPTIST COLLEGE","AZ","27","65633"
"2218800","INTERNATIONAL INSTITUTE OF THE AMERICAS","AZ","2214","5836137.7400000002"
"2065200","ITT TECHNICAL INSTITUTE -","AZ","724","1579486.46"
"2361100","ITT TECHNICAL INSTITUTE -","AZ","705","1568390.71"
"2521500","LAMSON COLLEGE","AZ","214","395121"
"2071200","LONG TECHNICAL COLLEGE","AZ","541","1258747"
"2181300","LONG TECHNICAL COLLEGE","AZ","70","174689"
"2192300","MARICOPA BEAUTY COLLEGE","AZ","66","149492.32999999999"
"107700","MESA COMMUNITY COLLEGE","AZ","4538","9583817"
"3081200","METROPOLITAN COLLEGE","AZ","79","208505.67000000001"
"1186400","MOHAVE COMMUNITY COLLEGE","AZ","713","1423099"
"2100500","MOTORCYCLE MECHANICS INSTITUTE, DIVISION OF CLINTON TECHNICAL INSTITUT","AZ","2334","5209552.25"
"3004700","MUNDUS INSTITUTE","AZ","35","76898.139999999999"
"108200","NORTHERN ARIZONA UNIVERSITY","AZ","4560","11380832.66"
"1186200","NORTHLAND PIONEER COLLEGE","AZ","888","1932733.99"
"2623600","PARADISE VALLEY COMMUNITY COLLEGE","AZ","1151","2294130.8100000001"
"107800","PHOENIX COLLEGE","AZ","3082","6653995.1399999997"
"2623800","PHOENIX THERAPEUTIC MASSAGE COLLEGE","AZ","137","285233"
"726600","PIMA COUNTY COMMUNITY COLLEGE","AZ","7250","16501591.5"
"2217100","PIMA MEDICAL INSTITUTE","AZ","3598","8295989.04"
"2065300","PRESCOTT COLLEGE","AZ","339","804994"
"1168900","REFRIGERATION SCHOOL (THE)","AZ","253","540792.01000000001"
"2177500","RIO SALADO COMMUNITY COLLEGE","AZ","1292","2134294.54"
"2113800","ROBERTO-VENN SCHOOL OF LUTHIERY","AZ","13","24376.189999999999"
"3005000","SAFFORD COLLEGE OF BEAUTY CULTURE","AZ","67","202372"
"830400","SCOTTSDALE COMMUNITY COLLEGE","AZ","1561","3117143.2400000002"
"2616700","SCOTTSDALE CULINARY INSTITUTE","AZ","464","1171368"
"2146600","SOUTH MOUNTAIN COMMUNITY COLLEGE","AZ","1337","2793139"
"3593300","SOUTHWEST INSTITUTE OF HEALING ARTS","AZ","54","104497"
"711300","SOUTHWESTERN COLLEGE","AZ","93","231973.75"
"2561900","TONI AND GUY HAIRDRESSING ACADEMY","AZ","70","147395.5"
"446700","TUCSON COLLEGE","AZ","371","769420"
"3740500","TUCSON DESIGN COLLEGE","AZ","13","19632.049999999999"
"822100","UNIVERSAL TECHNICAL INSTITUTE","AZ","3805","8406771.6799999997"
"2559000","UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY","AZ","276","665155"
"108300","UNIVERSITY OF ARIZONA (THE)","AZ","6861","18009257"
"2098800","UNIVERSITY OF PHOENIX","AZ","32450","60120681.090000004"
"2171500","WESTERN INTERNATIONAL UNIVERSITY","AZ","282","512164"
"107900","YAVAPAI COLLEGE","AZ","1349","2680249"
"3662400","ACADEMY EDUCATION SERVICES","CA","10","16959"
"753100","ACADEMY OF ART COLLEGE","CA","1440","3327562"
"3098700","ACADEMY OF COURT REPORTING - ACADEMY OF PROFESSIONAL CAREERS","CA","1123","2815551.75"
"2342400","ACADEMY OF RADIO & TV BROADCASTING","CA","160","348977.97999999998"
"760500","ACADEMY PACIFIC TRAVEL COLLEGE","CA","142","367291"
"3019900","ADELANTE CAREER INSTITUTE","CA","235","556738"
"2520400","ADRIANS BEAUTY COLLEGE OF TURLOCK","CA","73","209778"
"3736300","ADVANCE BEAUTY COLLEGE","CA","37","77129"
"3405300","ADVANCED CAREER TECHNOLOGIES INSTITUTE","CA","3","0"
"3532300","ADVANCED COLLEGE OF TECHNOLOGY","CA","20","62925"
"2258600","ALAMEDA BEAUTY COLLEGE","CA","104","213084"
"2282300","ALHAMBRA BEAUTY COLLEGE","CA","208","537331"
"111100","ALLAN HANCOCK COLLEGE","CA","1491","3296106.0099999998"
"1111700","ALLIANT INTERNATIONAL UNIVERSITY","CA","213","622540"
"2106900","AMERICAN ACADEMY OF DRAMATIC ARTS-WEST","CA","59","163800"
"1307400","AMERICAN BEAUTY COLLEGE","CA","41","114288"
"2241800","AMERICAN CAREER COLLEGE","CA","2188","5377954"
"2589100","AMERICAN COLLEGE OF BUSINESS","CA","11","21333"
"3144400","AMERICAN COLLEGE OF HEALTH PROFESSIONS","CA","42","123954"
"3138400","AMERICAN COLLEGE OF MEDICAL TECHNOLOGY","CA","405","906779"
"2099200","AMERICAN CONSERVATORY THEATRE FOUNDATION","CA","4","14400"
"3225300","AMERICAN INSTITUTE OF HEALTH SCIENCES","CA","101","260934.64000000001"
"123200","AMERICAN RIVER COLLEGE","CA","4863","11351120"
"111300","ANTELOPE VALLEY COLLEGE","CA","2904","5418438.6299999999"
"3427500","ANTELOPE VALLEY MEDICAL COLLEGE","CA","111","193233.66"
"111600","ART CENTER COLLEGE OF DESIGN","CA","723","2207031.9300000002"
"723600","ART INSTITUTE OF CALIFORNIA - LOS ANGELES (THE)","CA","284","566625.19999999995"
"2327600","ART INSTITUTE OF CALIFORNIA - SAN DIEGO","CA","438","991606.89000000001"
"2595600","ASIAN - AMERICAN INTERNATIONAL BEAUTY COLLEGE","CA","189","550850"
"902200","ASSOCIATED TECHNICAL COLLEGE","CA","489","1441476"
"2553100","ASSOCIATED TECHNICAL COLLEGE","CA","41","111915"
"2553500","ASSOCIATED TECHNICAL COLLEGE","CA","354","849482"
"3598300","AVALON BEAUTY COLLEGE","CA","44","117608.05"
"2519800","AVANCE BEAUTY COLLEGE","CA","34","98151"
"111700","AZUSA PACIFIC UNIVERSITY","CA","1067","2484538"
"111800","BAKERSFIELD COLLEGE","CA","4514","9137917.9499999993"
"3067400","BALDWIN PARK ADULT SCHOOL","CA","184","280573"
"111900","BARSTOW COMMUNITY COLLEGE","CA","1068","2121619.1800000002"
"705000","BAY VISTA COLLEGE OF BEAUTY","CA","159","411090.59000000003"
"112100","BETHANY COLLEGE OF THE ASSEMBLIES OF GOD","CA","233","526440"
"3266300","BETHESDA CHRISTIAN UNIVERSITY","CA","51","136100"
"112200","BIOLA UNIVERSITY","CA","785","1935498.48"
"2065500","BROOKS COLLEGE","CA","1434","3229772.3799999999"
"112300","BROOKS INSTITUTE OF PHOTOGRAPHY -","CA","498","1260867.5900000001"
"2543400","BROWNSON TECHNICAL SCHOOL","CA","44","102090.63"
"716400","BRYAN COLLEGE OF COURT REPORTING","CA","93","203703"
"449400","BRYMAN COLLEGE","CA","1127","2336597"
"760600","BRYMAN COLLEGE","CA","1012","1941972"
"809000","BRYMAN COLLEGE","CA","1093","2270373"
"1102400","BRYMAN COLLEGE","CA","1292","2488725"
"1110700","BRYMAN COLLEGE","CA","973","1682831"
"1110900","BRYMAN COLLEGE","CA","958","1929232"
"1112100","BRYMAN COLLEGE","CA","2054","3328665.3100000001"
"1112300","BRYMAN COLLEGE","CA","1280","2427723"
"1206100","BRYMAN COLLEGE","CA","1106","1950236"
"3072300","BRYMAN COLLEGE","CA","1076","2210373"
"3195400","BRYMAN COLLEGE","CA","308","609915"
"3128600","BUSINESS & TECHNOLOGY TRAINING INSTITUTE","CA","11","12518.030000000001"
"807300","BUTTE COLLEGE","CA","3727","8322811"
"112400","CABRILLO COLLEGE","CA","1761","3792154"
"112500","CALIFORNIA BAPTIST UNIVERSITY","CA","772","1749173.8100000001"
"2065700","CALIFORNIA BEAUTY COLLEGE","CA","44","130489"
"2520200","CALIFORNIA CAREER SCHOOL","CA","13","13362"
"884400","CALIFORNIA CHRISTIAN COLLEGE","CA","59","147512.29000000001"
"2306300","CALIFORNIA COLLEGE","CA","602","1454633"
"2351900","CALIFORNIA COLLEGE","CA","515","1114089"
"2565400","CALIFORNIA COLLEGE","CA","697","1548053"
"2110800","CALIFORNIA COLLEGE FOR HEALTH SCIENCES- RESIDENT DIVISION","CA","70","157832.87"
"112700","CALIFORNIA COLLEGE OF THE ARTS","CA","365","977056.5"
"2086400","CALIFORNIA COSMETOLOGY COLLEGE","CA","28","67367"
"2220200","CALIFORNIA CULINARY ACADEMY","CA","651","1594699.45"
"3125400","CALIFORNIA DESIGN COLLEGE","CA","348","982027"
"1186500","CALIFORNIA HAIR DESIGN ACADEMY","CA","130","314982.77000000002"
"3681300","CALIFORNIA HEALING ARTS COLLEGE","CA","14","17865.419999999998"
"3153400","CALIFORNIA INSTITUTE OF CUSTOMER ENGINEERING","CA","8","9303"
"1215400","CALIFORNIA INSTITUTE OF INTEGRAL STUDIES","CA","15","22199.669999999998"
"113100","CALIFORNIA INSTITUTE OF TECHNOLOGY","CA","146","384108"
"113200","CALIFORNIA INSTITUTE OF THE ARTS","CA","261","769938"
"3633300","CALIFORNIA LEARNING CENTER","CA","37","82365"
"113300","CALIFORNIA LUTHERAN UNIVERSITY","CA","315","696124.08999999997"
"113400","CALIFORNIA MARITIME ACADEMY","CA","127","365707"
"1256201","CALIFORNIA PARAMEDICAL & TECHNICAL COLLEGE","CA","517","1420224"
"1256200","CALIFORNIA PARAMEDICAL AND TECHNICAL COLLEGE","CA","191","498787"
"114300","CALIFORNIA POLYTECHNIC STATE UNIVERSITY","CA","3479","9276802"
"3210300","CALIFORNIA SCHOOL OF CULINARY ARTS","CA","860","2299460.9900000002"
"114400","CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA","CA","6677","18927878"
"115000","CALIFORNIA STATE UNIVERSITY - SACRAMENTO -","CA","8168","20697082.859999999"
"799300","CALIFORNIA STATE UNIVERSITY, BAKERSFIELD","CA","2982","7591938"
"114600","CALIFORNIA STATE UNIVERSITY, CHICO","CA","5528","14868082.65"
"114100","CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS","CA","4453","11537300"
"114700","CALIFORNIA STATE UNIVERSITY, FRESNO","CA","7529","21859341.800000001"
"113700","CALIFORNIA STATE UNIVERSITY, FULLERTON","CA","7584","19769877.52"
"113800","CALIFORNIA STATE UNIVERSITY, HAYWARD","CA","3113","8515401.5099999998"
"113900","CALIFORNIA STATE UNIVERSITY, LONG BEACH","CA","9276","24685411.84"
"114000","CALIFORNIA STATE UNIVERSITY, LOS ANGELES","CA","7502","20079040.27"
"3260300","CALIFORNIA STATE UNIVERSITY, MONTEREY BAY","CA","1325","3697350"
"115300","CALIFORNIA STATE UNIVERSITY, NORTHRIDGE","CA","11461","31072423.300000001"
"114200","CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO","CA","6622","17750643"
"3011300","CALIFORNIA STATE UNIVERSITY, SAN MARCOS","CA","2190","5543856"
"115700","CALIFORNIA STATE UNIVERSITY, STANISLAUS","CA","2713","6921595.8099999996"
"697300","CANADA COLLEGE","CA","302","679782"
"2125000","CAREER ACADEMY OF BEAUTY","CA","162","280011"
"3427400","CAREER COLLEGES OF AMERICA","CA","774","1868838.71"
"3242300","CAREER NETWORKS INSTITUTE","CA","208","450580"
"673100","CASA LOMA COLLEGE","CA","295","719043.18999999994"
"3044500","CEI COLLEGE -","CA","588","1527604.99"
"2332800","CENTER FOR EMPLOYMENT TRAINING","CA","1726","4025501.6699999999"
"3097700","CENTRAL CALIFORNIA SCHOOL OF CONTINUING EDUCATION","CA","193","539513"
"2602300","CENTRAL COAST COLLEGE","CA","211","394496"
"116100","CERRITOS COMMUNITY COLLEGE","CA","5678","12152008.75"
"1011100","CERRO COSO COMMUNITY COLLEGE","CA","1180","2530076.0099999998"
"116200","CHABOT COLLEGE","CA","2067","4535701"
"116300","CHAFFEY COMMUNITY COLLEGE","CA","3098","5945461"
"116400","CHAPMAN UNIVERSITY","CA","1504","3206485.75"
"950900","CHARLES A. JONES SKILLS & BUSINESS EDUCATION CENTER","CA","919","1473055.25"
"1036500","CHARLES R. DREW UNIVERSITY OF MEDICINE AND SCIENCE","CA","129","307999"
