"OPE_ID","INSTITUTION NAME","INSTITUTION CITY","INSTITUTION STATE","INSTITUTION TYPE AND CONTROL","TOTAL AWARDS","TOTAL RECIPIENTS"
"319800","LINFIELD COLLEGE","MCMINNVILLE","OR","Private 4yr","2583139","645"
"319900","MARYLHURST UNIVERSITY","MARYLHURST","OR","Private 4yr","592988","164"
"320300","MOUNT ANGEL SEMINARY","ST BENEDICT","OR","Private 4yr","46465","10"
"320400","MOUNT HOOD COMMUNITY COLLEGE","GRESHAM","OR","Public 2yr","9125849","2629"
"320600","MULTNOMAH UNIVERSITY","PORTLAND","OR","Private 4yr","860483","212"
"320700","PACIFIC NORTHWEST COLLEGE OF ART","PORTLAND","OR","Private 4yr","772903","178"
"320800","NORTHWEST CHRISTIAN UNIVERSITY","EUGENE","OR","Private 4yr","1282620","302"
"320900","WESTERN OREGON UNIVERSITY","MONMOUTH","OR","Public 4yr","8752649","2008"
"321000","OREGON STATE UNIVERSITY","CORVALLIS","OR","Public 4yr","30225943","7385"
"321100","OREGON INSTITUTE OF TECHNOLOGY","KLAMATH FALLS","OR","Public 4yr","5436272","1277"
"321200","PACIFIC UNIVERSITY","FOREST GROVE","OR","Private 4yr","2513144","581"
"321300","PORTLAND COMMUNITY COLLEGE","PORTLAND","OR","Public 2yr","41479653","12385"
"321600","PORTLAND STATE UNIVERSITY","PORTLAND","OR","Public 4yr","35866623","8710"
"321700","REED COLLEGE","PORTLAND","OR","Private 4yr","956926","219"
"321800","CHEMEKETA COMMUNITY COLLEGE","SALEM","OR","Public 2yr","16351368","4638"
"321900","SOUTHERN OREGON UNIVERSITY","ASHLAND","OR","Public 4yr","7641258","1820"
"322000","SOUTHWESTERN OREGON COMMUNITY CLG","COOS BAY","OR","Public 2yr","3155633","892"
"322100","TREASURE VALLEY COMMUNITY COLLEGE","ONTARIO","OR","Public 2yr","3568547","987"
"322200","UMPQUA COMMUNITY COLLEGE","ROSEBURG","OR","Public 2yr","4112077","1134"
"322300","UNIVERSITY OF OREGON","EUGENE","OR","Public 4yr","22056337","4864"
"322400","UNIVERSITY OF PORTLAND","PORTLAND","OR","Private 4yr","2873351","664"
"322500","WARNER PACIFIC UNIVERSITY","PORTLAND","OR","Private 4yr","2239373","532"
"322700","WILLAMETTE UNIVERSITY","SALEM","OR","Private 4yr","1846770","427"
"322800","BRYN ATHYN COLLEGE OF THE NEW CHURCH","BRYN ATHYN","PA","Private 4yr","631059","133"
"322900","ALBRIGHT COLLEGE","READING","PA","Private 4yr","4250336","966"
"323000","ALLEGHENY COLLEGE","MEADVILLE","PA","Private 4yr","2722125","610"
"323100","COMMUNITY COLLEGE OF ALLEGHENY COUNTY","PITTSBURGH","PA","Public 2yr","22625546","6494"
"323300","ALVERNIA UNIVERSITY","READING","PA","Private 4yr","3691473","892"
"323500","ARCADIA UNIVERSITY","GLENSIDE","PA","Private 4yr","3555793","774"
"323700","BRYN MAWR COLLEGE","BRYN MAWR","PA","Private 4yr","1023998","229"
"323800","BUCKNELL UNIVERSITY","LEWISBURG","PA","Private 4yr","1754467","386"
"323900","BUCKS COUNTY COMMUNITY COLLEGE","NEWTOWN","PA","Public 2yr","7436648","2145"
"324000","BUTLER COUNTY COMMUNITY COLLEGE","BUTLER","PA","Public 2yr","5003761","1324"
"324100","CABRINI UNIVERSITY","RADNOR","PA","Private 4yr","3239422","688"
"324200","CARNEGIE-MELLON UNIVERSITY","PITTSBURGH","PA","Private 4yr","4161733","910"
"324300","CEDAR CREST COLLEGE","ALLENTOWN","PA","Private 4yr","2690700","655"
"324400","CHATHAM UNIVERSITY","PITTSBURGH","PA","Private 4yr","1632262","375"
"324500","CHESTNUT HILL COLLEGE","PHILADELPHIA","PA","Private 4yr","3112443","691"
"324700","MISERICORDIA UNIVERSITY","DALLAS","PA","Private 4yr","2268179","582"
"324900","COMMUNITY COLLEGE OF PHILADELPHIA","PHILADELPHIA","PA","Public 2yr","43234680","12485"
"325100","CURTIS INSTITUTE OF MUSIC","PHILADELPHIA","PA","Private 4yr","53886","13"
"325200","DELAWARE VALLEY UNIVERSITY","DOYLESTOWN","PA","Private 4yr","2859101","655"
"325300","DICKINSON COLLEGE","CARLISLE","PA","Private 4yr","1288802","292"
"325600","DREXEL UNIVERSITY","PHILADELPHIA","PA","Private 4yr","16433930","3809"
"325800","DUQUESNE UNIVERSITY","PITTSBURGH","PA","Private 4yr","5699086","1290"
"325900","EASTERN UNIVERSITY","ST DAVIDS","PA","Private 4yr","3745237","938"
"326200","ELIZABETHTOWN COLLEGE","ELIZABETHTOWN","PA","Private 4yr","2007323","490"
"326500","FRANKLIN & MARSHALL COLLEGE","LANCASTER","PA","Private 4yr","2247612","478"
"326600","GANNON UNIVERSITY","ERIE","PA","Private 4yr","3634154","844"
"326700","GENEVA COLLEGE","BEAVER FALLS","PA","Private 4yr","2098776","527"
"326800","GETTYSBURG COLLEGE","GETTYSBURG","PA","Private 4yr","1670938","364"
"327000","GWYNEDD MERCY UNIVERSITY","GWYNEDD VALLEY","PA","Private 4yr","3184269","753"
"327200","HARCUM COLLEGE","BRYN MAWR","PA","Private 2yr","4390770","1052"
"327300","HARRISBURG AREA COMMUNITY COLLEGE","HARRISBURG","PA","Public 2yr","27014760","8697"
"327400","HAVERFORD COLLEGE","HAVERFORD","PA","Private 4yr","985103","220"
"327500","HOLY FAMILY UNIVERSITY","PHILADELPHIA","PA","Private 4yr","3422546","787"
"327600","IMMACULATA UNIVERSITY","IMMACULATA","PA","Private 4yr","1794674","454"
"327700","INDIANA UNIVERSITY OF PENNSYLVANIA","INDIANA","PA","Public 4yr","17723936","3970"
"327900","JUNIATA COLLEGE","HUNTINGDON","PA","Private 4yr","1760920","385"
"328000","KEYSTONE COLLEGE","LA PLUME","PA","Private 4yr","3024272","702"
"328200","KINGS COLLEGE","WILKES-BARRE","PA","Private 4yr","2498111","576"
"328300","LACKAWANNA COLLEGE","SCRANTON","PA","Private 4yr","4818695","1193"
"328400","LAFAYETTE COLLEGE","EASTON","PA","Private 4yr","1222799","264"
"328500","LANCASTER BIBLE COLLEGE","LANCASTER","PA","Private 4yr","2687016","739"
"328700","LASALLE UNIVERSITY","PHILADELPHIA","PA","Private 4yr","7455853","1630"
"328800","LEBANON VALLEY COLLEGE","ANNVILLE","PA","Private 4yr","1878746","451"
"328900","LEHIGH UNIVERSITY","BETHLEHEM","PA","Private 4yr","3768530","779"
"329000","LINCOLN UNIVERSITY","LINCOLN UNIVERSITY","PA","Public 4yr","6356433","1362"
"329300","LYCOMING COLLEGE","WILLIAMSPORT","PA","Private 4yr","2237636","499"
"329400","MANOR COLLEGE","JENKINTOWN","PA","Private 4yr","1838494","455"
"329600","MARYWOOD UNIVERSITY","SCRANTON","PA","Private 4yr","2720755","638"
"329700","MERCYHURST UNIVERSITY","ERIE","PA","Private 4yr","5259191","1248"
"329800","MESSIAH COLLEGE","GRANTHAM","PA","Private 4yr","2248414","572"
"330000","MOORE COLLEGE OF ART & DESIGN","PHILADELPHIA","PA","Private 4yr","783208","168"
"330100","MORAVIAN COLLEGE","BETHLEHEM","PA","Private 4yr","2754041","599"
"330200","MOUNT ALOYSIUS COLLEGE","CRESSON","PA","Private 4yr","1898482","474"
"330300","CARLOW UNIVERSITY","PITTSBURGH","PA","Private 4yr","2776620","682"
"330400","MUHLENBERG COLLEGE","ALLENTOWN","PA","Private 4yr","1463781","344"
"330600","UNIVERSITY OF VALLEY FORGE","PHOENIXVILLE","PA","Private 4yr","1744196","375"
"330900","PEIRCE COLLEGE","PHILADELPHIA","PA","Private 4yr","4030079","1178"
"331300","WIDENER UNIVERSITY","CHESTER","PA","Private 4yr","3614500","861"
"331500","BLOOMSBURG UNIVERSITY OF PA","BLOOMSBURG","PA","Public 4yr","13291658","2994"
"331600","CALIFORNIA UNIV OF PENNSYLVANIA","CALIFORNIA","PA","Public 4yr","10864075","2512"
"331700","CHEYNEY UNIVERSITY OF PENNSYLVANIA","CHEYNEY","PA","Public 4yr","81530","22"
"331800","CLARION UNIVERSITY OF PENNSYLVANIA","CLARION","PA","Public 4yr","7620420","1790"
"332000","EAST STROUDSBURG UNIVERSITY","EAST STROUDSBURG","PA","Public 4yr","11222252","2474"
"332100","EDINBORO UNIVERSITY OF PENNSYLVANIA","EDINBORO","PA","Public 4yr","8211712","1896"
"332200","KUTZTOWN UNIVERSITY OF PENNSYLVANIA","KUTZTOWN","PA","Public 4yr","11979190","2713"
"332300","LOCK HAVEN UNIV OF PENNSYLVANIA","LOCK HAVEN","PA","Public 4yr","6351859","1478"
"332400","MANSFIELD UNIVERSITY","MANSFIELD","PA","Public 4yr","3836834","867"
"332500","MILLERSVILLE UNIVERSITY OF PA","MILLERSVILLE","PA","Public 4yr","9514849","2280"
"332600","SHIPPENSBURG UNIVERSITY","SHIPPENSBURG","PA","Public 4yr","8102579","1941"
"332700","SLIPPERY ROCK UNIVERSITY","SLIPPERY ROCK","PA","Public 4yr","11488522","2688"
"332800","WEST CHESTER UNIVERSITY","WEST CHESTER","PA","Public 4yr","17614992","4032"
"332900","PENNSYLVANIA STATE UNIVERSITY (THE)","UNIVERSITY PARK","PA","Public 4yr","84709129","20055"
"335000","UNIVERSITY OF THE ARTS (THE)","PHILADELPHIA","PA","Private 4yr","2517747","560"
"335100","CAIRN UNIVERSITY","LANGHORNE","PA","Private 4yr","1412524","345"
"335300","UNIVERSITY OF THE SCIENCES IN PHILADELPH","PHILADELPHIA","PA","Private 4yr","1622778","359"
"335700","POINT PARK UNIVERSITY","PITTSBURGH","PA","Private 4yr","5913744","1371"
"335900","ROBERT MORRIS UNIVERSITY","MOON TOWNSHIP","PA","Private 4yr","4994024","1203"
"336000","ROSEMONT COLLEGE","ROSEMONT","PA","Private 4yr","1477156","321"
"336200","SETON HILL UNIVERSITY","GREENSBURG","PA","Private 4yr","2166714","503"
"336400","ST. CHARLES BORROMEO SEMINARY","WYNNEWOOD","PA","Private 4yr","68750","15"
"336600","SAINT FRANCIS UNIVERSITY","LORETTO","PA","Private 4yr","2325908","561"
"336700","SAINT JOSEPH'S UNIVERSITY","PHILADELPHIA","PA","Private 4yr","2597009","645"
"336800","ST VINCENT COLLEGE","LATROBE","PA","Private 4yr","2228817","474"
"336900","SUSQUEHANNA UNIVERSITY","SELINSGROVE","PA","Private 4yr","2768928","616"
"337000","SWARTHMORE COLLEGE","SWARTHMORE","PA","Private 4yr","1413764","307"
"337100","TEMPLE UNIVERSITY","PHILADELPHIA","PA","Private 4yr","42859167","9711"
"337600","THIEL COLLEGE","GREENVILLE","PA","Private 4yr","1579047","351"
"337800","UNIVERSITY OF PENNSYLVANIA","PHILADELPHIA","PA","Private 4yr","7266032","1554"
"337900","UNIVERSITY OF PITTSBURGH","PITTSBURGH","PA","Public 4yr","23331645","5373"
"338400","UNIVERSITY OF SCRANTON","SCRANTON","PA","Private 4yr","3212140","725"
"338500","URSINUS COLLEGE","COLLEGEVILLE","PA","Private 4yr","1414209","315"
"338600","VALLEY FORGE MILITARY COLLEGE","WAYNE","PA","Private 2yr","708229","148"
"338800","VILLANOVA UNIVERSITY","VILLANOVA","PA","Private 4yr","3618975","833"
"338900","WASHINGTON & JEFFERSON COLLEGE","WASHINGTON","PA","Private 4yr","1737919","400"
"339100","WAYNESBURG UNIVERSITY","WAYNESBURG","PA","Private 4yr","2110744","493"
"339200","WESTMINSTER COLLEGE","NEW WILMINGTON","PA","Private 4yr","1780534","403"
"339400","WILKES UNIVERSITY","WILKES-BARRE","PA","Private 4yr","3794750","864"
"339500","PENNSYLVANIA COLLEGE OF TECHNOLOGY","WILLIAMSPORT","PA","Public 4yr","9198915","2300"
"339600","WILSON COLLEGE","CHAMBERSBURG","PA","Private 4yr","1454301","317"
"339900","YORK COLLEGE OF PENNSYLVANIA","YORK","PA","Private 4yr","4573009","1115"
"340100","BROWN UNIVERSITY","PROVIDENCE","RI","Private 4yr","4712565","1026"
"340200","BRYANT UNIVERSITY","SMITHFIELD","RI","Private 4yr","2070863","489"
"340400","JOHNSON & WALES UNIVERSITY","PROVIDENCE","RI","Private 4yr","26868796","6465"
"340600","PROVIDENCE COLLEGE","PROVIDENCE","RI","Private 4yr","2692952","595"
"340700","RHODE ISLAND COLLEGE","PROVIDENCE","RI","Public 4yr","14592383","3456"
"340800","COMMUNITY COLLEGE OF RI - WARWICK","PROVIDENCE","RI","Public 2yr","24662225","7905"
"340900","RHODE ISLAND SCHOOL OF DESIGN","PROVIDENCE","RI","Private 4yr","1669945","353"
"341000","ROGER WILLIAMS UNIVERSITY","BRISTOL","RI","Private 4yr","2808941","703"
"341100","SALVE REGINA UNIVERSITY","NEWPORT","RI","Private 4yr","2331822","532"
"341400","UNIVERSITY OF RHODE ISLAND","KINGSTON","RI","Public 4yr","17520832","3877"
"341700","ALLEN UNIVERSITY","COLUMBIA","SC","Private 4yr","2915325","620"
"341800","ANDERSON UNIVERSITY","ANDERSON","SC","Private 4yr","3287280","804"
"341900","CHARLESTON SOUTHERN UNIVERSITY","CHARLESTON","SC","Private 4yr","6125250","1434"
"342000","BENEDICT COLLEGE","COLUMBIA","SC","Private 4yr","8751796","1835"
"342100","BOB JONES UNIVERSITY","GREENVILLE","SC","Private 4yr","4281548","1012"
"342200","SOUTHERN WESLEYAN UNIVERSITY","CENTRAL","SC","Private 4yr","2668484","677"
"342300","THE CITADEL","CHARLESTON","SC","Public 4yr","3188786","690"
"342400","CLAFLIN UNIVERSITY","ORANGEBURG","SC","Private 4yr","7866999","1574"
"342500","CLEMSON UNIVERSITY","CLEMSON","SC","Public 4yr","15415352","3485"
"342700","COKER COLLEGE","HARTSVILLE","SC","Private 4yr","2719695","602"
"342800","COLLEGE OF CHARLESTON","CHARLESTON","SC","Public 4yr","11453748","2510"
"342900","COLUMBIA INTERNATIONAL UNIVERSITY","COLUMBIA","SC","Private 4yr","1163115","284"
"343000","COLUMBIA COLLEGE","COLUMBIA","SC","Private 4yr","2971519","701"
"343100","CONVERSE COLLEGE","SPARTANBURG","SC","Private 4yr","1921077","414"
"343200","ERSKINE COLLEGE","DUE WEST","SC","Private 4yr","1006345","215"
"343400","FURMAN UNIVERSITY","GREENVILLE","SC","Private 4yr","1768519","388"
"343500","LANDER UNIVERSITY","GREENWOOD","SC","Public 4yr","6196866","1343"
"343600","LIMESTONE COLLEGE","GAFFNEY","SC","Private 4yr","5144365","1487"
"343800","MEDICAL UNIV OF SOUTH CAROLINA - FA","CHARLESTON","SC","Public 4yr","228263","54"
"343900","MORRIS COLLEGE","SUMTER","SC","Private 4yr","3574045","708"
"344000","NEWBERRY COLLEGE","NEWBERRY","SC","Private 4yr","2598466","547"
"344100","NORTH GREENVILLE COLLEGE","TIGERVILLE","SC","Private 4yr","3961770","918"
"344500","PRESBYTERIAN COLLEGE","CLINTON","SC","Private 4yr","1330242","294"
"344600","SOUTH CAROLINA STATE UNIVERSITY","ORANGEBURG","SC","Public 4yr","9036968","1903"
"344700","SPARTANBURG METHODIST COLLEGE","SPARTANBURG","SC","Private 4yr","2276835","495"
"344800","UNIVERSITY OF SOUTH CAROLINA","COLUMBIA","SC","Public 4yr","26012084","5660"
"344900","UNIVERSITY OF SOUTH CAROLINA AIKEN","AIKEN","SC","Public 4yr","6756329","1478"
"345000","UNIV OF SC AT BEAUFORT","BEAUFORT","SC","Public 4yr","4276274","963"
"345100","COASTAL CAROLINA UNIVERSITY","CONWAY","SC","Public 4yr","16401669","3665"
"345500","VOORHEES COLLEGE","DENMARK","SC","Private 4yr","2420815","455"
"345600","WINTHROP UNIVERSITY","ROCK HILL","SC","Public 4yr","9802241","2161"
"345700","WOFFORD COLLEGE","SPARTANBURG","SC","Private 4yr","1177628","265"
"345800","AUGUSTANA UNIVERSITY","SIOUX FALLS","SD","Private 4yr","1511820","356"
"345900","BLACK HILLS STATE UNIVERSITY","SPEARFISH","SD","Public 4yr","4734662","1161"
"346100","DAKOTA WESLEYAN UNIVERSITY","MITCHELL","SD","Private 4yr","1128497","291"
"346300","DAKOTA STATE UNIVERSITY","MADISON","SD","Public 4yr","3029781","779"
"346500","MOUNT MARTY COLLEGE","YANKTON","SD","Private 4yr","875473","204"
"346600","NORTHERN STATE UNIVERSITY","ABERDEEN","SD","Public 4yr","2308471","557"
"346700","PRESENTATION COLLEGE","ABERDEEN","SD","Private 4yr","1300038","344"
"346900","UNIVERSITY OF SIOUX FALLS","SIOUX FALLS","SD","Private 4yr","1616150","411"
"347000","SOUTH DAKOTA SCH OF MINES & TECH","RAPID CITY","SD","Public 4yr","2209840","540"
"347100","SOUTH DAKOTA STATE UNIVERSITY","BROOKINGS","SD","Public 4yr","10416561","2512"
"347400","UNIVERSITY OF SOUTH DAKOTA","VERMILLION","SD","Public 4yr","7439661","1876"
"347800","AUSTIN PEAY STATE UNIVERSITY","CLARKSVILLE","TN","Public 4yr","23010216","5301"
"347900","BELMONT UNIVERSITY","NASHVILLE","TN","Private 4yr","4803107","1082"
"348000","BETHEL UNIVERSITY","MCKENZIE","TN","Private 4yr","11319839","2842"
"348100","CARSON - NEWMAN UNIVERSITY","JEFFERSON CITY","TN","Private 4yr","3371112","729"
"348200","CHRISTIAN BROTHERS UNIVERSITY","MEMPHIS","TN","Private 4yr","2798521","596"
"348300","COLUMBIA STATE COMMUNITY COLLEGE","COLUMBIA","TN","Public 2yr","8504782","2375"
"348400","COVENANT COLLEGE","LOOKOUT MOUNTAIN","GA","Private 4yr","1095801","259"
"348500","CUMBERLAND UNIVERSITY","LEBANON","TN","Private 4yr","2942541","659"
"348600","LIPSCOMB UNIVERSITY","NASHVILLE","TN","Private 4yr","3347618","768"
"348700","EAST TENNESSEE STATE UNIV - MAIN CAMPUS","JOHNSON CITY","TN","Public 4yr","21848553","4933"
"349000","FISK UNIVERSITY","NASHVILLE","TN","Private 4yr","1805026","367"
"349200","FREED-HARDEMAN UNIVERSITY","HENDERSON","TN","Private 4yr","1861394","441"
"349400","HIWASSEE COLLEGE","MADISONVILLE","TN","Private 4yr","853678","186"
"349500","JOHNSON UNIVERSITY","KNOXVILLE","TN","Private 4yr","2197423","523"
"349600","KING UNIVERSITY","BRISTOL","TN","Private 4yr","5005342","1113"
"349900","LANE COLLEGE","JACKSON","TN","Private 4yr","6419633","1253"
"350000","LEE UNIVERSITY","CLEVELAND","TN","Private 4yr","7375823","1650"
"350100","LEMOYNE-OWEN COLLEGE","MEMPHIS","TN","Private 4yr","3662152","766"
"350200","LINCOLN MEMORIAL UNIVERSITY","HARROGATE","TN","Private 4yr","3819643","969"
"350400","MARTIN METHODIST COLLEGE","PULASKI","TN","Private 4yr","2229882","465"
"350500","MARYVILLE COLLEGE","MARYVILLE","TN","Private 4yr","2388256","520"
"350700","MEMPHIS COLLEGE OF ART","MEMPHIS","TN","Private 4yr","855684","174"
"350900","UNIVERSITY OF MEMPHIS (THE)","MEMPHIS","TN","Public 4yr","38598191","8647"
"351000","MIDDLE TENNESSEE STATE UNIV","MURFREESBORO","TN","Public 4yr","36421109","8339"
"351100","MILLIGAN COLLEGE","MILLIGAN COLLEGE","TN","Private 4yr","1118028","262"
"351800","SOUTHERN ADVENTIST UNIVERSITY","COLLEGEDALE","TN","Private 4yr","4329393","995"
"351900","RHODES COLLEGE","MEMPHIS","TN","Private 4yr","1350492","294"
"352200","TENNESSEE STATE UNIVERSITY","NASHVILLE","TN","Public 4yr","18175963","3877"
"352300","TENNESSEE TECHNOLOGICAL UNIV","COOKEVILLE","TN","Public 4yr","15607408","3564"
"352500","TENNESSEE WESLEYAN COLLEGE","ATHENS","TN","Private 4yr","2233413","482"
"352600","TREVECCA NAZARENE UNIVERSITY","NASHVILLE","TN","Private 4yr","3672741","952"
"352700","TUSCULUM COLLEGE","GREENEVILLE","TN","Private 4yr","4104303","882"
"352800","UNION UNIVERSITY","JACKSON","TN","Private 4yr","3143802","736"
"352900","UNIVERSITY OF TENNESSEE-CHATTANOOGA","CHATTANOOGA","TN","Public 4yr","15753389","3580"
"353000","UNIVERSITY OF TENNESSEE-KNOXVILLE","KNOXVILLE","TN","Public 4yr","28218307","6132"
"353100","UNIVERSITY OF TENNESSEE-MARTIN","MARTIN","TN","Public 4yr","12793591","2825"
"353400","UNIVERSITY OF THE SOUTH","SEWANEE","TN","Private 4yr","1315773","303"
"353500","VANDERBILT UNIVERSITY","NASHVILLE","TN","Private 4yr","4476320","1022"
"353600","BRYAN COLLEGE","DAYTON","TN","Private 4yr","1894364","436"
"353700","ABILENE CHRISTIAN UNIVERSITY","ABILENE","TX","Private 4yr","4216474","992"
"353900","ALVIN COMMUNITY COLLEGE","ALVIN","TX","Public 2yr","3604940","1158"
"354000","AMARILLO COLLEGE","AMARILLO","TX","Public 2yr","16746978","4931"
"354100","ANGELO STATE UNIVERSITY","SAN ANGELO","TX","Public 4yr","12855190","2722"
"354300","AUSTIN COLLEGE","SHERMAN","TX","Private 4yr","1857992","403"
"354500","BAYLOR UNIVERSITY","WACO","TX","Private 4yr","12319558","2772"
"354600","COASTAL BEND COLLEGE","BEEVILLE","TX","Public 2yr","6728520","1682"
"354900","BLINN COLLEGE","BRENHAM","TX","Public 2yr","19262841","4862"
"355300","CISCO JUNIOR COLLEGE","CISCO","TX","Public 2yr","5862776","1433"
"355400","CLARENDON COLLEGE","CLARENDON","TX","Public 2yr","2244629","620"
"355600","COMMONWEALTH INST OF FUNERAL SVC","HOUSTON","TX","Private 2yr","476317","162"
"355700","CONCORDIA UNIVERSITY TEXAS","AUSTIN","TX","Private 4yr","3490794","833"
"355800","NORTH CENTRAL TEXAS COLLEGE","GAINESVILLE","TX","Public 2yr","11206545","3273"
"356000","DALLAS BAPTIST UNIVERSITY","DALLAS","TX","Private 4yr","3791292","937"
"356100","CEDAR VALLEY COLLEGE","LANCASTER","TX","Public 2yr","72639212","20211"
"356300","DEL MAR COLLEGE","CORPUS CHRISTI","TX","Public 2yr","14984887","4270"
"356400","EAST TEXAS BAPTIST UNIVERSITY","MARSHALL","TX","Private 4yr","2512648","582"
"356500","TEXAS A&M UNIVERSITY - COMMERCE","COMMERCE","TX","Public 4yr","19200109","4337"
"356800","FRANK PHILLIPS COLLEGE","BORGER","TX","Public 2yr","1722549","425"
"357000","GRAYSON COUNTY COLLEGE","DENISON","TX","Public 2yr","6376424","1746"
"357100","HARDIN-SIMMONS UNIVERSITY","ABILENE","TX","Private 4yr","2760343","660"
"357200","TRINITY VALLEY COMMUNITY COLLEGE","ATHENS","TX","Public 2yr","8623267","2449"
"357300","HILL COLLEGE","HILLSBORO","TX","Public 2yr","5554945","1560"
"357400","HOWARD COUNTY JUNIOR COLLEGE DISTRICT","BIG SPRING","TX","Public 2yr","4685739","1303"
"357500","HOWARD PAYNE UNIVERSITY","BROWNWOOD","TX","Private 4yr","1804925","440"
"357600","HOUSTON BAPTIST UNIVERSITY","HOUSTON","TX","Private 4yr","4641902","1047"
"357700","HUSTON - TILLOTSON UNIVERSITY","AUSTIN","TX","Private 4yr","3533505","791"
"357800","UNIVERSITY OF THE INCARNATE WORD","SAN ANTONIO","TX","Private 4yr","11516512","2695"
"357900","JACKSONVILLE COLLEGE","JACKSONVILLE","TX","Private 2yr","932292","197"
"358000","KILGORE COLLEGE","KILGORE","TX","Public 2yr","11122239","2742"
"358100","LAMAR UNIVERSITY-BEAUMONT","BEAUMONT","TX","Public 4yr","17973225","3974"
"358200","LAREDO COMMUNITY COLLEGE","LAREDO","TX","Public 2yr","20103065","5124"
"358300","LEE COLLEGE","BAYTOWN","TX","Public 2yr","6195393","2343"
"358400","LETOURNEAU UNIVERSITY","LONGVIEW","TX","Private 4yr","3586919","857"
"358600","LUBBOCK CHRISTIAN UNIVERSITY","LUBBOCK","TX","Private 4yr","2497702","601"
"358800","UNIVERSITY OF MARY HARDIN-BAYLOR","BELTON","TX","Private 4yr","6218475","1433"
"359000","MCLENNAN COMMUNITY COLLEGE","WACO","TX","Public 2yr","16586440","4273"
"359100","MCMURRY UNIVERSITY","ABILENE","TX","Private 4yr","2555873","542"
"359200","MIDWESTERN STATE UNIVERSITY","WICHITA FALLS","TX","Public 4yr","10362683","2346"
"359300","NAVARRO COLLEGE","CORSICANA","TX","Public 2yr","13966253","3508"
"359400","UNIVERSITY OF NORTH TEXAS","DENTON","TX","Public 4yr","56303072","12316"
"359600","ODESSA COLLEGE","ODESSA","TX","Public 4yr","6976116","1822"
"359800","OUR LADY OF THE LAKE UNIVERSITY","SAN ANTONIO","TX","Private 4yr","3927521","868"
"359900","UNIVERSITY OF TEXAS - RIO GRANDE VALLEY","EDINBURG","TX","Public 4yr","81547739","16321"
"360000","PANOLA COLLEGE","CARTHAGE","TX","Public 2yr","5252757","1338"
"360100","PARIS JUNIOR COLLEGE","PARIS","TX","Public 2yr","7718829","1959"
"360200","PAUL QUINN COLLEGE","DALLAS","TX","Private 4yr","2440554","548"
"360300","RANGER COLLEGE","RANGER","TX","Public 2yr","3142488","829"
"360400","RICE UNIVERSITY","HOUSTON","TX","Private 4yr","2641763","603"
"360600","SAM HOUSTON STATE UNIVERSITY","HUNTSVILLE","TX","Public 4yr","36479556","7900"
"360900","SAN JACINTO CLG-CENTRAL-NORTH-SOUTH","PASADENA","TX","Public 2yr","31275985","8751"
"361000","SCHREINER UNIVERSITY","KERRVILLE","TX","Private 4yr","2348400","544"
"361100","SOUTH PLAINS COLLEGE","LEVELLAND","TX","Public 2yr","16703941","4207"
"361200","UNIV OF HOUSTON-DOWNTOWN","HOUSTON","TX","Public 4yr","27514353","6542"
"361300","SOUTHERN METHODIST UNIVERSITY","DALLAS","TX","Private 4yr","3714144","798"
"361400","SOUTHWEST TEXAS JR COLLEGE","UVALDE","TX","Public 2yr","12723594","3179"
"361500","TEXAS STATE UNIVERSITY--SAN MARCOS","SAN MARCOS","TX","Public 4yr","59187815","13027"
"361600","SOUTHWESTERN ASSEMBLIES OF GOD UNIV","WAXAHACHIE","TX","Private 4yr","4522978","1081"
"361800","SOUTHWESTERN CHRISTIAN COLLEGE","TERRELL","TX","Private 4yr","437704","94"
"361900","SOUTHWESTERN ADVENTIST UNIVERSITY","KEENE","TX","Private 4yr","2031213","435"
"362000","SOUTHWESTERN UNIVERSITY","GEORGETOWN","TX","Private 4yr","1770121","390"
"362100","ST EDWARDS UNIVERSITY","AUSTIN","TX","Private 4yr","7106399","1595"
"362300","ST MARY'S UNIV OF SAN ANTONIO","SAN ANTONIO","TX","Private 4yr","4975706","1067"
"362400","STEPHEN F AUSTIN STATE UNIVERSITY","NACOGDOCHES","TX","Public 4yr","22094629","4814"
"362500","SUL ROSS STATE UNIVERSITY","ALPINE","TX","Public 4yr","5964518","1397"
"362600","TARRANT COUNTY COLLEGE","FORT WORTH","TX","Public 2yr","61706196","18322"
"362700","TEMPLE COLLEGE","TEMPLE","TX","Public 2yr","8675526","2475"
"362800","TEXARKANA COLLEGE","TEXARKANA","TX","Public 2yr","7860805","2021"
"363000","PRAIRIE VIEW A&M UNIVERSITY","PRAIRIE VIEW","TX","Public 4yr","26910954","5451"
"363100","TARLETON STATE UNIVERSITY","STEPHENVILLE","TX","Public 4yr","21914062","4937"
"363200","TEXAS A&M UNIVERSITY","COLLEGE STATION","TX","Public 4yr","55432768","11850"
"363400","TEXAS STATE TECHNICAL CLG AT WACO","WACO","TX","Public 2yr","30587852","6995"
"363600","TEXAS CHRISTIAN UNIVERSITY","FORT WORTH","TX","Private 4yr","5899179","1314"
"363700","JARVIS CHRISTIAN COLLEGE","HAWKINS","TX","Private 4yr","4523943","849"
"363800","TEXAS COLLEGE","TYLER","TX","Private 4yr","4760971","965"
"363900","TEXAS A&M UNIVERSITY-KINGSVILLE","KINGSVILLE","TX","Public 4yr","15323259","3206"
"364100","TEXAS LUTHERAN UNIVERSITY","SEGUIN","TX","Private 4yr","2114964","474"
