"OPE_ID","INSTITUTION NAME","INSTITUTION CITY","INSTITUTION STATE","INSTITUTION TYPE AND CONTROL","TOTAL AWARDS","TOTAL RECIPIENTS"
"160100","UNIV OF WEST GEORGIA","CARROLLTON","GA","Public 4yr","26535766","5598"
"160200","GEORGIA COLLEGE & STATE UNIVERSITY","MILLEDGEVILLE","GA","Public 4yr","5534572","1228"
"160400","YOUNG HARRIS COLLEGE","YOUNG HARRIS","GA","Private 4yr","1871719","404"
"160500","CHAMINADE UNIV OF HONOLULU","HONOLULU","HI","Private 4yr","3711211","925"
"160600","BRIGHAM YOUNG UNIV-HAWAII CAMPUS","LAIE","HI","Private 4yr","3820848","724"
"161000","UNIVERSITY OF HAWAII AT MANOA","HONOLULU","HI","Public 4yr","17657502","3984"
"161100","UNIVERSITY OF HAWAII AT HILO","HILO","HI","Public 4yr","6926311","1530"
"161200","HONOLULU COMMUNITY COLLEGE","HONOLULU","HI","Public 2yr","3003531","872"
"161300","KAPIOLANI COMMUNITY COLLEGE","HONOLULU","HI","Public 2yr","5134452","1410"
"161400","KAUAI COMMUNITY COLLEGE","LIHUE","HI","Public 2yr","1488723","468"
"161500","UNIVERSITY OF HAWAII MAUI COLLEGE","KAHULUI","HI","Public 4yr","3841104","1149"
"161600","BOISE STATE UNIVERSITY","BOISE","ID","Public 4yr","23573674","5869"
"161700","COLLEGE OF IDAHO, THE","CALDWELL","ID","Private 4yr","1284926","286"
"161900","COLLEGE OF SOUTHERN IDAHO","TWIN FALLS","ID","Public 2yr","6062398","1750"
"162000","IDAHO STATE UNIVERSITY","POCATELLO","ID","Public 4yr","16358239","4066"
"162100","LEWIS-CLARK STATE COLLEGE","LEWISTON","ID","Public 4yr","5885006","1459"
"162300","NORTH IDAHO COLLEGE","COEUR D'ALENE","ID","Public 2yr","6437393","1926"
"162400","NORTHWEST NAZARENE UNIVERSITY","NAMPA","ID","Private 4yr","2463929","566"
"162500","BRIGHAM YOUNG UNIVERSITY-IDAHO","REXBURG","ID","Private 4yr","76500369","17060"
"162600","UNIVERSITY OF IDAHO","MOSCOW","ID","Public 4yr","13597910","3080"
"162800","AMERICAN ACADEMY OF ART","CHICAGO","IL","Proprietary 4yr","581640","155"
"163300","AUGUSTANA COLLEGE","ROCK ISLAND","IL","Private 4yr","2735629","638"
"163400","AURORA UNIVERSITY","AURORA","IL","Private 4yr","7924174","1866"
"163600","SOUTHWESTERN ILLINOIS COLLEGE","BELLEVILLE","IL","Public 2yr","11518031","3591"
"163800","BLACK HAWK COLLEGE","MOLINE","IL","Public 2yr","5668432","1690"
"163900","BLACKBURN COLLEGE","CARLINVILLE","IL","Private 4yr","1561227","345"
"164000","PRAIRIE STATE COLLEGE","CHICAGO HEIGHTS","IL","Public 2yr","7542175","2305"
"164100","BRADLEY UNIVERSITY","PEORIA","IL","Private 4yr","5778175","1281"
"164300","SPOON RIVER COLLEGE","CANTON","IL","Public 2yr","2781538","666"
"164800","TRUMAN COLLEGE","CHICAGO","IL","Public 2yr","6267821","1737"
"164900","RICHARD J DALEY COLLEGE","CHICAGO","IL","Public 2yr","5089248","1466"
"165000","CITY COLLEGES OF CHICAGO-MALCOLM X","CHICAGO","IL","Public 2yr","11504987","3412"
"165200","HAROLD WASHINGTON COLLEGE","CHICAGO","IL","Public 2yr","16321547","4328"
"165400","KENNEDY KING COLLEGE","CHICAGO","IL","Public 2yr","6450375","1872"
"165500","WRIGHT COLLEGE","CHICAGO","IL","Public 2yr","11979634","3430"
"166400","UNIVERSITY OF ST FRANCIS","JOLIET","IL","Private 4yr","2622896","615"
"166500","COLUMBIA COLLEGE","CHICAGO","IL","Private 4yr","10884192","2552"
"166600","CONCORDIA UNIVERSITY","RIVER FOREST","IL","Private 4yr","2994136","685"
"166900","DANVILLE AREA COMMUNITY COLLEGE","DANVILLE","IL","Public 2yr","3626274","1029"
"167100","DEPAUL UNIVERSITY","CHICAGO","IL","Private 4yr","21499992","5195"
"167400","EASTERN ILLINOIS UNIVERSITY","CHARLESTON","IL","Public 4yr","10460720","2277"
"167500","ELGIN COMMUNITY COLLEGE","ELGIN","IL","Public 2yr","9596610","3018"
"167600","ELMHURST COLLEGE","ELMHURST","IL","Private 4yr","4905801","1142"
"167800","EUREKA COLLEGE","EUREKA","IL","Private 4yr","1104718","259"
"168100","HIGHLAND COMMUNITY COLLEGE","FREEPORT","IL","Public 2yr","2893054","829"
"168400","GREENVILLE COLLEGE","GREENVILLE","IL","Private 4yr","1990748","465"
"168500","HEBREW THEOLOGICAL COLLEGE","SKOKIE","IL","Private 4yr","269237","59"
"168800","ILLINOIS COLLEGE","JACKSONVILLE","IL","Private 4yr","1780669","402"
"169100","ILLINOIS INSTITUTE OF TECHNOLOGY","CHICAGO","IL","Private 4yr","4194125","890"
"169200","ILLINOIS STATE UNIVERSITY","NORMAL","IL","Public 4yr","24852733","5398"
"169300","NORTHEASTERN ILLINOIS UNIV","CHICAGO","IL","Public 4yr","15684257","3801"
"169400","CHICAGO STATE UNIVERSITY","CHICAGO","IL","Public 4yr","6048668","1489"
"169600","ILLINOIS WESLEYAN UNIVERSITY","BLOOMINGTON","IL","Private 4yr","1626146","361"
"169900","JOLIET JUNIOR COLLEGE","JOLIET","IL","Public 2yr","12469906","3632"
"170000","JUDSON UNIVERSITY","ELGIN","IL","Private 4yr","2111836","541"
"170100","KASKASKIA COLLEGE","CENTRALIA","IL","Public 2yr","3946940","1123"
"170300","KENDALL COLLEGE","CHICAGO","IL","Proprietary 4yr","1623908","501"
"170400","KNOX COLLEGE","GALESBURG","IL","Private 4yr","1991370","447"
"170500","ILLINOIS VALLEY COMMUNITY COLLEGE","OGLESBY","IL","Public 2yr","3929114","1127"
"170600","LAKE FOREST COLLEGE","LAKE FOREST","IL","Private 4yr","2574597","563"
"170700","LEWIS UNIVERSITY","ROMEOVILLE","IL","Private 4yr","6296717","1502"
"170800","LINCOLN CHRISTIAN UNIVERSITY","LINCOLN","IL","Private 4yr","847476","225"
"170900","LINCOLN COLLEGE","LINCOLN","IL","Private 4yr","2967506","671"
"171000","LOYOLA UNIVERSITY CHICAGO","CHICAGO","IL","Private 4yr","13868095","3018"
"171600","MACCORMAC COLLEGE","CHICAGO","IL","Private 2yr","1231654","292"
"171700","MACMURRAY COLLEGE","JACKSONVILLE","IL","Private 4yr","1226438","266"
"172200","MCKENDREE UNIVERSITY","LEBANON","IL","Private 4yr","3318699","812"
"172400","MILLIKIN UNIVERSITY","DECATUR","IL","Private 4yr","3355813","765"
"172500","MONMOUTH COLLEGE","MONMOUTH","IL","Private 4yr","1845119","414"
"172700","MOODY BIBLE INSTITUTE","CHICAGO","IL","Private 4yr","3927712","984"
"172800","MORTON COLLEGE","CICERO","IL","Public 2yr","7186049","2051"
"173200","NATIONAL UNIV OF HEALTH SCIENCES","LOMBARD","IL","Private 4yr","165468","43"
"173300","NATIONAL-LOUIS UNIVERSITY","CHICAGO","IL","Private 4yr","5639330","1409"
"173400","NORTH CENTRAL COLLEGE","NAPERVILLE","IL","Private 4yr","3111121","748"
"173500","NORTH PARK UNIVERSITY","CHICAGO","IL","Private 4yr","4058999","949"
"173700","NORTHERN ILLINOIS UNIVERSITY","DEKALB","IL","Public 4yr","27223066","6240"
"173900","NORTHWESTERN UNIV","EVANSTON","IL","Private 4yr","6441115","1447"
"174100","OLIVET NAZARENE UNIVERSITY","BOURBONNAIS","IL","Private 4yr","4712647","1150"
"174200","IL EASTERN COMM COLGS-OLNEY CENTRAL","OLNEY","IL","Public 2yr","5160289","1257"
"174500","QUINCY UNIVERSITY","QUINCY","IL","Private 4yr","1599931","364"
"174600","ROBERT MORRIS UNIVERSITY ILLINOIS","CHICAGO","IL","Private 4yr","6304847","1309"
"174700","ROCK VALLEY COLLEGE","ROCKFORD","IL","Public 2yr","7188240","2098"
"174800","ROCKFORD UNIVERSITY","ROCKFORD","IL","Private 4yr","2180613","526"
"174900","ROOSEVELT UNIVERSITY","CHICAGO","IL","Private 4yr","5072345","1237"
"175000","DOMINICAN UNIVERSITY","RIVER FOREST","IL","Private 4yr","5144007","1139"
"175200","SAUK VALLEY COMMUNITY COLLEGE","DIXON","IL","Public 2yr","2458438","756"
"175300","SCHOOL OF ART INSTITUTE OF CHICAGO","CHICAGO","IL","Private 4yr","2549778","567"
"175700","SOUTHEASTERN ILLINOIS COLLEGE","HARRISBURG","IL","Public 2yr","2217555","554"
"175800","SOUTHERN ILL UNIV-CARBONDALE","CARBONDALE","IL","Public 4yr","19877855","4483"
"175900","SOUTHERN ILL UNIV-EDWARDSVILLE","EDWARDSVILLE","IL","Public 4yr","18127211","4071"
"176700","BENEDICTINE UNIVERSITY","LISLE","IL","Private 4yr","5841348","1343"
"176800","ST XAVIER UNIVERSITY","CHICAGO","IL","Private 4yr","7579701","1681"
"176900","SOUTH SUBURBAN COLLEGE","SOUTH HOLLAND","IL","Public 2yr","7758418","2345"
"177100","TRINITY CHRISTIAN COLLEGE","PALOS HEIGHTS","IL","Private 4yr","1847001","458"
"177200","TRINITY INTERNATIONAL UNIVERSITY","DEERFIELD","IL","Private 4yr","1689108","449"
"177300","TRITON COLLEGE","RIVER GROVE","IL","Public 2yr","12454581","3482"
"177400","UNIVERSITY OF CHICAGO (THE)","CHICAGO","IL","Private 4yr","3088055","693"
"177500","UNIV OF ILLINOIS @ URBANA-CHAMPAIGN","CHAMPAIGN","IL","Public 4yr","37035159","7729"
"177600","UNIV OF ILLINOIS AT CHICAGO","CHICAGO","IL","Public 4yr","49519017","10751"
"177800","VANDERCOOK COLLEGE OF MUSIC","CHICAGO","IL","Private 4yr","143968","36"
"178000","WESTERN ILLINOIS UNIVERSITY","MACOMB","IL","Public 4yr","18061459","4009"
"178100","WHEATON COLLEGE","WHEATON","IL","Private 4yr","2172766","510"
"178300","WORSHAM COLLEGE OF MORTUARY SCIENCE","WHEELING","IL","Proprietary 2yr","181609","57"
"178400","ANCILLA COLLEGE-FINANCIAL AID OFFC","DONALDSON","IN","Private 2yr","1311744","323"
"178500","ANDERSON UNIVERSITY","ANDERSON","IN","Private 4yr","2482962","580"
"178600","BALL STATE UNIVERSITY","MUNCIE","IN","Public 4yr","24993931","5533"
"178700","BETHEL COLLEGE INC","MISHAWAKA","IN","Private 4yr","2621187","646"
