"OPEID","PELLID","Name","State","Type & Control","Recipients","Awards"
"106100","1061","ALASKA PACIFIC UNIVERSITY","AK","private 4 year","150","357427"
"3160300","31603","ALASKA VOCATIONAL TECHNICAL CENTER","AK","public 2 year","74","207152"
"2541000","17066","CAREER ACADEMY","AK","proprietary","286","660342"
"2576900","17377","CHARTER COLLEGE","AK","proprietary","259","467993"
"3461300","34613","ILISAGVIK COLLEGE","AK","public 2 year","24","56053"
"106200","1062","SHELDON JACKSON COLLEGE","AK","private 4 year","52","140362"
"1146200","11462","UNIVERSITY OF ALASKA - ANCHORAGE","AK","public 4 year","2479","5423479"
"106300","1063","UNIVERSITY OF ALASKA FAIRBANKS","AK","public 4 year","1242","2807207"
"106500","1065","UNIVERSITY OF ALASKA SOUTHEAST","AK","public 4 year","314","697762"
"100200","1002","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","AL","public 4 year","3477","9527332"
"103400","1034","ALABAMA SOUTHERN COMMUNITY COLLEGE","AL","public 2 year","820","2000144"
"3032500","30325","ALABAMA STATE COLLEGE OF BARBER STYLING","AL","proprietary","18","57332"
"100500","1005","ALABAMA STATE UNIVERSITY","AL","public 4 year","3526","10420257"
"100800","1008","ATHENS STATE UNIVERSITY","AL","public 4 year","1044","2311921"
"100900","1009","AUBURN UNIVERSITY","AL","public 4 year","2643","7017618"
"831000","8310","AUBURN UNIVERSITY MONTGOMERY","AL","public 4 year","1552","3828031"
"573300","5733","BEVILL STATE COMMUNITY COLLEGE","AL","public 2 year","2515","5922720"
"101200","1012","BIRMINGHAM SOUTHERN COLLEGE","AL","private 4 year","169","444392"
"103000","1030","BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS","AL","public 2 year","2177","5170084"
"3783300","37833","BLUE CLIFF CAREER COLLEGE","AL","proprietary","140","287553"
"101300","1013","CALHOUN COMMUNITY COLLEGE-DECATUR","AL","public 2 year","3046","6301056"
"2341000","16592","CAPPS COLLEGE","AL","proprietary","1033","2443878"
"3361400","33614","CAPPS COLLEGE","AL","proprietary","376","945026"
"100700","1007","CENTRAL ALABAMA COMMUNITY COLLEGE","AL","public 2 year","1340","3249135"
"1218200","12182","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","AL","public 2 year","1090","2619827"
"1055400","10554","CONCORDIA COLLEGE","AL","private 4 year","753","2058130"
"101500","1015","ENTERPRISE-OZARK COMMUNITY COLLEGE","AL","public 2 year","779","1764588"
"106000","1060","FAULKNER STATE COMMUNITY COLLEGE","AL","public 2 year","1562","3323434"
