"PELLID","Institution","State","Recipients","Awards"
"31168","Deluxe Beauty School","AR","35","79987"
"12260","East Arkansas Community College","AR","709","1347080.4199999999"
"16041","Eastern College Of Health Vocations","AR","563","908451.70999999996"
"31249","Eaton Beauty Stylist College","AR","41","64077"
"8070","Fayetteville Beauty College","AR","40","58003.709999999999"
"5319","Foothills Technical Institute","AR","164","351989.89000000001"
"14004","Forest Echoes Technical Institute","AR","86","118820.36"
"12105","Garland County Community College","AR","806","1491105.96"
"14043","Great Rivers Vocational Technical School","AR","96","173442.70999999999"
"1097","Harding University","AR","1230","2736438"
"1098","Henderson State University","AR","1442","3125302.1299999999"
"1099","Hendrix College","AR","216","478898.28000000003"
"30071","Hot Springs Beauty College","AR","100","172388"
"16498","Jefferson School Of Nursing","AR","49","76941"
"1100","John Brown University","AR","359","624189"
"16925","Lees School Of Cosmetology","AR","47","68278"
"16596","Leon'S Hair Training Academy","AR","61","99592"
"1088","Lyon College","AR","159","342582"
"32543","Margaret'S Hair Academy","AR","24","38328.019999999997"
"16123","Marsha Kay Beauty College","AR","21","39030"
"10741","Mellies Beauty College","AR","25","48998.57"
"15862","Mid-South Community College","AR","624","1157595.28"
"12860","Mississippi County Community College","AR","1119","2167214.1800000002"
"16053","New Tyler Barber College","AR","112","208744.89999999999"
"12261","North Arkansas College","AR","857","1751974"
"30633","Northwest Arkansas Community College","AR","580","962365.32999999996"
"14044","Northwest Technical Institute","AR","132","209005"
"1102","Ouachita Baptist University","AR","383","832788"
"9976","Ouachita Technical College","AR","349","642957.56000000006"
"13217","Ozarka College","AR","405","831750.75"
"1103","Philander Smith College","AR","652","1508303.3999999999"
"1104","Phillips Community College Of The University Of Arkansas","AR","966","1965007.5900000001"
"15585","Professional Cosmetology Education Center","AR","71","142788"
"14167","Pulaski Technical College","AR","1845","3744289.7000000002"
"10848","Quapaw Technical Institute","AR","151","294052.70000000001"
"12435","Rich Mountain Community College","AR","359","701519.5"
"17262","Searcy Beauty College","AR","83","172299.48999999999"
"13858","South Arkansas Community College","AR","423","779234.60999999999"
"14893","Southeast Arkansas College","AR","837","1695317.3300000001"
"1107","Southern Arkansas University","AR","1293","2920668.0699999998"
"7738","Southern Arkansas University Tech","AR","304","611687.33999999997"
"16595","Southern Institute Of Cosmetology","AR","156","340018.59999999998"
"31863","Thelma'S Beauty Academy","AR","17","31757"
"1108","University Of Arkansas","AR","3053","6692811.5300000003"
"1110","University Of Arkansas At Fort Smith","AR","1328","2533546"
"1101","University Of Arkansas At Little Rock","AR","3465","7321170.3200000003"
"1085","University Of Arkansas At Monticello","AR","1174","2702954.1200000001"
"1086","University Of Arkansas At Pine Bluff","AR","1934","4783948.0099999998"
"14042","University Of Arkansas Community College At Batesville","AR","602","1070231.75"
"5732","University Of Arkansas Community College At Hope","AR","582","1158592.1399999999"
"5245","University Of Arkansas Community College At Morrilton","AR","679","1331018"
"1109","University Of Arkansas For Medical Sciences","AR","207","471075"
"1092","University Of Central Arkansas","AR","2494","5323075"
"1094","University Of The Ozarks","AR","212","457168"
"32143","Velvatex College Of Beauty Culture","AR","3","6600"
"1106","Williams Baptist College","AR","291","593455"
"10010","American Samoa Community College","AS","695","1411002.3100000001"
"16203","Academy Of Business College","AZ","238","378798.39000000001"
"15681","Aibt International Institute Of The Americas - Phoenix","AZ","2025","4229435.9000000004"
"15333","Al Collins Graphic Design School","AZ","1284","2619740.2200000002"
"15550","American Indian College Of The Assemblies Of God","AZ","59","134026.79000000001"
"16405","American Institute Of Technology","AZ","208","258599.98000000001"
"14550","Apollo College","AZ","1242","2379702"
"8864","Arizona Academy Of Beauty","AZ","91","170579.19"
"11802","Arizona Academy Of Beauty-North","AZ","76","125536.22"
"10847","Arizona Automotive Institute","AZ","389","592394.53000000003"
"31150","Arizona College Of Allied Health","AZ","117","201693"
"1081","Arizona State University","AZ","8653","18132967.399999999"
"1071","Arizona Western College","AZ","2485","4450502.8399999999"
"16730","Art Center Design College (The)","AZ","340","677567.59999999998"
"12343","Artistic Beauty Colleges - Phoenix","AZ","115","172701"
"11808","Artistic Beauty Colleges-Flagstaff","AZ","111","210135"
"15694","Artistic Beauty Colleges-Glendale","AZ","81","148487"
"12937","Artistic Beauty Colleges-Scottsdale","AZ","70","88115"
"8865","Artistic Beauty Colleges-Tucson","AZ","168","260402"
"30764","Bryman School (The) - Phoenix","AZ","2147","4255033"
"30978","Carsten Institute Of Hair And Beauty","AZ","67","119668"
"7283","Central Arizona College","AZ","982","1846613.5"
"30722","Chandler-Gilbert Community College","AZ","624","996341"
"9451","Chaparral College","AZ","430","796473.37"
"16098","Charles Of Italy Beauty College","AZ","45","75206"
"16898","Charles Of Italy Beauty College","AZ","8","11036"
"14518","Clinton Technical Institute","AZ","1357","2289668.6899999999"
"1072","Cochise College","AZ","1881","3404404"
"31004","Coconino County Community College-Flagstaff Lone Tree Campus & Dist.Of","AZ","541","891611"
"30344","Conservatory Of Recording Arts & Sciences","AZ","169","236963"
"25827","Desert Institute Of The Healing Arts","AZ","86","122346"
"15324","Devoe College Of Beauty","AZ","51","74455.979999999996"
"8322","Devry Institute Of Technology","AZ","2768","5668802.8799999999"
"8246","Dine College","AZ","1121","2437985"
"10858","Earl'S Academy Of Beauty","AZ","77","136500"
"1073","Eastern Arizona College","AZ","1217","2246376"
"31563","Estrella Mountain Community College","AZ","744","1121822"
"8303","Gateway Community College","AZ","1341","1895906.4199999999"
"1076","Glendale Community College","AZ","3060","4889871"
"1074","Grand Canyon University","AZ","462","970259"
"34453","Hds Truck Driving Institute","AZ","49","71995.610000000001"
"15988","High-Tech Institute - Phoenix","AZ","2396","4997987"
"14283","International Academy Of Hair Design","AZ","51","105090.77"
"33473","International Baptist College","AZ","21","38308"
"5186","Lamson Junior College","AZ","131","178740"
"13884","Long Technical College","AZ","335","632540"
"15491","Maricopa Beauty College","AZ","35","60047.849999999999"
"1077","Mesa Community College","AZ","3434","5828946.1200000001"
"30812","Metropolitan College Of Court Reporting","AZ","76","153138"
"11864","Mohave Community College","AZ","650","1053905.3"
"30047","Mundus Institute","AZ","30","53352.089999999997"
"31157","North American Technical College","AZ","152","230871"
"31203","Northern Arizona College Of Health Careers","AZ","23","36000"
"1082","Northern Arizona University","AZ","4302","8905795"
"11862","Northland Pioneer College","AZ","793","1450013.98"
"26236","Paradise Valley Community College","AZ","906","1454606.0700000001"
"1078","Phoenix College","AZ","2507","4534190.9000000004"
"34013","Phoenix First Pastors College","AZ","60","143545"
"26238","Phoenix Therapeutic Massage College","AZ","138","235151"
"7266","Pima County Community College","AZ","5917","11136784.5"
"15666","Pima Medical Institute","AZ","2120","3964500.1499999999"
"13659","Prescott College","AZ","297","612658"
"14483","Rio Salado Community College","AZ","904","1094088.3500000001"
"14740","Roberto-Venn School Of Luthiery","AZ","12","20869"
"30050","Safford College Of Beauty Culture","AZ","52","105282.66"
"25619","Scott  Cole Academy","AZ","33","56358"
"8304","Scottsdale Community College","AZ","950","1567705"
"26167","Scottsdale Culinary Institute","AZ","271","531996"
"15001","South Mountain Community College","AZ","923","1537606.5"
"7113","Southwestern College","AZ","89","177916"
"14127","The Refrigeration School","AZ","105","185227.34"
"14212","Tucson College","AZ","282","441100.21000000002"
"8221","Universal Technical Institute","AZ","2450","4452824.1399999997"
"17188","University Of Advancing Computer Technology","AZ","379","639935"
"1083","University Of Arizona (The)","AZ","6068","13268418.5"
"14593","University Of Phoenix","AZ","17573","24168754.91"
"14970","Western International University","AZ","179","266330"
"1079","Yavapai College","AZ","1068","1751831"
"7531","Academy Of Art College","CA","1242","2359588"
"30987","Academy Of Court Reporting - Academy Of Professional Careers","CA","751","1453412"
"23424","Academy Of Radio Broadcasting","CA","140","246250.45999999999"
"31303","Academy Of Radio Broadcasting (The)","CA","7","11888"
"7605","Academy Pacific Travel College","CA","255","588336.5"
"30199","Adelante Career Institute","CA","210","365571"
"16897","Adrians Beauty College Of Turlock","CA","53","110945"
"34053","Advanced Career Technologies Institute","CA","6","10647"
"14046","Alameda Beauty College","CA","54","70346"
"14260","Alhambra Beauty College","CA","234","510962"
"1111","Allan Hancock College","CA","1670","3101502.4900000002"
"1158","Alliant International University - San Diego","CA","238","515942"
"14801","American Academy Of Dramatic Arts-West","CA","66","160725"
"13074","American Beauty College","CA","39","85547"
"15829","American Career College","CA","1717","3336212"
"25891","American College Of Business","CA","221","422260.59000000003"
"31444","American College Of Health Professions","CA","25","46553.110000000001"
"31384","American College Of Medical Technology","CA","388","727325.16000000003"
"14545","American Conservatory Theatre Foundation","CA","6","14950"
"32253","American Institute Of Health Sciences","CA","56","99050"
"1232","American River College","CA","3787","7663465.0899999999"
"17265","Andon College","CA","487","975232"
"16307","Andon College Of Modesto","CA","472","967701"
"1113","Antelope Valley College","CA","2003","3348249"
"1116","Art Center College Of Design","CA","640","1650891.5700000001"
"16471","Art Institute Of California - San Diego","CA","192","292743.34000000003"
"16517","Art Institute Of Southern California","CA","99","232762"
"25956","Asian - American International Beauty College","CA","117","236019"
"13988","Associated Technical College","CA","505","1206205"
"17134","Associated Technical College","CA","103","244160"
"17135","Associated Technical College","CA","336","731791"
"16894","Avance Beauty College","CA","27","64999"
"1117","Azusa Pacific University","CA","875","1815474"
"1118","Bakersfield College","CA","5859","11019501.720000001"
"30674","Baldwin Park Adult School","CA","127","173191.32999999999"
"1119","Barstow Community College","CA","558","1064277.3400000001"
"7050","Bay Vista College Of Beauty","CA","120","249003.64999999999"
"1121","Bethany College Of The Assemblies Of God","CA","208","385831"
"32663","Bethesda Christian University","CA","21","55263"
"1122","Biola University","CA","590","1187929.7"
"13703","Brooks College","CA","1174","2533395.8700000001"
"1123","Brooks Institute Of Photography -","CA","161","349647.06"
"17050","Brownson Technical School","CA","25","56725"
"7164","Bryan College Of Court Reporting","CA","85","150100"
"31202","Bryan College-San Francisco","CA","11","15342"
"7606","Bryman College","CA","649","1036762.61"
"8090","Bryman College","CA","1069","2017661.8999999999"
"11024","Bryman College","CA","663","1078455.8600000001"
"11107","Bryman College","CA","603","1001602"
"11109","Bryman College","CA","586","994716"
"11121","Bryman College","CA","791","1031804"
"11123","Bryman College","CA","943","1520544.49"
"12061","Bryman College","CA","435","780133"
"30723","Bryman College","CA","501","899351"
"31286","Business & Technology Training Institute","CA","30","32705"
"6972","Butte College","CA","3221","6133136"
"1124","Cabrillo College","CA","1500","2834566.2000000002"
"1125","California Baptist University","CA","711","1367238"
"13828","California Beauty College","CA","23","55107"
"16855","California Business Institute","CA","641","1578186.5800000001"
"14128","California Christian College","CA","87","148197.5"
"14683","California College For Health Sciences- Resident Division","CA","68","138775.79999999999"
"1127","California College Of Arts & Crafts","CA","330","729708"
"16720","California College Of Technology","CA","202","365786.19"
"13500","California Cosmetology College","CA","23","31182"
"15698","California Culinary Academy","CA","274","518719.03000000003"
"31254","California Design College","CA","295","681009.32999999996"
"11865","California Hair Design Academy","CA","103","207772.63"
"31534","California Institute Of Customer Engineering","CA","55","46534"
"12154","California Institute Of Integral Studies","CA","16","19483.330000000002"
"1131","California Institute Of Technology","CA","137","296069"
"1132","California Institute Of The Arts","CA","225","559424"
"1133","California Lutheran University","CA","357","728057.19999999995"
"1134","California Maritime Academy","CA","162","407157"
"12562","California Paramedical And Technical College","CA","678","1517294.7"
"1143","California Polytechnic State University","CA","3695","7990713"
"33833","California Recording Institute","CA","51","77396.139999999999"
"30695","California School Of Court Reporting-Riverside Inc","CA","201","368733.69"
"32103","California School Of Culinary Arts-","CA","400","881966.94999999995"
"34463","California School Of Medical Sciences","CA","195","527722.27000000002"
"1144","California State Polytechnic University, Pomona","CA","6324","14929920.07"
"1147","California State University - Fresno","CA","7106","17118221.109999999"
"1139","California State University - Long Beach","CA","8411","18676628.609999999"
"1150","California State University - Sacramento","CA","7742","16293041.619999999"
"1142","California State University - San Bernardino","CA","5284","11909043.289999999"
"30113","California State University San Marcos","CA","1893","3878936"
"7993","California State University, Bakersfield","CA","2478","5493087"
"1146","California State University, Chico","CA","5169","11634674.699999999"
"1141","California State University, Dominguez Hills","CA","4218","9010915.1899999995"
"1137","California State University, Fullerton","CA","7190","15783232.33"
"1138","California State University, Hayward","CA","2909","6548589.3700000001"
"1140","California State University, Los Angeles","CA","6777","15956798.130000001"
"32603","California State University, Monterey Bay","CA","1024","2404246"
"1153","California State University, Northridge","CA","9994","22733207.579999998"
"1157","California State University, Stanislaus","CA","2480","5452893"
"6973","Canada College","CA","205","390327"
"13914","Career Academy Of Beauty","CA","142","178304"
"34274","Career Colleges Of America","CA","215","486744"
"32423","Career Networks Institute","CA","83","162506"
"6731","Casa Loma College","CA","303","616822"
"30445","Cei College -","CA","439","842322.63"
"16516","Center For Employment Training","CA","1324","2674552.71"
"30977","Central California School Of Continuing Education","CA","112","273485"
"26023","Central Coast College","CA","210","300214"
"1161","Cerritos Community College","CA","4872","9062234.5700000003"
"1162","Chabot College","CA","1877","3469574.8900000001"
"1163","Chaffey Community College","CA","1695","2926733.4199999999"
"1164","Chapman University","CA","1341","2409913.4399999999"
"13653","Charles R. Drew University Of Medicine And Science","CA","97","223292"
"12031","Christian Heritage College","CA","265","514263"
"1166","Citrus Community College","CA","1652","3030296"
"1170","Claremont Mckenna College","CA","141","323089"
"32783","Clarita Career College","CA","194","383463.59000000003"
"14919","Cleveland Chiropractic College","CA","47","80616"
"16330","Clovis Adult Education","CA","162","259942"
"31293","Coastal Valley College","CA","8","19747"
"13536","Coastline Community College","CA","363","679403"
"1177","Cogswell Polytechnical College","CA","69","140038"
"9273","Coleman College - La Mesa","CA","622","1147798.52"
"15686","Colleen O'Hara'S Beauty Academy","CA","120","258348"
"6720","College Of Alameda","CA","820","1716378.54"
"1178","College Of Marin","CA","936","1792717.77"
"1179","College Of Notre Dame","CA","257","573650"
"11696","College Of Oceaneering","CA","249","429345"
"1181","College Of San Mateo","CA","505","1069004"
"8903","College Of The Canyons","CA","688","1407406"
"1182","College Of The Desert","CA","1913","3642539.6299999999"
"1185","College Of The Redwoods","CA","1924","3754497"
"1186","College Of The Sequoias","CA","3417","6566096.0499999998"
"1187","College Of The Siskiyous","CA","691","1314153"
"7707","Columbia College","CA","481","933122"
"14697","Columbia College-Hollywood","CA","41","79843.970000000001"
"32503","Community Based Education And Development","CA","58","164623"
"1188","Compton Community College","CA","1424","2953616.3700000001"
"31131","Computer Education Institute -","CA","2904","6240034"
"31096","Computer Training Academy","CA","338","582912.78000000003"
"34153","Computer Training Institute","CA","2","2275"
"7607","Concorde Career Institute","CA","663","1199987"
"7930","Concorde Career Institute","CA","418","552749"
"8071","Concorde Career Institute","CA","576","1153028"
"8537","Concorde Career Institute","CA","925","1662340"
"13885","Concordia University","CA","233","490382"
"1190","Contra Costa College","CA","796","1645337"
"7536","Cosumnes River College","CA","1828","3699012.1699999999"
"9272","Crafton Hills College","CA","913","1460814.26"
"1192","Cuesta College","CA","1491","2860564.8399999999"
"14435","Cuyamaca College","CA","842","1635172.3300000001"
"14557","Cynthia'S Beauty Academy","CA","450","993391"
"1193","Cypress College","CA","2207","4477041.9400000004"
"4480","De Anza Community College","CA","1611","3267663.5800000001"
"30256","Dell'Arte School Of Physical Theatre","CA","3","6400"
"32004","Desert Career College","CA","136","256683.54999999999"
"16233","Design Institute Of San Diego","CA","91","179181"
"16524","Devry Institute Of Technology-Pomona","CA","4694","9397327.2699999996"
"1191","Diablo Valley College","CA","866","1679166"
"17136","Diversified Language Institute-Los Angeles","CA","503","993351"
"1196","Dominican College Of San Rafael","CA","340","734101.79000000004"
"9158","Don Bosco Technical Institute","CA","29","67312"
"34794","Donald Vocational School","CA","25","52030"
"31095","Dongguk Royal University","CA","26","46906"
"10229","D-Q University","CA","139","192149"
"1222","East Los Angeles College","CA","2724","5858047.1100000003"
"33943","Education America University","CA","223","342407.94"
"1197","El Camino College District","CA","2497","4993250.2699999996"
"14484","Elegance International","CA","2","2750"
"12650","Elegante Beauty Colleges","CA","81","191372"
"12651","Elegante Beauty Colleges","CA","54","92311"
"13598","Elegante Beauty Colleges","CA","41","75011"
"14846","Elegante Beauty Colleges","CA","91","186878"
"30944","Elite Progressive School Of Cosmetology","CA","41","103380.2"
"9032","Empire College","CA","364","722905.83999999997"
"34134","English Center For International Women","CA","53","112241.5"
"30877","Escuelas  Leicester","CA","44","125575"
"15125","Estes Institute Of Cosmetology Arts & Sciences","CA","54","107395"
"12452","Evergreen Valley College","CA","1136","2366120"
"15756","Fashion Careers Of California College","CA","79","151151.07999999999"
"11112","Fashion Institute Of Design & Merchandising -","CA","1424","2834325.6800000002"
"8597","Feather River Community College","CA","209","434163"
"7253","Federico College Of Hairstyling","CA","144","240074"
"31313","Five Branches Institute","CA","10","18487"
"1199","Foothill College","CA","439","866398.44999999995"
"32713","Foundation College, San Diego","CA","5","9075"
"31623","Four-D Success Academy","CA","195","345003"
"13557","Fredrick And Charles Beauty College","CA","29","65562"
"1307","Fresno City College","CA","7407","13643794"
"1253","Fresno Pacific University","CA","498","1018198.98"
"1201","Fullerton College","CA","2163","4208181.0599999996"
"12027","Galen College Of California","CA","554","981014"
"1202","Gavilan College","CA","469","948997"
"15765","Gemological Institute Of America","CA","30","59427"
"34323","Gendarme Institute","CA","134","301351.66999999998"
"16581","Glendale Career College","CA","1177","2279116.98"
"1203","Glendale Community College","CA","3756","7793961.6100000003"
"1205","Golden Gate University","CA","143","230339"
"1206","Golden West College","CA","2012","4539067.0999999996"
"1208","Grossmont College","CA","2378","4393481.1900000004"
"12522","Hacienda La Puente Adult Education","CA","240","437071.5"
"14599","Hairmasters University Of Beauty","CA","46","91007"
"31954","Harbor Medical College","CA","109","158814"
"1209","Hartnell Community College","CA","1632","2956171"
"1171","Harvey Mudd College","CA","79","163100"
"7234","Heald College","CA","2012","3801175.3399999999"
"7477","Heald College","CA","682","1334822"
"8093","Heald College","CA","875","1846386.22"
"8532","Heald College","CA","1045","2215908.23"
"15974","Heald College","CA","224","422503.72999999998"
"25932","Heald College","CA","742","1474631.72"
"14111","Heald College, School Of Business","CA","268","546551.21999999997"
"15453","Heald College, Schools Of Business And Technology","CA","636","1184111.1100000001"
"25931","Heald College, Schools Of Business And Technology","CA","698","1284589"
"25933","Heald College, Schools Of Business And Technology","CA","582","1211550.24"
"30340","Heald College, Schools Of Business And Technology","CA","725","1517739.0700000001"
"25892","Healthstaff Training Institute","CA","20","26891"
"14813","Hilltop Beauty School","CA","151","311585"
"1183","Holy Names College","CA","143","268326"
"1252","Hope International University","CA","242","433893"
"1149","Humboldt State University","CA","2818","6631615.0600000005"
"1212","Humphreys College","CA","510","911106"
"16803","Huntington College Of Dental Technology","CA","23","21055"
"17061","Hypnosis Motivation Institute","CA","110","169188"
"34673","Image Schools Of Cosmetology","CA","44","68428.600000000006"
"1214","Imperial Valley College","CA","2748","5349615.9299999997"
"14673","Institute For Business & Technology","CA","455","736009"
"16355","Institute Of Computer Computer Technology","CA","237","508979.12"
"30675","Institute Of Technology","CA","740","1386412"
"25594","Intercoast Colleges - Santa Ana","CA","271","582491"
"16930","Interior Designers Institute","CA","29","44716"
"33953","International Career Development Center","CA","424","754547"
"14552","International School Of Cosmetology","CA","63","92892"
"25395","Irvine Valley College","CA","892","1854737"
"32683","Ivory Dental Technology College","CA","33","71150"
"34854","James Albert School Of Cosmetology","CA","7","13699"
"12026","Je Boutique College Of Beauty","CA","128","198623.29999999999"
"4484","John F. Kennedy University","CA","39","59010"
"31253","John Wesley International Barber And Beauty College","CA","96","202323"
"9268","Kelsey -Jenney College","CA","436","770886.78000000003"
"33083","Kensington College","CA","18","23724"
"32823","Kim Anh Academy Of Beauty","CA","111","250233"
"35163","King'S College And Seminary (The)","CA","21","27425"
"1215","La Sierra University","CA","506","1167463.1100000001"
"12907","Lake Tahoe Community College","CA","200","283883"
"13010","Lancaster Beauty School","CA","168","295318.16999999998"
"1266","Laney College","CA","1854","4166251.2999999998"
"30357","Las Positas College","CA","345","607223.30000000005"
"1217","Lassen College","CA","413","865274.71999999997"
"16029","Life Bible College","CA","173","332438.5"
"15732","Life Chiropractic College West","CA","14","18886"
"24948","Lola Beauty College","CA","86","210144"
"1218","Loma Linda University","CA","369","804568.76000000001"
"1219","Long Beach City College","CA","7319","13585627.060000001"
"1223","Los Angeles City College","CA","3507","7846757.0800000001"
"32593","Los Angeles College Of Micro Technology","CA","42","73541.369999999995"
"6165","Los Angeles County College Of Nursing And Allied Health -","CA","71","126214"
"1224","Los Angeles Harbor College","CA","1831","3231894.0499999998"
"12550","Los Angeles Mission College","CA","1088","2219074.02"
"17306","Los Angeles Ort Technical Institute","CA","1499","3199956.3599999999"
"1226","Los Angeles Pierce College","CA","1680","3296649.5899999999"
"26128","Los Angeles Recording Workshop","CA","172","176736.25"
"7047","Los Angeles Southwest College","CA","1516","2778762.46"
"1227","Los Angeles Trade Technical College","CA","2567","5270161.6299999999"
"1228","Los Angeles Valley College","CA","2420","5084354.4299999997"
"10340","Los Medanos College","CA","761","1367505"
"1234","Loyola Marymount University","CA","1128","2561085.79"
"7142","Lyles Fresno College Of Beauty","CA","261","489176.48999999999"
"13807","Lytles Redwood Empire Beauty College","CA","45","76871.130000000005"
"14265","Madera Beauty College","CA","36","77462"
"12316","Manchester Beauty College","CA","105","215043"
"34404","Marian Health Careers Center","CA","36","82286"
"14444","Maric College","CA","990","1824406"
"17194","Maric College","CA","622","1147621"
"7476","Marinello Schools Of Beauty","CA","722","1567119"
"30749","Martinez Adult Education","CA","20","32011"
"10474","Marymount College","CA","145","294496"
"16226","Master Institute","CA","519","459507"
"1220","Master'S College And Seminary","CA","324","651954"
"11672","Mendocino Community College","CA","653","1150229"
"1236","Menlo College","CA","157","329666"
"1237","Merced College","CA","2497","5153901.4199999999"
"1267","Merritt College","CA","777","1690574.6200000001"
"31133","Microcomputer Education Center - School Of Business & Technology","CA","151","325888.10999999999"
"1238","Mills College","CA","310","687518.5"
"1239","Miracosta College","CA","763","1355052"
"16580","Miss Marty'S School Of Beauty And Hairstyling","CA","59","94028"
"14458","Mission College","CA","788","1542143.45"
"7204","Modern Beauty Academy - Oxnard","CA","74","161475"
"30634","Modern Technology School","CA","104","199878"
"17072","Modern Technology School Of X-Ray","CA","544","1135464"
"1240","Modesto Junior College","CA","2984","5353262.29"
"15101","Moler Barber College","CA","15","25544.540000000001"
