"PELLID","Institution","State","Recipients","Awards"
"1061","Alaska Pacific University","AK","98","176368"
"31603","Alaska Vocational Technical Center","AK","55","111287.57000000001"
"17066","Career Academy","AK","186","300101.39000000001"
"17377","Charter College","AK","245","380022.16999999998"
"34613","Ilisagvik College","AK","12","24900"
"25833","New Concepts Beauty School","AK","12","20946"
"1062","Sheldon Jackson College","AK","48","105450.5"
"11462","University Of Alaska - Anchorage","AK","1910","3499882.1699999999"
"1063","University Of Alaska At Fairbanks","AK","1220","2461738"
"1065","University Of Alaska At Southeast","AK","233","408827"
"1002","Alabama Agricultural & Mechanical University","AL","2488","6163713.79"
"1034","Alabama Southern Community College","AL","895","1805533.4099999999"
"30325","Alabama State College Of Barber Styling","AL","46","97580.5"
"1005","Alabama State University","AL","3131","7504705"
"1008","Athens State University","AL","821","1580385"
"1009","Auburn University","AL","2685","5762405"
"8310","Auburn University Montgomery","AL","1590","3354757"
"5704","Bessemer State Technical College","AL","716","1068798"
"5733","Bevill State Community College","AL","1991","4077959.6499999999"
"1012","Birmingham Southern College","AL","207","449587"
"1030","Bishop State Community College - Main Campus","AL","3463","7242423.5899999999"
"1013","Calhoun State Community College","AL","2457","4377051"
"16592","Capps College","AL","841","1344746.1100000001"
"1007","Central Alabama Community College","AL","840","1255224"
"12182","Chattahoochee Valley Community College","AL","889","1785314.4099999999"
"10554","Concordia College","AL","463","981456"
"5698","Douglas Macarthur State Technical College","AL","418","636004"
"26055","Education America - Southeast College Of Technology","AL","1974","3531775.8999999999"
"1015","Enterprise State Junior College","AL","776","1538041.6299999999"
"1060","Faulkner State Community College","AL","1129","2211859"
"1003","Faulkner University","AL","1388","2698686.8300000001"
"4462","Gadsden Business College","AL","279","487709"
"1017","Gadsden State Community College","AL","1565","3039252"
"16445","Gaither & Company Beauty College","AL","102","209258.45000000001"
"1018","George C. Wallace Community College","AL","2081","3267618.27"
"7871","George C. Wallace State Community College","AL","1717","3586765.75"
"9980","George Corley Wallace State Community College","AL","1149","2187431.1499999999"
"5705","Harry M Ayers State Technical College","AL","634","1060728.45"
"10193","Herzing College","AL","479","933316"
"1019","Huntingdon College","AL","155","336605"
"30280","Huntsville Business Institute, Llc","AL","72","90277.990000000005"
"15370","International Bible College","AL","82","169724"
"5260","J F Drake State Technical College","AL","315","604704.04000000004"
"1020","Jacksonville State University","AL","2596","5671260"
"1021","Jefferson Davis Community College","AL","716","1372163.5"
"1022","Jefferson State Community College","AL","1342","2355948.7799999998"
"5693","John M. Patterson State Technical College","AL","525","763319.56000000006"
"1023","Judson College","AL","118","257641.07000000001"
"1059","Lawson State Community College","AL","1473","3191763.4300000002"
"8988","Lurleen B. Wallace State Junior College-","AL","343","743801.5"
"1026","Marion Military Institute","AL","57","131779"
"33614","Medical Institute (The)","AL","79","151817"
"1028","Miles College","AL","1345","3307257.9700000002"
"1031","Northeast Alabama Community College","AL","776","1417486"
"5697","Northwest-Shoals Community College","AL","1764","3425693.8799999999"
"1033","Oakwood College","AL","763","1779183.78"
"16217","Prince Institute Of Professional Studies, Inc.","AL","54","97764"
"5692","Reid State Technical College","AL","547","796303"
"1036","Samford University","AL","347","719984"
"5691","Shelton State Community College","AL","2233","4565333.8499999996"
"1038","Snead State Community College","AL","647","1191095.3600000001"
"13857","Southeastern Bible College","AL","106","218099"
"34593","Southeastern School Of Cosmetology","AL","22","31509"
"16885","Southern Christian University","AL","111","222940"
"11237","Southern Community College","AL","58","114896"
"1040","Southern Union State Community College","AL","1424","2934084.29"
"1041","Spring Hill College","AL","331","685365"
"1044","Stillman College","AL","1176","2944827"
"1046","Talladega College","AL","367","885100.5"
"5734","Trenholm State Technical College","AL","729","1028339.24"
"1047","Troy State University","AL","3892","8061104.4699999997"
"1050","Tuskegee University","AL","1195","2967544.9500000002"
"1051","University Of Alabama","AL","3517","8021717"
"1052","University Of Alabama At Birmingham","AL","2825","6143331"
"1055","University Of Alabama At Huntsville","AL","1205","2547197.52"
"1029","University Of Mobile","AL","863","1735222.99"
"1004","University Of Montevallo","AL","625","1348270"
"1016","University Of North Alabama","AL","1548","3241357"
"1057","University Of South Alabama","AL","2993","6289522.5"
"1024","University Of West Alabama","AL","793","1831434.72"
"30106","Virginia College","AL","2455","4198066.7300000004"
"30651","Arkadelphia Beauty College","AR","44","86950"
"1087","Arkansas Baptist College","AR","125","283479"
"30051","Arkansas Beauty School","AR","49","75753"
"30076","Arkansas Beauty School/Conway","AR","35","58222"
"32923","Arkansas Career Training Institute","AR","112","187526.60999999999"
"30234","Arkansas College Of Barbering & Hair Design","AR","77","139272.12"
"15099","Arkansas Continental Beauty College","AR","74","112427"
"1090","Arkansas State University","AR","4768","9978742"
"7043","Arkansas State University-Technical Institute At Marked Tree","AR","146","229049"
"1089","Arkansas Tech University","AR","1777","3785833"
"5249","Arkansas Valley Technical Institute","AR","365","673423.14000000001"
"17020","Arthur'S Beauty College","AR","122","220901"
"31272","Askins Vo Tech","AR","17","18683"
"31052","Baptist Health Medical Center","AR","208","347451.45000000001"
"14554","Bee Jay'S Hairstyling Academy","AR","21","37195.43"
"11948","Black River Technical College","AR","663","1205217.0900000001"
"32123","Blytheville Academy Of Cosmetology","AR","29","61534.400000000001"
"1093","Central Baptist College","AR","126","262793"
"12432","Cossatot Technical College","AR","334","602872"
"5250","Cotton Boll Technical Institute","AR","188","337876"
"1095","Crowley'S Ridge College","AR","87","185429"
"13583","Crowley'S Ridge Technical Institute","AR","170","291603.38"
