"PELLID","Institution","State","Recipients","Awards"
"35363","Institute For Therapeutic Massage","NJ","22","24713"
"15102","Joe Kubert School Of Cartoon & Graphic Art (The)","NJ","30","76925"
"2622","Kean University","NJ","2462","5984902.7300000004"
"35303","Keyskills Learning","NJ","5","5688"
"7366","Lincoln Technical Institute","NJ","1","2500"
"7506","Lincoln Technical Institute","NJ","1577","3224341.6099999999"
"12461","Lincoln Technical Institute - Cittone Institute (The)","NJ","1624","3120345.3199999998"
"2641","Mercer County Community College","NJ","1728","3490308"
"15680","Metropolitan Technical Institute","NJ","19","43760"
"31226","Micro Tech Training Center","NJ","67","153754.73999999999"
"2615","Middlesex County College","NJ","2688","5805799"
"16753","Middlesex County Vocational & Technical High Schools","NJ","60","136636.39999999999"
"5399","Monmouth County Vocational School District","NJ","77","161920.78"
"2616","Monmouth University","NJ","1005","2336260.1400000001"
"2617","Montclair State University","NJ","2706","6975324"
"15846","Morris County School Of Technology","NJ","5","15425"
"6420","Mountainside Hospital School Of Nursing","NJ","28","69907"
"6421","Mrmc-Schools Of Nursing, Medical Imaging & Therapeutic Sciences","NJ","95","158736.06"
"11708","Natural Motion Institute Of Hair Design","NJ","113","217897.48999999999"
"34245","New Community Workforce Development Center","NJ","185","289021"
"15709","New Horizons Institute Of Cosmetology (Aka) New Horizons Beauty School","NJ","234","468968"
"2613","New Jersey City University","NJ","2623","6755669.46"
"2621","New Jersey Institute Of Technology","NJ","1358","3423695"
"2624","Ocean County College","NJ","1173","2427708.4700000002"
"16934","Ocean County Vocational - Technical Schools","NJ","71","129409.64999999999"
"15683","Omega Institute","NJ","173","306230.59999999998"
"7593","Parisian Beauty Academy","NJ","179","355672.54999999999"
"9994","Passaic County Community College","NJ","2988","5423521.3300000001"
"10629","Pb Cosmetology Education Centre","NJ","85","197413.78"
"14877","Pennco Tech","NJ","259","541454"
"2627","Princeton University","NJ","350","855650"
"30775","Rabbi Jacob Joseph School","NJ","11","35700"
"8609","Rabbinical College Of America","NJ","105","364000"
"9344","Ramapo College Of New Jersey","NJ","864","2188837"
"7731","Raritan Valley Community College","NJ","567","1213290.8799999999"
"12090","Reignbow Beauty Academy","NJ","120","240691.88"
"16935","Reignbow Hair Fashion Institute","NJ","84","162422.39000000001"
"13129","Rets Institute","NJ","313","633988.01000000001"
"9345","Richard Stockton College Of New Jersey","NJ","1572","3749722.4399999999"
"2628","Rider University","NJ","883","2100861.0499999998"
"10903","Rizzieri Institute","NJ","42","69953"
"13590","Roman Academy Of Beauty Culture","NJ","71","157562.75"
"2609","Rowan University","NJ","1909","4599702"
"2629","Rutgers The State University Of New Jersey Central Office","NJ","9848","25476171"
"2638","Saint Peter'S College","NJ","1113","2820431.25"
"5461","Salem Community College","NJ","305","602304.17000000004"
"2632","Seton Hall University","NJ","1222","3191048"
"15759","Shore Beauty School","NJ","45","93727.5"
"14074","Somerset County Technical Institute","NJ","43","84550"
"35744","Somerset School Of Massage Therapy","NJ","16","22447.950000000001"
"6429","St Francis Medical Center","NJ","2","7500"
