"PELLID","OPEID","Name","City","State","Type & Control","Recips","Awards"
"3626","362600","TARRANT COUNTY COLLEGE","FORT WORTH","TX","Public 2 Year","9222","20303609"
"3627","362700","TEMPLE COLLEGE","TEMPLE","TX","Public 2 Year","2169","5487610"
"3628","362800","TEXARKANA COLLEGE","TEXARKANA","TX","Public 2 Year","1368","3207891"
"9651","965100","TEXAS A&M INTERNATIONAL UNIVERSITY","LAREDO","TX","Public 4 Year","2544","7694969"
"11161","1116100","TEXAS A&M UNIV CORPUS CHRISTI","CORPUS CHRISTI","TX","Public 4 Year","2604","7842774"
"4948","494800","TEXAS A&M UNIV SYSTEM HEALTH SCI CT","COLLEGE STATION","TX","Public 4 Year","20","63650"
"3632","363200","TEXAS A&M UNIVERSITY","COLLEGE STATION","TX","Public 4 Year","6643","19142929"
"3565","356500","TEXAS A&M UNIVERSITY - COMMERCE","COMMERCE","TX","Public 4 Year","2274","6630343"
"3639","363900","TEXAS A&M UNIVERSITY-KINGSVILLE","KINGSVILLE","TX","Public 4 Year","2672","7884689"
"31703","3170300","TEXAS A&M UNIVERSITY-TEXARKANA","TEXARKANA","TX","Public 4 Year","371","905054"
"17250","2568100","TEXAS BARBER COLLEGES & HAIRSTYLING","DALLAS","TX","Proprietary","899","2487881"
"31158","3115800","TEXAS CAREERS","SAN ANTONIO","TX","Proprietary","2810","7228073"
"3635","363500","TEXAS CHIROPRACTIC COLLEGE","PASADENA","TX","Private 4 Year","7","14915"
"3636","363600","TEXAS CHRISTIAN UNIVERSITY","FORT WORTH","TX","Private 4 Year","878","2442259"
"31795","3179500","TEXAS COLG TRADITIONAL CHINESE MED","AUSTIN","TX","Proprietary","2","7020"
"3638","363800","TEXAS COLLEGE","TYLER","TX","Private 4 Year","645","2069154"
"30250","3025000","TEXAS COLLEGE OF COSMETOLOGY","ABILENE","TX","Proprietary","105","271045"
"31047","3104700","TEXAS COLLEGE OF COSMETOLOGY","SAN ANGELO","TX","Proprietary","53","137124"
"17332","2569300","TEXAS CULINARY ACADEMY","AUSTIN","TX","Proprietary","778","2099591"
"39873","3987300","TEXAS HEALTH SCHOOL","HOUSTON","TX","Proprietary","115","238083"
"3641","364100","TEXAS LUTHERAN UNIVERSITY","SEGUIN","TX","Private 4 Year","449","1285678"
"16353","2312200","TEXAS SCHOOL OF BUSINESS","HOUSTON","TX","Proprietary","2946","7243999"
"3642","364200","TEXAS SOUTHERN UNIVERSITY","HOUSTON","TX","Public 4 Year","5528","17361980"
"9932","993200","TEXAS STATE TECH CLG-WEST TEXAS","SWEETWATER","TX","Public 2 Year","987","2121541"
"3634","363400","TEXAS STATE TECHNICAL CLG AT WACO","WACO","TX","Public 2 Year","2450","5618416"
"33965","3396500","TEXAS STATE TECHNICAL COLG/MARSHALL","MARSHALL","TX","Public 2 Year","307","645998"
"9225","922500","TEXAS STATE TECHNICAL COLLEGE  HARLINGEN","HARLINGEN","TX","Public 2 Year","3303","6445056"
"3615","361500","TEXAS STATE UNIVERSITY--SAN MARCOS","SAN MARCOS","TX","Public 4 Year","6538","18297492"
"16024","1067400","TEXAS TECH U HEALTH SCIENCES CENTER","LUBBOCK","TX","Public 4 Year","120","340941"
"3644","364400","TEXAS TECH UNIVERSITY","LUBBOCK","TX","Public 4 Year","4970","14023336"
"15909","2254800","TEXAS VOCATIONAL SCHOOLS","VICTORIA","TX","Proprietary","142","401394"
"3645","364500","TEXAS WESLEYAN UNIVERSITY","FORT WORTH","TX","Private 4 Year","712","1960085"
"3646","364600","TEXAS WOMAN'S UNIVERSITY","DENTON","TX","Public 4 Year","2670","7583077"
"33713","3371300","TONI&GUY HAIRDRESSING ACADEMY","CARROLLTON","TX","Proprietary","56","146248"
"32753","3275300","TOUCH OF CLASS SCHOOL OF COSM","GREENVILLE","TX","Proprietary","115","282778"
"37143","3714300","TREND BARBER COLLEGE","HOUSTON","TX","Proprietary","118","313777"
"3647","364700","TRINITY UNIVERSITY","SAN ANTONIO","TX","Private 4 Year","218","625305"
"3572","357200","TRINITY VALLEY COMMUNITY COLLEGE","ATHENS","TX","Public 2 Year","2000","4856703"
"15728","2224600","TRI-STATE BEAUTY SCHOOL #1","EL PASO","TX","Proprietary","366","929195"
"3648","364800","TYLER JUNIOR COLLEGE","TYLER","TX","Public 2 Year","3238","8764696"
"3612","361200","UNIV OF HOUSTON-DOWNTOWN","HOUSTON","TX","Public 4 Year","4618","12392412"
"13956","495100","UNIV OF TEXAS HEALTH SCIENCE CENTER","HOUSTON","TX","Public 4 Year","89","277902"
"13976","495200","UNIV OF TEXAS MEDICAL BRANCH","GALVESTON","TX","Public 4 Year","135","415772"
"10019","1001900","UNIV OF TEXAS SOUTHWESTERN MED CTR","DALLAS","TX","Public 4 Year","29","95220"
"17249","2555400","UNIV OF TX MD ANDERSON CANCER CTR","HOUSTON","TX","Public 4 Year","30","100380"
"16696","2362000","UNIVERSAL TECHNICAL INSTITUTE","HOUSTON","TX","Proprietary","2215","5519891"
"14588","2285900","UNIVERSITY OF COSMETOLOGY ARTS&SCI","MCALLEN","TX","Proprietary","550","1439156"
"3651","365100","UNIVERSITY OF DALLAS","IRVING","TX","Private 4 Year","250","719538"
"3652","365200","UNIVERSITY OF HOUSTON","HOUSTON","TX","Public 4 Year","8545","24415391"
"11711","1171100","UNIVERSITY OF HOUSTON-CLEAR LAKE","HOUSTON","TX","Public 4 Year","1228","3209601"
"13231","1323100","UNIVERSITY OF HOUSTON-VICTORIA","VICTORIA","TX","Public 4 Year","537","1334984"
"3588","358800","UNIVERSITY OF MARY HARDIN-BAYLOR","BELTON","TX","Private 4 Year","964","2588052"
"3594","359400","UNIVERSITY OF NORTH TEXAS","DENTON","TX","Public 4 Year","6932","19661055"
"3654","365400","UNIVERSITY OF ST THOMAS","HOUSTON","TX","Private 4 Year","461","1412945"
"3599","359900","UNIVERSITY OF TEXAS - PAN AMERICAN","EDINBURG","TX","Public 4 Year","9146","29180165"
"30646","3064600","UNIVERSITY OF TEXAS AT BROWNSVILLE","BROWNSVILLE","TX","Public 4 Year","7502","20778893"
"9741","974100","UNIVERSITY OF TEXAS AT DALLAS","RICHARDSON","TX","Public 4 Year","2292","6063138"
"11163","1116300","UNIVERSITY OF TEXAS AT TYLER","TYLER","TX","Public 4 Year","1750","4652935"
"3656","365600","UNIVERSITY OF TEXAS-ARLINGTON","ARLINGTON","TX","Public 4 Year","6347","16532493"
"3658","365800","UNIVERSITY OF TEXAS-AUSTIN","AUSTIN","TX","Public 4 Year","8438","25327417"
