"PELLID","OPEID","Name","City","State","Type & Control","Recips","Awards"
"1061","106100","ALASKA PACIFIC UNIVERSITY","ANCHORAGE","AK","Private 4 Year","131","305883"
"31603","3160300","ALASKA VOCATIONAL TECHNICAL CENTER","SEWARD","AK","Public 2 Year","77","224410"
"17066","2541000","CAREER ACADEMY","ANCHORAGE","AK","Proprietary","268","642549"
"17377","2576900","CHARTER COLLEGE","ANCHORAGE","AK","Proprietary","452","984950"
"34613","3461300","ILISAGVIK COLLEGE","BARROW","AK","Public 2 Year","24","57774"
"11462","1146200","UNIVERSITY OF ALASKA ANCHORAGE","ANCHORAGE","AK","Public 4 Year","2508","6159616"
"1063","106300","UNIVERSITY OF ALASKA FAIRBANKS","FAIRBANKS","AK","Public 4 Year","1186","2977765"
"1065","106500","UNIVERSITY OF ALASKA SOUTHEAST","JUNEAU","AK","Public 4 Year","315","692990"
"1002","100200","ALABAMA AGRCLTL & MECHL UNIV","NORMAL","AL","Public 4 Year","2856","9079758"
"1034","103400","ALABAMA SOUTHERN COMMUNITY COLLEGE","MONROEVILLE","AL","Public 2 Year","793","1915174"
"30325","3032500","ALABAMA STATE CLG BARBER STYLING","BIRMINGHAM","AL","Proprietary","27","68652"
"1005","100500","ALABAMA STATE UNIVERSITY","MONTGOMERY","AL","Public 4 Year","3678","11724543"
"16885","2503400","AMRIDGE UNIVERSITY","MONTGOMERY","AL","Private 4 Year","223","559640"
"1008","100800","ATHENS STATE UNIVERSITY","ATHENS","AL","Public 4 Year","1078","2606650"
"1009","100900","AUBURN UNIVERSITY","AUBURN","AL","Public 4 Year","2824","8115971"
"8310","831000","AUBURN UNIVERSITY-MONTGOMERY","MONTGOMERY","AL","Public 4 Year","1607","4125084"
"5733","573300","BEVILL STATE CMTY COLLEGE-WALKER","SUMITON","AL","Public 2 Year","2651","6635317"
"1012","101200","BIRMINGHAM SOUTHERN COLLEGE","BIRMINGHAM","AL","Private 4 Year","224","659643"
"1030","103000","BISHOP STATE COMMUNITY COLLEGE","MOBILE","AL","Public 2 Year","337","949216"
"37833","3783300","BLUE CLIFF CAREER COLLEGE","MOBILE","AL","Proprietary","123","281868"
"1013","101300","CALHOUN COMMUNITY COLLEGE","DECATUR","AL","Public 2 Year","3185","7327902"
"16592","2341000","CAPPS COLLEGE","MOBILE","AL","Proprietary","1044","2714291"
"1007","100700","CENTRAL ALABAMA COMMUNITY COLLEGE","ALEXANDER CITY","AL","Public 2 Year","1440","3710987"
"12182","1218200","CHATTAHOOCHEE VALLEY CMTY CLG","PHENIX CITY","AL","Public 2 Year","989","2646261"
"10554","1055400","CONCORDIA COLLEGE","SELMA","AL","Private 4 Year","505","1481313"
"1015","101500","ENTERPRISE-OZARK COMMUNITY COLLEGE","ENTERPRISE","AL","Public 2 Year","903","2204669"
"1060","106000","FAULKNER STATE COMMUNITY COLLEGE","BAY MINETTE","AL","Public 2 Year","1677","4255445"
"1003","100300","FAULKNER UNIVERSITY","MONTGOMERY","AL","Private 4 Year","1762","4863804"
"1017","101700","GADSDEN STATE COMMUNITY COLLEGE","GADSDEN","AL","Public 2 Year","2785","7120725"
"1018","101800","GEORGE C WALLACE COMMUNITY COLLEGE","DOTHAN","AL","Public 2 Year","2007","3810133"
"7871","787100","GEORGE C WALLACE STATE CMTY CLG","HANCEVILLE","AL","Public 2 Year","2635","6864500"
"9980","569900","GEORGE C WALLACE STATE CMTY COLLEGE","SELMA","AL","Public 2 Year","1526","4275993"
"5734","573400","H. COUNCILL TRENHOLM STATE TECH COLLEGE","MONTGOMERY","AL","Public 2 Year","1060","1953289"
"15370","2199700","HERITAGE CHRISTIAN UNIVERSITY","FLORENCE","AL","Private 4 Year","37","101384"
"10193","1019300","HERZING COLLEGE","BIRMINGHAM","AL","Proprietary","419","1058132"
"1019","101900","HUNTINGDON COLLEGE","MONTGOMERY","AL","Private 4 Year","315","808236"
"38943","3894300","HUNTSVILLE BIBLE COLLEGE","HUNTSVILLE","AL","Private 4 Year","19","40773"
"5260","526000","J.F. DRAKE STATE TECH COLLEGE","HUNTSVILLE","AL","Public 2 Year","585","1477851"
"1020","102000","JACKSONVILLE STATE UNIVERSITY","JACKSONVILLE","AL","Public 4 Year","3139","9075031"
"1021","102100","JEFFERSON DAVIS COMMUNITY COLLEGE","BREWTON","AL","Public 2 Year","677","1670561"
"1022","102200","JEFFERSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public 2 Year","1769","3939663"
"1023","102300","JUDSON COLLEGE","MARION","AL","Private 4 Year","114","309514"
"1059","105900","LAWSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public 2 Year","2013","5089579"
"5704","105901","LAWSON STATE COMMUNITY COLLEGE - BESSEME","BESSEMER","AL","Public 2 Year","434","1097014"
"8988","898800","LURLEEN B WALLACE COMMUNITY COLLEGE","ANDALUSIA","AL","Public 2 Year","963","2631679"
"1026","102600","MARION MILITARY INSTITUTE","MARION","AL","Public 2 Year","121","366060"
"1028","102800","MILES COLLEGE","FAIRFIELD","AL","Private 4 Year","1605","5108568"
"41165","4116500","MIMI'S BEAUTY ACADEMY OF COSMETOLOGY","HUNTSVILLE","AL","Proprietary","9","18239"
"1031","103100","NORTHEAST ALABAMA STATE CMNTY COLG","RAINSVILLE","AL","Public 2 Year","1507","3787752"
"5697","569700","NORTHWEST- SHOALS COMMUNITY COLLEGE","MUSCLE SHOALS","AL","Public 2 Year","1445","3787567"
"1032","569702","NORTHWEST-SHOALS C.C.-PHIL CAMPBELL","PHIL CAMPBELL","AL","Public 2 Year","351","907865"
"1033","103300","OAKWOOD COLLEGE","HUNTSVILLE","AL","Private 4 Year","757","2421187"
"16217","2296000","PRINCE INSTITUTE OF PROFESSIONAL STUDIES","MONTGOMERY","AL","Proprietary","54","139723"
"5692","569200","REID STATE TECHNICAL COLLEGE","EVERGREEN","AL","Public 2 Year","499","962271"
"26055","2605500","REMINGTON COLLEGE - MOBILE CAMPUS","MOBILE","AL","Proprietary","3116","7309312"
"1036","103600","SAMFORD UNIVERSITY","BIRMINGHAM","AL","Private 4 Year","354","936773"
"40673","4067300","SELMA UNIVERSITY","SELMA","AL","Private 4 Year","28","75586"
"5691","569100","SHELTON STATE COMMUNITY CLG","TUSCALOOSA","AL","Public 2 Year","2287","5740005"
"1038","103800","SNEAD STATE COMMUNITY COLLEGE","BOAZ","AL","Public 2 Year","1140","2968347"
"13857","2270400","SOUTHEASTERN BIBLE COLLEGE","BIRIMINGHAM","AL","Private 4 Year","85","255195"
"34593","3459300","SOUTHEASTERN SCHOOL OF COSMETOLOGY","MIDFIELD","AL","Private 2 Year","125","349579"
"1040","104000","SOUTHERN UNION STATE COMMUNITY CLG","WADLEY","AL","Public 2 Year","1681","4475764"
"1041","104100","SPRING HILL COLLEGE","MOBILE","AL","Private 4 Year","393","1137242"
"1044","104400","STILLMAN COLLEGE","TUSCALOOSA","AL","Private 4 Year","712","2367387"
"1046","104600","TALLADEGA COLLEGE","TALLADEGA","AL","Private 4 Year","295","1004078"
"33614","3361400","THE MEDICAL INSTITUTE","FOLEY","AL","Proprietary","302","803611"
"41252","4125200","TONI LOVE'S COSMETOLOGY TRAINING CENTER","MOUNDVILLE","AL","Proprietary","8","17240"
"1047","104700","TROY STATE UNIVERSITY","TROY","AL","Public 4 Year","7929","21393606"
"1050","105000","TUSKEGEE UNIVERSITY","TUSKEGEE","AL","Private 4 Year","1294","4266377"
"21706","2170600","UNITED STATES SPORTS ACADEMY","DAPHNE","AL","Private 4 Year","54","108623"
"1051","105100","UNIVERSITY OF ALABAMA (THE)","TUSCALOOSA","AL","Public 4 Year","3875","11343002"
"1052","105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","Public 4 Year","3067","8844561"
"1055","105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","HUNTSVILLE","AL","Public 4 Year","1543","4266138"
"1029","102900","UNIVERSITY OF MOBILE","MOBILE","AL","Private 4 Year","572","1633671"
"1004","100400","UNIVERSITY OF MONTEVALLO","MONTEVALLO","AL","Public 4 Year","724","2173276"
"1016","101600","UNIVERSITY OF NORTH ALABAMA","FLORENCE","AL","Public 4 Year","1617","4667095"
"1057","105700","UNIVERSITY OF SOUTH ALABAMA","MOBILE","AL","Public 4 Year","3235","8911844"
"1024","102400","UNIVERSITY OF WEST ALABAMA","LIVINGSTON","AL","Public 4 Year","1243","3691793"
"30106","3010600","VIRGINIA COLLEGE","HOMEWOOD","AL","Proprietary","9658","23729757"
"31168","3116800","""DELUXE BEAUTY SCHOOL, L.L.C.""","PINE BLUFF","AR","Proprietary","11","35085"
"30651","3065100","ARKADELPHIA BEAUTY COLLEGE","ARKADELPHIA","AR","Proprietary","53","141321"
"1087","108700","ARKANSAS BAPTIST COLLEGE","LITTLE ROCK","AR","Private 4 Year","502","1505461"
"39973","3997300","ARKANSAS BEAUTY COLLEGE","RUSSELLVILLE","AR","Proprietary","34","78390"
"30051","3005100","ARKANSAS BEAUTY SCHOOL","LITTLE ROCK","AR","Proprietary","68","161569"
"30076","3007600","ARKANSAS BEAUTY SCHOOL-CONWAY","CONWAY","AR","Proprietary","68","173165"
"30234","3023400","ARKANSAS COLLEGE OF BARBERING","NORTH LITTLE ROCK","AR","Proprietary","127","396132"
"12860","1286000","ARKANSAS NORTHEASTERN COLLEGE","BLYTHEVILLE","AR","Public 2 Year","919","2180749"
"1090","109000","ARKANSAS STATE UNIVERSITY","STATE UNIVERSITY","AR","Public 4 Year","5631","15742268"
"1091","109001","ARKANSAS STATE UNIVERSITY - BEEBE","BEEBE","AR","Public 2 Year","1443","3721633"
"1089","108900","ARKANSAS TECH UNIVERSITY","RUSSELLVILLE","AR","Public 4 Year","2958","8501411"
"15099","2363500","ARTHUR'S BEAUTY COLLEGE","FORT SMITH","AR","Proprietary","52","107256"
"17020","2538500","ARTHUR'S BEAUTY COLLEGE","JACKSONVILLE","AR","Proprietary","162","385479"
"31272","3127200","ASKINS VO-TECH","FORT SMITH","AR","Proprietary","12","14310"
"31052","3105200","BAPTIST HEALTH SCHOOLS LITTLE ROCK","LITTLE ROCK","AR","Private 2 Year","329","699201"
"14554","2260400","BEE JAY'S HAIRSTYLING ACADEMY","LITTLE ROCK","AR","Proprietary","36","90348"
"11948","2052200","BLACK RIVER TECHNICAL COLLEGE","POCAHONTAS","AR","Public 2 Year","1180","3104424"
"32123","3212300","BLYTHEVILLE ACADEMY OF COSMETOLOGY","BLYTHEVILLE","AR","Proprietary","16","50390"
"16596","2341700","CAREER ACADEMY OF HAIR DESIGN","SPRINGDALE","AR","Proprietary","53","144255"
"1093","109300","CENTRAL BAPTIST COLLEGE","CONWAY","AR","Private 4 Year","215","603911"
"12432","2220900","COSSATOT COMMUNITY COLLEGE","DE QUEEN","AR","Public 2 Year","659","1758083"
"39123","3912300","CROSSETT SCHOOL OF COSMETOLOGY","CROSSETT","AR","Proprietary","29","69744"
"1095","109500","CROWLEYS RIDGE COLLEGE","PARAGOULD","AR","Private 2 Year","75","209541"
"13583","704400","CROWLEYS RIDGE TECHNICAL INSTITUTE","FORREST CITY","AR","Public 2 Year","212","526520"
"12260","1226000","EAST ARKANSAS COMMUNITY COLLEGE","FORREST CITY","AR","Public 2 Year","784","2158419"
"16041","2272400","EASTERN COLLEGE OF HEALTH VOCATIONS","LITTLE ROCK","AR","Proprietary","609","1319547"
"38553","3855300","ECCLESIA COLLEGE","SPRINGDALE","AR","Private 4 Year","39","106665"
"8070","792100","FAYETTEVILLE BEAUTY COLLEGE","FAYETTEVILLE","AR","Proprietary","59","146838"
"1097","109700","HARDING UNIVERSITY","SEARCY","AR","Private 4 Year","1103","3211373"
"1098","109800","HENDERSON STATE UNIVERSITY","ARKADELPHIA","AR","Public 4 Year","1514","4403694"
"1099","109900","HENDRIX COLLEGE","CONWAY","AR","Private 4 Year","217","662893"
"30071","3007100","HOT SPRINGS BEAUTY COLLEGE","HOT SPRINGS","AR","Proprietary","62","175537"
"31249","3124900","IMAGINE -  PAUL MITCHELL PARTNER SCHOOL","NORTH LITTLE ROCK","AR","Proprietary","18","47413"
"16498","2330800","JEFFERSON SCHOOL OF NURSING","PINE BLUFF","AR","Private 2 Year","57","106487"
"1100","110000","JOHN BROWN UNIVERSITY","SILOAM SPRINGS","AR","Private 4 Year","429","1030564"
"16925","2525800","LEE'S SCHOOL OF COSMETOLOGY","NORTH LITTLE ROCK","AR","Proprietary","31","72663"
"35194","3519400","LYNNDALE FUNDAMENTALS OF BEAUTY SCH","EL DORADO","AR","Proprietary","15","47262"
"1088","108800","LYON COLLEGE","BATESVILLE","AR","Private 4 Year","180","520329"
"32543","3254300","MARGARET'S HAIR ACADEMY","MORRILTON","AR","Proprietary","45","127148"
"16123","2287400","MARSHA KAY BEAUTY COLLEGE","MOUNTAIN HOME","AR","Proprietary","16","54434"
"10741","1074100","MELLIE'S BEAUTY COLLEGE","FORT SMITH","AR","Proprietary","81","179105"
"15862","2348200","MID-SOUTH COMMUNITY COLLEGE","WEST MEMPHIS","AR","Public 2 Year","937","1834979"
"12105","1210500","NATIONAL PARK COMMUNITY COLLEGE","HOT SPRINGS","AR","Public 2 Year","1506","3710965"
"16053","2284200","NEW TYLER BARBER COLLEGE INC","NORTH LITTLE ROCK","AR","Proprietary","95","270426"
"12261","1226100","NORTH ARKANSAS COLLEGE","HARRISON","AR","Public 2 Year","1172","3104066"
"30633","3063300","NORTHWEST ARKANSAS COMMUNITY COLLEG","BENTONVILLE","AR","Public 2 Year","1689","3759440"
"14044","2073700","NORTHWEST TECHNICAL INSTITUTE","SPRINGDALE","AR","Public 2 Year","129","222724"
"1102","110200","OUACHITA BAPTIST UNIVERSITY","ARKADELPHIA","AR","Private 4 Year","325","969525"
"9976","997600","OUACHITA TECHNICAL COLLEGE","MALVERN","AR","Public 2 Year","514","1345842"
"13217","2087000","OZARKA COLLEGE","MELBOURNE","AR","Public 2 Year","834","2404988"
"1103","110300","PHILANDER SMITH COLLEGE","LITTLE ROCK","AR","Private 4 Year","445","1429030"
"1104","110400","PHILLIPS COUNTY COMMUNITY COLLEGE","HELENA","AR","Public 2 Year","1030","2763538"
"15585","2202400","PROFESSIONAL COSMETOLOGY EDUC CTR","EL DORADO","AR","Proprietary","33","78039"
"14167","2075300","PULASKI TECHNICAL COLLEGE","NORTH LITTLE ROCK","AR","Public 2 Year","5788","15288696"
"12435","2111100","RICH MOUNTAIN COMMUNITY COLLEGE","MENA","AR","Public 2 Year","415","1040664"
"17262","2569600","SEARCY BEAUTY COLLEGE","SEARCY","AR","Proprietary","58","139279"
"14893","570700","SEARK COLLEGE","PINE BLUFF","AR","Public 2 Year","1242","3195379"
"13858","2074600","SOUTH ARKANSAS COMMUNITY COLLEGE","EL DORADO","AR","Public 2 Year","775","1964759"
"1107","110700","SOUTHERN ARKANSAS UNIVERSITY","MAGNOLIA","AR","Public 4 Year","1417","4210397"
"7738","773800","SOUTHERN ARKANSAS UNIVERSITY TECH","CAMDEN","AR","Public 2 Year","360","1031566"
"16595","2339800","SOUTHERN INSTITUTE OF COSMETOLOGY","WEST MEMPHIS","AR","Proprietary","81","211860"
"5245","524500","U OF A COMM COLLEGE AT MORRILTON","MORRILTON","AR","Public 2 Year","1011","2408233"
"5732","573200","UNIV AR COMMUNITY COLLEGE AT HOPE","HOPE","AR","Public 2 Year","789","2124323"
"1108","110800","UNIV ARKANSAS FAYETTEVILLE","FAYETTEVILLE","AR","Public 4 Year","3061","8615154"
"1101","110100","UNIV ARKANSAS LITTLE ROCK","LITTLE ROCK","AR","Public 4 Year","3750","9973438"
"1085","108500","UNIV ARKANSAS MONTICELLO","MONTICELLO","AR","Public 4 Year","1862","5195068"
"14042","2073500","UNIV OF AR CMNTY CLG-BATESVILLE","BATESVILLE","AR","Public 2 Year","966","2528753"
"1086","108600","UNIV OF ARKANSAS AT PINE BLUFF","PINE BLUFF","AR","Public 4 Year","2195","7047986"
"1109","110900","UNIV OF ARKANSAS FOR MEDCL SCIENCES","LITTLE ROCK","AR","Public 4 Year","300","870079"
"1110","111000","UNIVERSITY OF ARKANSAS-FORT SMITH","FORT SMITH","AR","Public 4 Year","2771","7220579"
"1092","109200","UNIVERSITY OF CENTRAL ARKANSAS","CONWAY","AR","Public 4 Year","3488","10074172"
"1094","109400","UNIVERSITY OF THE OZARKS","CLARKSVILLE","AR","Private 4 Year","172","524737"
"32143","3214300","VELVATEX COLLEGE OF BEAUTY CULTURE","LITTLE ROCK","AR","Proprietary","27","59320"
"1106","110600","WILLIAMS BAPTIST COLLEGE","WALNUT RIDGE","AR","Private 4 Year","263","734578"
"10010","1001000","AMERICAN SAMOA CMNTY COLLEGE","PAGO PAGO","AS","Public 2 Year","1490","4169480"
"15550","2199900","AMERICAN INDIAN CLG-ASSEMBLIES GOD","PHOENIX","AZ","Private 4 Year","53","162135"
"16405","2317800","AMERICAN INSTITUTE OF TECHNOLOGY","PHOENIX","AZ","Proprietary","487","918971"
"15988","2263100","ANTHEM COLLEGE","PHOENIX","AZ","Proprietary","5398","14765598"
"14550","2100600","APOLLO COLLEGE","PHOENIX","AZ","Proprietary","3826","10377526"
"8864","886400","ARIZONA ACADEMY OF BEAUTY","TUCSON","AZ","Proprietary","50","145043"
"11802","1180200","ARIZONA ACADEMY OF BEAUTY-NORTH","TUCSON","AZ","Proprietary","47","117901"
"10847","1084700","ARIZONA AUTOMOTIVE INSTITUTE","GLENDALE","AZ","Proprietary","823","2049587"
"31150","3115000","ARIZONA COLLEGE OF ALLIED HEALTH","GLENDALE","AZ","Proprietary","322","753634"
"41209","4120900","ARIZONA CULINARY INSTITUTE","SCOTTSDALE","AZ","Proprietary","47","96586"
"1081","108100","ARIZONA STATE UNIV (ALL CAMPUSES)","TEMPE","AZ","Public 4 Year","11508","32299159"
"1071","107100","ARIZONA WESTERN COLLEGE","YUMA","AZ","Public 2 Year","3698","8995437"
"40513","4051300","ART INSTITUTE OF PHOENIX (THE)","PHOENIX","AZ","Proprietary","626","1605442"
"37405","3740500","ART INSTITUTE OF TUCSON (THE)","TUCSON","AZ","Proprietary","86","207375"
"12937","1293700","ARTISTIC BEAUTY COLLEGES - PARADISE VALL","SCOTTSDALE","AZ","Proprietary","50","127790"
"11808","1180800","ARTISTIC BEAUTY COLLEGES-FLAGSTAFF","FLAGSTAFF","AZ","Proprietary","297","690828"
"15694","2220300","ARTISTIC BEAUTY COLLEGES-GLENDALE","PHOENIX","AZ","Proprietary","188","421961"
"12343","1234300","ARTISTIC BEAUTY COLLEGES-PHOENIX","GLENDALE","AZ","Proprietary","221","516416"
"8865","886500","ARTISTIC BEAUTY COLLEGES-TUCSON","TUCSON","AZ","Proprietary","322","762650"
"9451","945100","BROWN MACKIE COLLEGE","TUCSON","AZ","Proprietary","444","979934"
"30764","3076400","BRYMAN SCHOOL OF ARIZONA","PHOENIX","AZ","Proprietary","3917","9675907"
"30978","3097800","CARSTEN INSTITUTE OF HAIR & BEAUTY","TEMPE","AZ","Proprietary","102","260371"
"7283","728300","CENTRAL ARIZONA COLLEGE","COOLIDGE","AZ","Public 2 Year","1357","3104718"
"30722","3072200","CHANDLER-GILBERT COMMUNITY COLLEGE","CHANDLER","AZ","Public 2 Year","1242","2597872"
"16098","2280500","CHARLES OF ITALY BEAUTY COLLEGE","LAKE HAVASU CITY","AZ","Proprietary","100","296510"
"1072","107200","COCHISE COLLEGE","DOUGLAS","AZ","Public 2 Year","1470","3640569"
"31004","3100400","COCONINO COUNTY COMMUNITY COLLEGE","FLAGSTAFF","AZ","Public 2 Year","688","1563640"
"31203","3120300","COLLEGE AMERICA","FLAGSTAFF","AZ","Proprietary","321","884204"
"15333","2174900","COLLINS COLLEGE","TEMPE","AZ","Proprietary","1112","3151470"
"30344","3034400","CONSERVATORY RECORDING ARTS & SCIS","TEMPE","AZ","Proprietary","291","764405"
"26238","2623800","CORTIVA INSTITUTE - SCOTTSDALE","SCOTTSDALE","AZ","Proprietary","63","118043"
"25827","2582700","CORTIVA INSTITUTE - TUCSON","TUCSON","AZ","Proprietary","70","121780"
"15324","2173300","DEVOE COLLEGE OF BEAUTY","SIERRA VISTA","AZ","Proprietary","10","27621"
"8246","824600","DIN? COLLEGE","TSAILE","AZ","Public 2 Year","1101","3075321"
"10858","1085800","EARLS ACADEMY OF BEAUTY","MESA","AZ","Proprietary","142","343294"
"35723","3572300","EAST VALLEY INSTITUTE OF TECHNOLOGY","MESA","AZ","Public 2 Year","25","53479"
"1073","107300","EASTERN ARIZONA COLLEGE","THATCHER","AZ","Public 2 Year","847","2153572"
"31563","3156300","ESTRELLA MOUNTAIN COMMUNITY COLLEGE","AVONDALE","AZ","Public 2 Year","1535","3300922"
"16203","2295000","EVEREST COLLEGE","PHOENIX","AZ","Proprietary","3129","6588946"
"8303","830300","GATEWAY COMMUNITY COLLEGE","PHOENIX","AZ","Public 2 Year","1787","3558920"
"1076","107600","GLENDALE COMMUNITY COLLEGE","GLENDALE","AZ","Public 2 Year","4027","8915506"
"1074","107400","GRAND CANYON UNIVERSITY","PHOENIX","AZ","Proprietary","3464","6915219"
"34453","3445300","HDS TRUCK DRIVING INSTITUTE","TUCSON","AZ","Proprietary","108","293743"
"15681","2218800","IIA COLLEGE","PHOENIX","AZ","Proprietary","1923","5763930"
"14283","1218400","INTERNATIONAL ACAD OF HAIR DESIGN","CHANDLER","AZ","Proprietary","121","269367"
"33473","3347300","INTERNATIONAL BAPTIST COLLEGE","TEMPE","AZ","Private 4 Year","19","58970"
"13928","2065200","ITT TECHNICAL INSTITUTE","TEMPE","AZ","Proprietary","1603","3835568"
"16776","2361100","ITT TECHNICAL INSTITUTE","TUCSON","AZ","Proprietary","937","2251004"
"13884","2071200","KAPLAN COLLEGE","PHOENIX","AZ","Proprietary","396","1006326"
"5186","2521500","LAMSON COLLEGE","TEMPE","AZ","Proprietary","590","1596053"
"15491","2192300","MARICOPA BEAUTY COLLEGE","AVONDALE","AZ","Proprietary","81","235165"
"1077","107700","MESA COMMUNITY COLLEGE","MESA","AZ","Public 2 Year","5071","11103446"
"11864","1186400","MOHAVE COMMUNITY COLLEGE","KINGMAN","AZ","Public 2 Year","2660","5812819"
"1082","108200","NORTHERN ARIZONA UNIVERSITY","FLAGSTAFF","AZ","Public 4 Year","4681","13298318"
"11862","1186200","NORTHLAND PIONEER COLLEGE","HOLBROOK","AZ","Public 2 Year","800","1694167"
"26236","2623600","PARADISE VALLEY COMMUNITY COLLEGE","PHOENIX","AZ","Public 2 Year","1347","2849509"
"1078","107800","PHOENIX COLLEGE","PHOENIX","AZ","Public 2 Year","2619","5781150"
"7266","726600","PIMA COUNTY COMMUNITY COLLEGE","TUCSON","AZ","Public 2 Year","6613","15265769"
"15666","2217100","PIMA MEDICAL INSTITUTE","TUCSON","AZ","Proprietary","4325","11486880"
"13659","2065300","PRESCOTT COLLEGE","PRESCOTT","AZ","Private 4 Year","318","820851"
"14127","1168900","REFRIGERATION SCHOOL","PHOENIX","AZ","Proprietary","348","877709"
"14483","2177500","RIO SALADO COMMUNITY COLLEGE","TEMPE","AZ","Public 2 Year","3573","6388057"
"14740","2113800","ROBERTO-VENN SCH OF LUTHIERY","PHOENIX","AZ","Proprietary","18","43231"
"30050","3005000","SAFFORD COLLEGE OF BEAUTY CULTURE","SAFFORD","AZ","Proprietary","50","183320"
"8304","830400","SCOTTSDALE COMMUNITY COLLEGE","SCOTTSDALE","AZ","Public 2 Year","1385","3080817"
"26167","2616700","SCOTTSDALE CULINARY INSTITUTE","SCOTTSDALE","AZ","Proprietary","1111","3097872"
"15001","2146600","SOUTH MOUNTAIN COMMUNITY COLLEGE","PHOENIX","AZ","Public 2 Year","1354","2922519"
"35933","3593300","SOUTHWEST INSTITUTE OF HEALING ARTS","TEMPE","AZ","Proprietary","127","312731"
"7113","711300","SOUTHWESTERN COLLEGE","PHOENIX","AZ","Private 4 Year","114","307813"
"16730","2491500","THE ART CENTER DESIGN COLLEGE","TUCSON","AZ","Proprietary","348","1061013"
"37844","3784400","TOHONO O'ODHAM COMMUNITY COLLEGE","SELLS","AZ","Private 2 Year","59","148881"
"25619","2561900","TONI AND GUY HAIRDRESSING ACADEMY","SCOTTSDALE","AZ","Proprietary","126","339114"
"14212","446700","TUCSON COLLEGE","TUCSON","AZ","Proprietary","528","1313749"
"40593","4059300","TUCSON COLLEGE OF BEAUTY","TUCSON","AZ","Proprietary","43","113905"
"38143","3814300","TURNING POINT BEAUTY COLLEGE","CASA GRANDE","AZ","Proprietary","33","98559"
"8221","822100","UNIVERSAL TECHNICAL INSTITUTE","AVONDALE","AZ","Proprietary","4327","11046990"
"14518","2100500","UNIVERSAL TECHNICAL INSTITUTE","PHOENIX","AZ","Proprietary","3880","10223611"
"17188","2559000","UNIVERSITY OF ADVANCING TECHNOLOGY","TEMPE","AZ","Proprietary","411","1146659"
"1083","108300","UNIVERSITY OF ARIZONA","TUCSON","AZ","Public 4 Year","6602","19446102"
"14593","2098800","UNIVERSITY OF PHOENIX","PHOENIX","AZ","Proprietary","159800","394933731"
"14970","2171500","WESTERN INTERNATIONAL UNIVERSITY","PHOENIX","AZ","Proprietary","1346","2767326"
"1079","107900","YAVAPAI COLLEGE","PRESCOTT","AZ","Public 2 Year","1348","2924844"
"1141","114100","""CALIF STATE UNIV, DOMINGUEZ HILLS""","CARSON","CA","Public 4 Year","4426","12107865"
"30113","3011300","""CALIF STATE UNIV, SAN MARCOS""","SAN MARCOS","CA","Public 4 Year","2196","6064312"
"1138","113800","""CALIFORNIA STATE UNIVERSITY, EAST BAY""","HAYWARD","CA","Public 4 Year","3306","9553060"
"15453","2187500","""HEALD COLLEGE, SCH OF BUS & TECH""","CONCORD","CA","Proprietary","813","1858495"
"7477","747700","""HEALD COLLEGE,SCHOOLS OF BUS & TECH""","RANCHO CORDOVA","CA","Proprietary","782","1617413"
"15180","2304300","""PLATT COLLEGE, SAN DIEGO""","SAN DIEGO","CA","Proprietary","180","548513"
"15795","2236400","""THANH LE COLG, SCH OF COSMETOLOGY""","GARDEN GROVE","CA","Proprietary","72","195062"
"13637","2128200","""VICTOR VALLEY BEAUTY COLLEGE, INC""","VICTORVILLE","CA","Proprietary","132","371514"
"7531","753100","ACADEMY OF ART UNIVERSITY","SAN FRANCISCO","CA","Proprietary","3054","7170379"
"41093","4109300","ACADEMY OF BARBERING ARTS (THE)","NORTHRIDGE","CA","Proprietary","91","276279"
"23424","2342400","ACADEMY OF RADIO BROADCASTING","HUNTINGTON BEACH","CA","Proprietary","69","171913"
"33274","3327400","ACUPUNCTURE AND INTEGRATIVE MEDICINE COL","BERKELEY","CA","Private 4 Year","4","12930"
"30199","3019900","ADELANTE CAREER INSTITUTE","VAN NUYS","CA","Proprietary","122","330819"
"16897","2520400","ADRIAN'S BEAUTY COLLEGE OF TURLOCK","TURLOCK","CA","Proprietary","84","209571"
"37363","3736300","ADVANCE BEAUTY COLLEGE","GARDEN GROVE","CA","Proprietary","299","740515"
"37863","3786300","ADVANCED COLLEGE","PARAMOUNT","CA","Proprietary","187","553139"
"35324","3532400","ADVANCED TRAINING ASSOCIATES","EL CAJON","CA","Proprietary","17","43104"
"14046","2258600","ALAMEDA BEAUTY COLLEGE","ALAMEDA","CA","Proprietary","78","200499"
"14260","2282300","ALHAMBRA BEAUTY COLLEGE","ALHAMBRA","CA","Proprietary","176","464517"
"1111","111100","ALLAN HANCOCK COLLEGE","SANTA MARIA","CA","Public 2 Year","1359","3536242"
"11117","1111700","ALLIANT INTERNATIONAL UNIVERSITY","SAN DIEGO","CA","Private 4 Year","80","222316"
"14801","746501","AMERICAN ACADEMY OF DRAMATIC ARTS - HOLL","HOLLYWOOD","CA","Private 2 Year","58","210215"
