"PELLID","Institution","City","State","Recipients","Awards"
"3032","Cleveland State University","Cleveland","OH","3588","6421729.5899999999"
"3033","College of Mount Saint Joseph","Cincinnati","OH","452","824678.31999999995"
"3037","College of Wooster (The)","Wooster","OH","212","376384"
"15524","Collins Career Center","Chesapeake","OH","218","402721"
"16039","Columbiana County Vocational School District","Lisbon","OH","52","83009"
"3039","Columbus College of Art & Design","Columbus","OH","312","560360"
"6867","Columbus State Community College- Main Campus","Columbus","OH","4184","5723594.21"
"15029","Community Educational Services","Canton","OH","72","155173"
"9172","Community Hospital of Springfield and Clark County School of Nursing","Springfield","OH","22","39232"
"3040","Cuyahoga Community College","Cleveland","OH","6568","11202234.880000001"
"7103","CUYAHOGA COMMUNITY COLLEGE - DISTRICT OFFICE","Cleveland","OH","32","0"
"15492","D. Russell Lee Career Center","Hamilton","OH","114","186064"
"3043","David N. Myers College","Cleveland","OH","487","926249"
"3041","Defiance College","Defiance","OH","219","380835"
"30848","Delaware JVS","Delaware","OH","4","5376"
"3042","Denison University","Granville","OH","254","505494.5"
"16975","Eastland Vocational School District","Groveport","OH","73","158639"
"12750","Edison State Community College","Piqua","OH","628","910494"
"30153","EHOVE Career Center","Milan","OH","148","261525"
"3036","Franciscan University Of Steubenville","Steubenville","OH","557","1091973.3700000001"
"3046","Franklin University","Columbus","OH","498","770158"
"14071","Gallia Jackson Vinton Joint School Adult Education","Rio Grande","OH","81","113732"
"15691","God's Bible School and College","Cincinnati","OH","89","188746"
"6494","Good Samaritan Hospital School of Nursing","Cincinnati","OH","109","171809"
"14694","Great Oaks Institute of Technology & Career Development","Cincinnati","OH","153","267485.15999999997"
"16861","Greene County Career Center","Xenia","OH","51","80057"
"10323","Hannah E Mullins School of Practical Nursing","Salem","OH","59","89828"
"3048","Heidelberg College","Tiffin","OH","366","637155"
"3049","Hiram College","Hiram","OH","358","665337.02000000002"
"16522","HOBART INSTITUTE OF WELDING TECHNOLOGY","Troy","OH","27","43979"
"7598","Hocking  Technical College","Nelsonville","OH","1542","2623368.1000000001"
"7275","Jefferson Community College","Steubenville","OH","678","1174229"
"3050","John Carroll University","University Heights","OH","539","1047393.23"
