"OPEID","Name","State","Type & Control","Recips","Awards"
"1038","SNEAD STATE COMMUNITY COLLEGE","AL","Public 2 Year","1658","6098182"
"22704","SOUTHEASTERN BIBLE COLLEGE","AL","Private 4 Year","128","456719"
"34593","SOUTHEASTERN SCHOOL OF COSMETOLOGY","AL","Private 2 Year","165","836537"
"1040","SOUTHERN UNION STATE COMMUNITY COLLEGE","AL","Public 2 Year","2345","9323679"
"1041","SPRING HILL COLLEGE","AL","Private 4 Year","456","1844016"
"1044","STILLMAN COLLEGE","AL","Private 4 Year","863","4206256"
"1046","TALLADEGA COLLEGE","AL","Private 4 Year","482","2135768"
"1047","TROY UNIVERSITY","AL","Public 4 Year","11631","41360419"
"1050","TUSKEGEE UNIVERSITY","AL","Private 4 Year","1440","6634762"
"21706","UNITED STATES SPORTS ACADEMY","AL","Private 4 Year","94","232939"
"1051","UNIVERSITY OF ALABAMA","AL","Public 4 Year","5322","21902232"
"1052","UNIVERSITY OF ALABAMA AT BIRMINGHAM","AL","Public 4 Year","3476","14605719"
"1055","UNIVERSITY OF ALABAMA IN HUNTSVILLE","AL","Public 4 Year","1921","7687108"
"1029","UNIVERSITY OF MOBILE","AL","Private 4 Year","756","2719113"
"1004","UNIVERSITY OF MONTEVALLO","AL","Public 4 Year","958","4198254"
"1016","UNIVERSITY OF NORTH ALABAMA","AL","Public 4 Year","2222","9213120"
"1057","UNIVERSITY OF SOUTH ALABAMA","AL","Public 4 Year","4022","15508277"
"1024","UNIVERSITY OF WEST ALABAMA","AL","Public 4 Year","1313","5764332"
"30106","VIRGINIA COLLEGE","AL","Proprietary 4 Year","22904","92495763"
"41492","XCELL ACADEMY-A PAUL MITCHELL PARTNER SCHOOL","AL","Proprietary 2 Year","81","379592"
"30651","ABC BEAUTY COLLEGE","AR","Proprietary 2 Year","69","212347"
"10741","ACADEMY OF SALON AND SPA","AR","Proprietary 2 Year","88","289179"
"1087","ARKANSAS BAPTIST COLLEGE","AR","Private 4 Year","740","3148111"
"39973","ARKANSAS BEAUTY COLLEGE","AR","Proprietary 2 Year","38","182397"
"30051","ARKANSAS BEAUTY SCHOOL","AR","Proprietary 2 Year","72","271717"
"30076","ARKANSAS BEAUTY SCHOOL/CONWAY","AR","Proprietary 2 Year","69","249207"
"30234","ARKANSAS COLLEGE OF BARBERING & HAIR DESIGN","AR","Proprietary 2 Year","161","683323"
"12860","ARKANSAS NORTHEASTERN COLLEGE","AR","Public 2 Year","1150","3618433"
"1090","ARKANSAS STATE UNIVERSITY","AR","Public 4 Year","7059","28160986"
"1091","ARKANSAS STATE UNIVERSITY - BEEBE","AR","Public 2 Year","1605","5897848"
"1089","ARKANSAS TECH UNIVERSITY","AR","Public 4 Year","3994","16069767"
"23635","ARTHUR'S BEAUTY COLLEGE","AR","Proprietary 2 Year","40","156740"
