"OPEID","Name","State","Type & Control","Recips","Awards"
"21003","MED-ASSIST SCHOOL OF HAWAII","HI","Proprietary 2 Year","135","467026"
"41541","PACIFIC RIM BIBLE COLLEGE","HI","Private 4 Year","19","56152"
"30178","TRAVEL INSTITUTE OF THE PACIFIC","HI","Proprietary 2 Year","223","842092"
"1611","UNIVERSITY OF HAWAII AT HILO","HI","Public 4 Year","1529","6301785"
"1610","UNIVERSITY OF HAWAII AT MANOA","HI","Public 4 Year","3686","14602795"
"1615","UNIVERSITY OF HAWAII MAUI COLLEGE","HI","Public 4 Year","1773","5530175"
"21078","UNIVERSITY OF HAWAII WEST OAHU","HI","Public 4 Year","376","1170407"
"11220","WINDWARD COMMUNITY COLLEGE","HI","Public 2 Year","976","2897487"
"30691","ALLEN COLLEGE","IA","Private 4 Year","100","349507"
"7656","AMERICAN COLLEGE OF HAIRSTYLING-CEDAR RAPIDS","IA","Proprietary 2 Year","18","101991"
"7658","AMERICAN COLLEGE OF HAIRSTYLING-DES MOINES","IA","Proprietary 2 Year","44","159738"
"22890","AMERICAN HAIR ACADEMY","IA","Proprietary 2 Year","38","165295"
"3963","AMERICAN INSTITUTE OF BUSINESS","IA","Private 4 Year","462","1630435"
"1881","ASHFORD UNIVERSITY","IA","Proprietary 4 Year","47096","162195320"
"40893","BIO-CHI INSTITUTE OF MASSAGE THERAPY","IA","Proprietary 2 Year","25","122701"
"1846","BRIAR CLIFF UNIVERSITY","IA","Private 4 Year","439","1540683"
"1847","BUENA VISTA UNIVERSITY","IA","Private 4 Year","1395","5682212"
"20903","CAPRI COLLEGE","IA","Proprietary 2 Year","127","592469"
"7588","CAPRI COLLEGE","IA","Proprietary 2 Year","126","590378"
"7717","CAPRI COLLEGE","IA","Proprietary 2 Year","140","639736"
"37203","CARLSON COLLEGE OF MASSAGE THERAPY","IA","Proprietary 2 Year","17","63164"
"1850","CENTRAL COLLEGE","IA","Private 4 Year","413","1527967"
"1852","CLARKE COLLEGE","IA","Private 4 Year","359","1278435"
"1854","COE COLLEGE","IA","Private 4 Year","305","1134006"
"7941","COLLEGE OF HAIR DESIGN","IA","Proprietary 2 Year","43","167446"
"1856","CORNELL COLLEGE","IA","Private 4 Year","313","1256986"
"7120","DES MOINES AREA COMMUNITY COLLEGE","IA","Public 2 Year","8762","28368246"
"1858","DIVINE WORD COLLEGE","IA","Private 4 Year","25","105125"
"1859","DORDT COLLEGE","IA","Private 4 Year","409","1480748"
"1860","DRAKE UNIVERSITY","IA","Private 4 Year","659","2574610"
"4075","EASTERN IOWA COMMUNITY COLLEGE DISTRICT - CLINTON COMMUNITY COLLEGE","IA","Public 2 Year","3874","12783959"
"1862","ELLSWORTH COMMUNITY COLLEGE","IA","Public 2 Year","490","1874763"
"23289","EMMAUS BIBLE COLLEGE","IA","Private 4 Year","111","401994"
"7611","EQ SCHOOL OF HAIR DESIGN","IA","Proprietary 2 Year","64","242123"
"7121","FAITH BAPTIST BIBLE COLLEGE & THEOLOGICAL SEMINARY","IA","Private 4 Year","165","596659"
"22625","FAUST INSTITUTE OF COSMETOLOGY","IA","Proprietary 2 Year","52","257337"
"1866","GRACELAND UNIVERSITY","IA","Private 4 Year","493","1933377"
"1867","GRAND VIEW UNIVERSITY","IA","Private 4 Year","753","2910103"
"1868","GRINNELL COLLEGE","IA","Private 4 Year","288","1104873"
"12064","HAMILTON TECHNICAL COLLEGE","IA","Proprietary 4 Year","323","1283083"
"4595","HAWKEYE COMMUNITY COLLEGE","IA","Public 2 Year","2655","8468177"
"8403","INDIAN HILLS COMMUNITY COLLEGE","IA","Public 2 Year","2964","11175562"
"1865","IOWA CENTRAL COMMUNITY COLLEGE","IA","Public 2 Year","2529","8625161"
"1864","IOWA LAKES COMMUNITY COLLEGE","IA","Public 2 Year","1474","5775310"
"6267","IOWA METHODIST MEDICAL CENTER SCHOOLS","IA","Private 2 Year","6","29000"
"23069","IOWA SCHOOL OF BEAUTY","IA","Proprietary 2 Year","63","283620"
"23309","IOWA SCHOOL OF BEAUTY","IA","Proprietary 2 Year","37","176709"
"34413","IOWA SCHOOL OF BEAUTY","IA","Proprietary 2 Year","61","317332"
"8260","IOWA SCHOOL OF BEAUTY","IA","Proprietary 2 Year","157","613805"
"1869","IOWA STATE UNIVERSITY OF SCIENCE & TECHNOLOGY","IA","Public 4 Year","5295","21388600"
"1871","IOWA WESLEYAN COLLEGE","IA","Private 4 Year","477","1723826"
"4598","IOWA WESTERN COMMUNITY COLLEGE - COUNCIL BLUFFS","IA","Public 2 Year","2578","8393408"
"4586","KAPLAN UNIVERSITY","IA","Proprietary 4 Year","70083","238105798"
"4076","KIRKWOOD COMMUNITY COLLEGE","IA","Public 2 Year","7165","23582504"
"7659","LA' JAMES COLLEGE OF HAIRSTYLING","IA","Proprietary 2 Year","103","470475"
"8424","LA' JAMES INTERNATIONAL COLLEGE","IA","Proprietary 2 Year","132","588451"
"9593","LA' JAMES INTERNATIONAL COLLEGE","IA","Proprietary 2 Year","82","368895"
"21345","LA' JAMES INTERNATIONAL COLLEGE - DAVENPORT","IA","Proprietary 2 Year","66","280500"
"22741","LA' JAMES INTERNATIONAL COLLEGE - DES MOINES","IA","Proprietary 2 Year","154","684683"
"13006","LA'JAMES INTERNATIONAL COLLEGE","IA","Proprietary 2 Year","78","384641"
"1873","LORAS COLLEGE","IA","Private 4 Year","363","1272793"
"1874","LUTHER COLLEGE","IA","Private 4 Year","484","1792540"
"11113","MAHARISHI UNIVERSITY OF MANAGEMENT","IA","Private 4 Year","194","708814"
"1875","MARSHALLTOWN COMMUNITY COLLEGE","IA","Public 2 Year","888","3148033"
"6273","MERCY COLLEGE OF HEALTH SCIENCES","IA","Private 4 Year","313","1437011"
"1879","MORNINGSIDE COLLEGE","IA","Private 4 Year","464","1655526"
"1880","MOUNT MERCY COLLEGE","IA","Private 4 Year","475","1720029"
"1877","NORTH IOWA AREA COMMUNITY COLLEGE","IA","Public 2 Year","1374","4520582"
"4587","NORTHEAST IOWA COMMUNITY COLLEGE","IA","Public 2 Year","2371","8337866"
"4600","NORTHWEST IOWA COMMUNITY COLLEGE","IA","Public 2 Year","405","1407642"
"1883","NORTHWESTERN COLLEGE","IA","Private 4 Year","356","1245572"
"12300","PALMER COLLEGE OF CHIROPRACTIC","IA","Private 4 Year","41","160794"
"21609","SALON PROFESSIONAL ACADEMY, THE","IA","Proprietary 2 Year","151","655895"
"1887","SIMPSON COLLEGE","IA","Private 4 Year","566","2125717"
"1848","SOUTHEASTERN COMMUNITY COLLEGE","IA","Public 2 Year","2200","7792103"
"1857","SOUTHWESTERN COMMUNITY COLLEGE","IA","Public 2 Year","759","2777657"
"1889","ST AMBROSE UNIVERSITY - MAIN CAMPUS","IA","Private 4 Year","712","2667476"
"4233","ST LUKES METHODIST HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY","IA","Private 2 Year","9","31900"
"7291","ST. LUKE'S COLLEGE","IA","Private 2 Year","62","226086"
"36074","TOTAL LOOK SCHOOL OF COSMETOLOGY AND MASSAGE THERAPY","IA","Proprietary 2 Year","17","66190"
"1891","UNIVERSITY OF DUBUQUE","IA","Private 4 Year","730","2923125"
"1892","UNIVERSITY OF IOWA","IA","Public 4 Year","3697","13768616"
"1890","UNIVERSITY OF NORTHERN IOWA","IA","Public 4 Year","2971","10875994"
"1893","UPPER IOWA UNIVERSITY","IA","Private 4 Year","2600","8400031"
"26092","VATTEROTT COLLEGE","IA","Proprietary 2 Year","2482","11661138"
"1895","WALDORF COLLEGE","IA","Private 4 Year","259","970653"
"1896","WARTBURG COLLEGE","IA","Private 4 Year","479","1720390"
"7316","WESTERN IOWA TECH COMMUNITY COLLEGE","IA","Public 2 Year","2590","8835271"
"1900","WILLIAM PENN UNIVERSITY","IA","Private 4 Year","996","3808205"
"22180","APOLLO COLLEGE","ID","Proprietary 2 Year","676","2722034"
"22345","BOISE BIBLE COLLEGE","ID","Private 4 Year","94","335135"
"1616","BOISE STATE UNIVERSITY","ID","Public 4 Year","6758","25819148"
"1625","BRIGHAM YOUNG UNIVERSITY-IDAHO","ID","Private 4 Year","9313","39346834"
"1617","COLLEGE OF IDAHO (THE)","ID","Private 4 Year","308","1234820"
"1619","COLLEGE OF SOUTHERN IDAHO","ID","Public 2 Year","5592","18430329"
"38324","COSMETOLOGY SCHOOL OF ARTS AND SCIENCES","ID","Proprietary 2 Year","62","291772"
"41506","D & L ACADEMY OF HAIR DESIGN","ID","Proprietary 2 Year","18","80875"
"11133","EASTERN IDAHO TECHNICAL COLLEGE","ID","Public 2 Year","556","1697505"
"41343","EVANS HAIRSTYLING COLLEGE","ID","Proprietary 2 Year","48","169495"
"41445","HAIR ACADEMY PAUL MITCHELL PARTNER SCHOOL (THE)","ID","Proprietary 2 Year","109","530676"
"23492","HEADMASTERS SCHOOL OF HAIR DESIGN","ID","Proprietary 2 Year","69","283159"
"1620","IDAHO STATE UNIVERSITY","ID","Public 4 Year","6231","23026342"
"4553","ITT TECHNICAL INSTITUTE","ID","Proprietary 2 Year","2577","8940897"
"1621","LEWIS-CLARK STATE COLLEGE","ID","Public 4 Year","1659","6046910"
"41638","MASTER EDUCATORS BEAUTY SCHOOL","ID","Proprietary 2 Year","15","62743"
"30987","MILAN INSTITUTE","ID","Proprietary 2 Year","1031","3707943"
"9873","MR. JUAN'S COLLEGE OF HAIR DESIGN","ID","Proprietary 2 Year","52","239125"
"22758","MR. LEON'S SCHOOL OF HAIR DESIGN","ID","Proprietary 2 Year","112","547770"
"1623","NORTH IDAHO COLLEGE","ID","Public 2 Year","2730","9174970"
"1624","NORTHWEST NAZARENE UNIVERSITY -","ID","Private 4 Year","479","1909516"
"41552","OLIVER FINLEY ACADEMY OF COSMETOLOGY","ID","Proprietary 2 Year","115","480340"
"25595","RAZZLE DAZZLE COLLEGE OF HAIR DESIGN","ID","Proprietary 2 Year","96","521066"
"23140","SCHOOL OF HAIRSTYLING (THE)","ID","Proprietary 2 Year","82","435501"
"26071","SCOT LEWIS SCHOOLS - PAUL MITCHELL PARTNER SCHOOL","ID","Proprietary 2 Year","168","695103"
"23198","TONI&GUY HAIRDRESSING ACADEMY","ID","Proprietary 2 Year","237","1133384"
"1626","UNIVERSITY OF IDAHO","ID","Public 4 Year","3517","14398571"
"4181","ADVOCATE TRINITY HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY","IL","Private 2 Year","6","24976"
"8328","ALVAREITA'S COLLEGE OF COSMETOLOGY","IL","Proprietary 4 Year","68","239721"
"23494","ALVAREITA'S COLLEGE OF COSMETOLOGY INC.","IL","Proprietary 2 Year","36","133608"
"1628","AMERICAN ACADEMY OF ART","IL","Proprietary 4 Year","206","706608"
"37214","AMERICAN CAREER COLLEGE OF HAIR DESIGN","IL","Proprietary 2 Year","56","177387"
"21136","AMERICAN INTERCONTINENTAL UNIVERSITY","IL","Proprietary 4 Year","23239","83139589"
"41247","AMERICARE INSTITUTE","IL","Proprietary 2 Year","107","298262"
"21799","ARGOSY UNIVERSITY","IL","Proprietary 4 Year","8491","26342148"
"1633","AUGUSTANA COLLEGE","IL","Private 4 Year","446","1567311"
"1634","AURORA UNIVERSITY","IL","Private 4 Year","881","3288393"
"41410","AVEDA INSTITUTE CHICAGO","IL","Proprietary 2 Year","28","99441"
"21174","BECK AREA CAREER CENTER","IL","Public 2 Year","49","237018"
"25367","BELL MAR BEAUTY COLLEGE","IL","Proprietary 2 Year","34","80893"
"1767","BENEDICTINE UNIVERSITY","IL","Private 4 Year","1139","4338352"
"1638","BLACK HAWK COLLEGE","IL","Public 2 Year","2534","7632381"
"1639","BLACKBURN UNIVERSITY","IL","Private 4 Year","306","1165799"
"6214","BLESSING HOSPITAL","IL","Private 4 Year","53","231139"
"1641","BRADLEY UNIVERSITY","IL","Private 4 Year","1178","4369856"
"34483","BUSINESS INDUSTRIAL RESOURCES","IL","Proprietary 2 Year","566","1406198"
"30997","CAINS BARBER COLLEGE","IL","Proprietary 2 Year","224","808338"
"39143","CALC, INSTITUTE OF TECHNOLOGY","IL","Proprietary 2 Year","191","536027"
"30784","CAMEO BEAUTY ACADEMY","IL","Proprietary 2 Year","120","450934"
"22026","CANNELLA SCHOOL OF HAIR DESIGN","IL","Proprietary 2 Year","99","377830"
"22912","CANNELLA SCHOOL OF HAIR DESIGN","IL","Proprietary 2 Year","141","503656"
"22955","CANNELLA SCHOOL OF HAIR DESIGN","IL","Proprietary 2 Year","81","340401"
"23495","CANNELLA SCHOOL OF HAIR DESIGN","IL","Proprietary 2 Year","140","521424"
"8939","CANNELLA SCHOOL OF HAIR DESIGN","IL","Proprietary 2 Year","176","559383"
"9595","CANNELLA SCHOOL OF HAIR DESIGN","IL","Proprietary 2 Year","152","534702"
"10710","CAPITAL AREA CAREER CENTER","IL","Public 2 Year","202","677583"
"13088","CAPRI OAK FOREST BEAUTY COLLEGE","IL","Proprietary 2 Year","126","499510"
"13087","CAPRI-GARFIELD RIDGE SCHOOL OF BEAUTY CULTURE","IL","Proprietary 2 Year","150","587052"
"7265","CARL SANDBURG COLLEGE","IL","Public 2 Year","1513","4852423"
"1694","CHICAGO STATE UNIVERSITY","IL","Public 4 Year","4410","17480471"
"31993","CHRISTIAN LIFE COLLEGE","IL","Private 4 Year","14","49876"
"41390","CITI COLLEGE OF ALLIED HEALTH","IL","Proprietary 2 Year","30","70936"
"1654","CITY COLLEGES OF CHICAGO - KENNEDY KING COLLEGE","IL","Public 2 Year","5581","18346543"
"1650","CITY COLLEGES OF CHICAGO - MALCOLM X COLLEGE","IL","Public 2 Year","4125","12128452"
"1648","CITY COLLEGES OF CHICAGO HARRY S TRUMAN COLLEGE","IL","Public 2 Year","3145","9464459"
"1647","CITY COLLEGES OF CHICAGO SYSTEM OFFICE","IL","Public 2 Year","120","342957"
"6656","COLLEGE OF DU PAGE","IL","Public 2 Year","4746","14582265"
"7694","COLLEGE OF LAKE COUNTY","IL","Public 2 Year","3078","8344384"
"23378","COLLEGE OF OFFICE TECHNOLOGY","IL","Proprietary 2 Year","358","1381890"
"1665","COLUMBIA COLLEGE","IL","Private 4 Year","3851","14770932"
"34163","COMPUTER SYSTEMS INSTITUTE","IL","Proprietary 2 Year","1239","4191881"
"23173","CONCEPT COLLEGE OF COSMETOLOGY","IL","Proprietary 2 Year","114","414219"
"1666","CONCORDIA UNIVERSITY","IL","Private 4 Year","483","1802286"
"34557","CORTIVA INSTITUTE - CHICAGO","IL","Proprietary 2 Year","459","940642"
"21506","COSMETOLOGY & SPA INSTITUTE","IL","Proprietary 2 Year","120","434102"
"7549","COYNE AMERICAN INSTITUTE","IL","Proprietary 2 Year","1425","4591696"
"1669","DANVILLE AREA COMMUNITY COLLEGE","IL","Public 2 Year","1566","5010553"
"1671","DEPAUL UNIVERSITY","IL","Private 4 Year","5560","20733837"
"10727","DEVRY UNIVERSITY","IL","Proprietary 4 Year","57339","207064910"
"1750","DOMINICAN UNIVERSITY","IL","Private 4 Year","692","2783076"
"1674","EASTERN ILLINOIS UNIVERSITY","IL","Public 4 Year","3213","12801525"
"21686","EAST-WEST UNIVERSITY","IL","Private 4 Year","933","2562177"
"8259","EDUCATORS OF BEAUTY","IL","Proprietary 2 Year","147","621706"
"9475","EDUCATORS OF BEAUTY","IL","Proprietary 2 Year","52","224514"
"1675","ELGIN COMMUNITY COLLEGE","IL","Public 2 Year","3102","8606858"
"1676","ELMHURST COLLEGE","IL","Private 4 Year","812","3106261"
"25995","EMPIRE BEAUTY SCHOOL","IL","Proprietary 2 Year","142","475034"
"25561","ENVIRONMENTAL TECHNICAL INSTITUTE","IL","Proprietary 2 Year","378","1286427"
"1678","EUREKA COLLEGE","IL","Private 4 Year","269","949793"
"38814","EUROPEAN MASSAGE THERAPY SCHOOL","IL","Proprietary 2 Year","91","250759"
"11858","EVEREST COLLEGE","IL","Proprietary 2 Year","2208","7584049"
"25849","FIRST INSTITUTE","IL","Proprietary 2 Year","168","483144"
"25228","FOX COLLEGE","IL","Proprietary 2 Year","301","1233067"
"24982","G SKIN & BEAUTY INSTITUTE","IL","Proprietary 2 Year","152","472832"
"4560","GEM CITY COLLEGE","IL","Proprietary 2 Year","39","151100"
"9145","GOVERNORS STATE UNIVERSITY","IL","Public 4 Year","1439","5529237"
"8938","GRAHAM HOSPITAL SCHOOL OF NURSING","IL","Private 2 Year","47","195205"
"1684","GREENVILLE COLLEGE","IL","Private 4 Year","603","2162574"
"22612","HAIR PROFESSIONALS ACADEMY OF COSMETOLOGY","IL","Proprietary 2 Year","199","614027"
"23322","HAIR PROFESSIONALS CAREER COLLEGE","IL","Proprietary 2 Year","54","161195"
"25877","HAIR PROFESSIONALS CAREER COLLEGE","IL","Proprietary 2 Year","92","287322"
"22621","HAIR PROFESSIONALS SCHOOL OF COSMETOLOGY","IL","Proprietary 2 Year","74","230610"
"30020","HAIRMASTERS INSTITUTE OF COSMETOLOGY","IL","Proprietary 2 Year","67","201100"
"1652","HAROLD WASHINGTON COLLEGE","IL","Public 2 Year","5622","17899356"
"3961","HARPER COLLEGE","IL","Public 2 Year","3474","10809178"
"20552","HARRINGTON COLLEGE OF DESIGN","IL","Proprietary 4 Year","470","1485228"
"30838","HEARTLAND COMMUNITY COLLEGE","IL","Public 2 Year","1520","4338921"
"1685","HEBREW THEOLOGICAL COLLEGE","IL","Private 4 Year","201","882835"
"1681","HIGHLAND COMMUNITY COLLEGE","IL","Public 2 Year","1264","3838327"
"31018","ILLINOIS CENTER FOR BROADCASTING","IL","Proprietary 2 Year","211","748816"
"6753","ILLINOIS CENTRAL COLLEGE","IL","Public 2 Year","4973","14811840"
"1688","ILLINOIS COLLEGE","IL","Private 4 Year","264","1031446"
"9786","ILLINOIS EASTERN COMMUNITY COLLEGES - LINCOLN TRAIL COLLEGE","IL","Public 2 Year","386","1363351"
"1742","ILLINOIS EASTERN COMMUNITY COLLEGES - OLNEY CENTRAL COLLEGE","IL","Public 2 Year","777","2546634"
"1779","ILLINOIS EASTERN COMMUNITY COLLEGES - WABASH VALLEY COLLEGE","IL","Public 2 Year","591","2066259"
"20744","ILLINOIS EASTERN COMMUNITY COLLEGES -FRONTIER COMMUNITY COLLEGE","IL","Public 2 Year","360","1162462"
"12584","ILLINOIS INSTITUTE OF ART (THE)","IL","Proprietary 4 Year","3740","13418738"
"1691","ILLINOIS INSTITUTE OF TECHNOLOGY","IL","Private 4 Year","763","3101316"
"30998","ILLINOIS SCHOOL OF HEALTH CAREERS","IL","Proprietary 2 Year","1088","3511304"
"1692","ILLINOIS STATE UNIVERSITY","IL","Public 4 Year","3988","15591205"
"1705","ILLINOIS VALLEY COMMUNITY COLLEGE","IL","Public 2 Year","1495","4489197"
"1696","ILLINOIS WESLEYAN UNIVERSITY","IL","Private 4 Year","344","1273221"
"41678","INNOVATIONS DESIGN ACADEMY","IL","Proprietary 2 Year","3","5166"
"21603","INTERNATIONAL ACADEMY OF DESIGN AND TECHNOLOGY","IL","Proprietary 4 Year","2826","12475467"
"8076","JOHN A. LOGAN COLLEGE","IL","Public 2 Year","2551","8571424"
"12813","JOHN WOOD COMMUNITY COLLEGE","IL","Public 2 Year","1566","4622375"
"1699","JOLIET JUNIOR COLLEGE","IL","Public 2 Year","3662","10177155"
"1700","JUDSON UNIVERSITY","IL","Private 4 Year","399","1440613"
"7690","KANKAKEE COMMUNITY COLLEGE","IL","Public 2 Year","1811","5402476"
"1701","KASKASKIA COLLEGE","IL","Public 2 Year","2132","7562589"
"1703","KENDALL COLLEGE","IL","Proprietary 4 Year","1242","4211681"
"7684","KISHWAUKEE COLLEGE","IL","Public 2 Year","1766","5649217"
"1704","KNOX COLLEGE","IL","Private 4 Year","325","1305569"
"23123","LA' JAMES INTERNATIONAL COLLEGE","IL","Proprietary 2 Year","35","144367"
"1706","LAKE FOREST COLLEGE","IL","Private 4 Year","465","1946674"
"7644","LAKE LAND COLLEGE","IL","Public 2 Year","2284","8094580"
"10501","LAKEVIEW COLLEGE OF NURSING","IL","Private 4 Year","95","372145"
"23522","LE CORDON BLEU COLLEGE OF CULINARY ARTS IN CHICAGO","IL","Proprietary 2 Year","721","3180995"
"10020","LEWIS AND CLARK COMMUNITY COLLEGE","IL","Public 2 Year","2499","7456324"
"1707","LEWIS UNIVERSITY","IL","Private 4 Year","1135","4262253"
"25276","LEXINGTON COLLEGE","IL","Private 4 Year","39","174075"
"1708","LINCOLN CHRISTIAN UNIVERSITY","IL","Private 4 Year","363","1184439"
"1709","LINCOLN COLLEGE","IL","Private 4 Year","834","3247941"
"10316","LINCOLN COLLEGE OF TECHNOLOGY","IL","Proprietary 2 Year","1980","8228731"
"7170","LINCOLN LAND COMMUNITY COLLEGE","IL","Public 2 Year","2849","8212568"
"1710","LOYOLA UNIVERSITY CHICAGO","IL","Private 4 Year","3010","12431908"
"22281","MAC DANIELS BEAUTY SCHOOL","IL","Proprietary 2 Year","53","181043"
"1716","MACCORMAC COLLEGE","IL","Private 2 Year","141","523226"
"1717","MACMURRAY COLLEGE","IL","Private 4 Year","280","1118274"
"7691","MCHENRY COUNTY COLLEGE","IL","Public 2 Year","1471","4045473"
"1722","MCKENDREE UNIVERSITY","IL","Private 4 Year","779","2968794"
"6228","METHODIST COLLEGE OF  NURSING","IL","Private 4 Year","122","454716"
"4568","MIDSTATE COLLEGE","IL","Proprietary 4 Year","654","2074054"
"33683","MIDWEST TECHNICAL INSTITUTE","IL","Proprietary 2 Year","1915","6654869"
"1657","MIDWESTERN UNIVERSITY","IL","Private 4 Year","6","26864"
"1724","MILLIKIN UNIVERSITY","IL","Private 4 Year","840","3044820"
"1725","MONMOUTH COLLEGE","IL","Private 4 Year","455","1806333"
"7692","MORAINE VALLEY COMMUNITY COLLEGE","IL","Public 2 Year","3748","11301928"
"8880","MORRISON INSTITUTE OF TECHNOLOGY","IL","Private 2 Year","50","190224"
"1728","MORTON COLLEGE","IL","Public 2 Year","2126","6406008"
"21924","MR. JOHN'S SCHOOL OF COSMETOLOGY, ESTHETICS & NAILS","IL","Proprietary 2 Year","74","303926"
"36433","MR. JOHN'S SCHOOL OF JACKSONVILLE,  INC,","IL","Proprietary 2 Year","42","145717"
"7937","MS ROBERTS ACADEMY OF BEAUTY CULTURE","IL","Proprietary 2 Year","86","312059"
"31285","NATIONAL LATINO EDUCATION INSTITUTE","IL","Private 2 Year","132","513547"
"1732","NATIONAL UNIVERSITY OF HEALTH SCIENCES (THE)","IL","Private 4 Year","46","191012"
"1733","NATIONAL-LOUIS UNIVERSITY","IL","Private 4 Year","1018","3140598"
"25566","NILES SCHOOL OF COSMETOLOGY","IL","Proprietary 2 Year","66","240771"
"1734","NORTH CENTRAL COLLEGE","IL","Private 4 Year","650","2383183"
"1735","NORTH PARK UNIVERSITY","IL","Private 4 Year","668","2358983"
"1693","NORTHEASTERN ILLINOIS UNIVERSITY","IL","Public 4 Year","4163","15404925"
"1737","NORTHERN ILLINOIS UNIVERSITY","IL","Public 4 Year","6318","25278642"
"12362","NORTHWESTERN COLLEGE","IL","Proprietary 2 Year","2649","7303293"
"1739","NORTHWESTERN UNIVERSITY","IL","Private 4 Year","1041","3903882"
"9896","OAKTON COMMUNITY COLLEGE","IL","Public 2 Year","2403","6991124"
"22975","OEHRLEIN SCHOOL OF COSMETOLOGY","IL","Proprietary 2 Year","79","290370"
"9767","OLIVE HARVEY COLLEGE","IL","Public 2 Year","2877","9295807"
"1741","OLIVET NAZARENE UNIVERSITY","IL","Private 4 Year","1011","3831718"
"7118","PARKLAND COLLEGE","IL","Public 2 Year","3104","10188066"
"41606","PAUL MITCHELL THE SCHOOL NORMAL","IL","Proprietary 2 Year","18","55302"
"10836","PIVOT POINT INTERNATIONAL COSMETOLOGY RESEARCH CENTER","IL","Proprietary 2 Year","339","1247586"
"1640","PRAIRIE STATE COLLEGE","IL","Public 2 Year","2740","7385403"
"23233","PROFESSIONALS CHOICE HAIR DESIGN ACADEMY","IL","Proprietary 2 Year","12","48250"
"1745","QUINCY UNIVERSITY","IL","Private 4 Year","519","1990461"
"7119","REND LAKE COLLEGE","IL","Public 2 Year","1593","5305111"
"1649","RICHARD J DALEY COLLEGE-CITY COLLEGES OF CHICAGO","IL","Public 2 Year","3049","8706454"
"10879","RICHLAND COMMUNITY COLLEGE","IL","Public 2 Year","1372","3535090"
"1746","ROBERT MORRIS UNIVERSITY ILLINOIS","IL","Private 4 Year","3462","15414430"
"1747","ROCK VALLEY COLLEGE","IL","Public 2 Year","3058","8451660"
"8545","ROCKFORD CAREER  COLLEGE","IL","Proprietary 2 Year","820","2912504"
"1748","ROCKFORD COLLEGE","IL","Private 4 Year","398","1473065"
"1749","ROOSEVELT UNIVERSITY","IL","Private 4 Year","1759","6039408"
"30829","ROSEL SCHOOL OF COSMETOLOGY","IL","Proprietary 2 Year","141","569179"
"9800","RUSH UNIVERSITY","IL","Private 4 Year","17","72356"
"9987","SAINT ANTHONY COLLEGE OF NURSING","IL","Private 4 Year","79","259318"
"6240","SAINT FRANCIS MEDICAL CENTER COLLEGE OF NURSING","IL","Private 4 Year","145","469386"
"30980","SAINT JOHN'S COLLEGE","IL","Private 4 Year","24","91550"
"1768","SAINT XAVIER UNIVERSITY","IL","Private 4 Year","1369","5183395"
"1752","SAUK VALLEY COMMUNITY COLLEGE","IL","Public 2 Year","1271","3728460"
"1753","SCHOOL OF THE ART INSTITUTE OF CHICAGO","IL","Private 4 Year","663","2596546"
"7693","SHAWNEE COMMUNITY COLLEGE","IL","Public 2 Year","1425","4694342"
"1756","SHIMER COLLEGE","IL","Private 4 Year","58","212285"
"41175","SOLEX MEDICAL ACADEMY","IL","Proprietary 2 Year","10","22752"
"38913","SOMA INSTITUTE - THE NATIONAL SCHOOL OF CLINICAL MASSAGE THERAPY","IL","Proprietary 2 Year","191","455271"
"1769","SOUTH SUBURBAN COLLEGE OF COOK COUNTY","IL","Public 2 Year","5195","14753542"
"1757","SOUTHEASTERN ILLINOIS COLLEGE","IL","Public 2 Year","961","3470247"
"1758","SOUTHERN ILLINOIS UNIVERSITY AT CARBONDALE","IL","Public 4 Year","6031","25335128"
"1759","SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE","IL","Public 4 Year","3526","13134450"
"1636","SOUTHWESTERN ILLINOIS COLLEGE","IL","Public 2 Year","4904","14742158"
"1643","SPOON RIVER COLLEGE","IL","Public 2 Year","655","2278743"
"1761","SPRINGFIELD COLLEGE ILLINOIS","IL","Private 2 Year","211","742238"
"21854","ST. AUGUSTINE COLLEGE","IL","Private 4 Year","1225","4746568"
"11810","TAYLOR BUSINESS INSTITUTE","IL","Proprietary 2 Year","347","1558415"
"20732","TELSHE YESHIVA-CHICAGO","IL","Private 4 Year","30","141887"
"30653","TREND SETTERS COLLEGE OF COSMETOLOGY","IL","Proprietary 2 Year","173","569409"
"10695","TRI COUNTY BEAUTY ACADEMY","IL","Proprietary 2 Year","23","79069"
"41375","TRICOCI UNIVERSITY OF BEAUTY CULTURE","IL","Proprietary 2 Year","179","655449"
"41471","TRICOCI UNIVERSITY OF BEAUTY CULTURE","IL","Proprietary 2 Year","64","255964"
"41472","TRICOCI UNIVERSITY OF BEAUTY CULTURE","IL","Proprietary 2 Year","97","391052"
"41473","TRICOCI UNIVERSITY OF BEAUTY CULTURE","IL","Proprietary 2 Year","51","212370"
"41474","TRICOCI UNIVERSITY OF BEAUTY CULTURE","IL","Proprietary 2 Year","46","173770"
"41475","TRICOCI UNIVERSITY OF BEAUTY CULTURE","IL","Proprietary 2 Year","93","341412"
"1771","TRINITY CHRISTIAN COLLEGE","IL","Private 4 Year","470","1585849"
"6225","TRINITY COLLEGE OF NURSING AND HEALTH SCIENCES","IL","Private 4 Year","82","261502"
