"OPE_ID","INSTITUTION NAME","INSTITUTION CITY","INSTITUTION STATE","INSTITUTION TYPE AND CONTROL","TOTAL AWARDS","TOTAL RECIPIENTS"
"100200","ALABAMA AGRCLTL & MECHL UNIV","NORMAL","AL","Public 4 Year","16450218","3586"
"100300","FAULKNER UNIVERSITY","MONTGOMERY","AL","Private 4 Year","6721194","1692"
"100400","UNIVERSITY OF MONTEVALLO","MONTEVALLO","AL","Public 4 Year","4162434","983"
"100500","ALABAMA STATE UNIVERSITY","MONTGOMERY","AL","Public 4 Year","16371345","3646"
"100700","CENTRAL ALABAMA COMMUNITY COLLEGE","ALEXANDER CITY","AL","Public 2 Year","3755947","1039"
"100800","ATHENS STATE UNIVERSITY","ATHENS","AL","Public 4 Year","5246702","1490"
"100900","AUBURN UNIVERSITY","AUBURN","AL","Public 4 Year","14782643","3536"
"101200","BIRMINGHAM SOUTHERN COLLEGE","BIRMINGHAM","AL","Private 4 Year","1086213","250"
"101300","CALHOUN COMMUNITY COLLEGE","DECATUR","AL","Public 2 Year","12723425","3937"
"101500","ENTERPRISE STATE COMMUNITY COLLEGE","ENTERPRISE","AL","Public 2 Year","3135284","872"
"101600","UNIVERSITY OF NORTH ALABAMA","FLORENCE","AL","Public 4 Year","10557401","2473"
"101700","GADSDEN STATE COMMUNITY COLLEGE","GADSDEN","AL","Public 2 Year","10884127","3116"
"101706","GADSDEN STATE COMM. COLLEGE-AYERS CAMPUS","ANNISTON","AL","Public 2 Year","4265","1"
"101800","GEORGE C WALLACE COMMUNITY COLLEGE","DOTHAN","AL","Public 2 Year","9766917","2750"
"101900","HUNTINGDON COLLEGE","MONTGOMERY","AL","Private 4 Year","2163951","527"
"102000","JACKSONVILLE STATE UNIVERSITY","JACKSONVILLE","AL","Public 4 Year","12550985","3069"
"102100","JEFFERSON DAVIS COMMUNITY COLLEGE","BREWTON","AL","Public 2 Year","2183707","600"
"102200","JEFFERSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public 2 Year","9695337","3023"
"102300","JUDSON COLLEGE","MARION","AL","Private 4 Year","825186","281"
"102400","UNIVERSITY OF WEST ALABAMA","LIVINGSTON","AL","Public 4 Year","5010250","1137"
"102600","MARION MILITARY INSTITUTE","MARION","AL","Public 2 Year","812342","184"
"102800","MILES COLLEGE","FAIRFIELD","AL","Private 4 Year","7999572","1719"
"102900","UNIVERSITY OF MOBILE","MOBILE","AL","Private 4 Year","2687045","652"
"103000","BISHOP STATE COMMUNITY COLLEGE","MOBILE","AL","Public 2 Year","8237942","2235"
"103100","NORTHEAST ALABAMA STATE CMNTY COLG","RAINSVILLE","AL","Public 2 Year","5738634","1603"
"103300","OAKWOOD COLLEGE","HUNTSVILLE","AL","Private 4 Year","4259195","966"
"103400","ALABAMA SOUTHERN COMMUNITY COLLEGE","MONROEVILLE","AL","Public 2 Year","3141405","809"
"103600","SAMFORD UNIVERSITY","BIRMINGHAM","AL","Private 4 Year","1588928","382"
"103800","SNEAD STATE COMMUNITY COLLEGE","BOAZ","AL","Public 2 Year","5050420","1335"
"104000","SOUTHERN UNION STATE COMMUNITY CLG","WADLEY","AL","Public 2 Year","8611194","2224"
"104100","SPRING HILL COLLEGE","MOBILE","AL","Private 4 Year","2075036","454"
"104400","STILLMAN COLLEGE","TUSCALOOSA","AL","Private 4 Year","2642278","580"
"104600","TALLADEGA COLLEGE","TALLADEGA","AL","Private 4 Year","3067745","662"
"104700","TROY UNIVERSITY","TROY","AL","Public 4 Year","23222534","6148"
"105000","TUSKEGEE UNIVERSITY","TUSKEGEE","AL","Private 4 Year","6678530","1451"
"105100","UNIVERSITY OF ALABAMA (THE)","TUSCALOOSA","AL","Public 4 Year","25723796","6201"
"105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","Public 4 Year","19410499","4771"
"105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","HUNTSVILLE","AL","Public 4 Year","7772020","1927"
"105700","UNIVERSITY OF SOUTH ALABAMA","MOBILE","AL","Public 4 Year","19639519","4614"
"105900","LAWSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public 2 Year","9037100","2548"
"105901","LAWSON STATE COMMUNITY COLLEGE - BESSEME","BESSEMER","AL","Public 2 Year","217286","54"
"106000","COASTAL ALABAMA COMMUNITY COLLEGE","BAY MINETTE","AL","Public 2 Year","8416901","2245"
"106100","ALASKA PACIFIC UNIVERSITY","ANCHORAGE","AK","Private 4 Year","404161","104"
"106300","UNIVERSITY OF ALASKA FAIRBANKS","FAIRBANKS","AK","Public 4 Year","5699621","1692"
"106500","UNIVERSITY OF ALASKA SOUTHEAST","JUNEAU","AK","Public 4 Year","1541579","459"
"107100","ARIZONA WESTERN COLLEGE","YUMA","AZ","Public 2 Year","15451368","4623"
"107200","COCHISE COLLEGE","SIERRA VISTA","AZ","Public 2 Year","6274061","1751"
"107300","EASTERN ARIZONA COLLEGE","THATCHER","AZ","Public 2 Year","5247261","1404"
