"OPEID","PELLID","Name","State","Type & Control","Recipients","Awards"
"991100","9911","UNIVERSITY OF SOUTH CAROLINA REGIONAL CAMPUSES","SC","public 4 year","1295","3223764.6299999999"
"695100","6951","UNIVERSITY OF SOUTH CAROLINA UPSTATE","SC","public 4 year","1726","4532292.96"
"345500","3455","VOORHEES COLLEGE","SC","private 4 year","619","1767587"
"3856400","38564","W. L. BONNER COLLEGE","SC","private 4 year","21","70694"
"932200","9322","WILLIAMSBURG TECHNICAL COLLEGE","SC","public 2 year","512","898630.85999999999"
"345600","3456","WINTHROP UNIVERSITY","SC","public 4 year","1548","4102689"
"345700","3457","WOFFORD COLLEGE","SC","private 4 year","167","464675"
"399600","3996","YORK TECHNICAL COLLEGE","SC","public 2 year","1883","3709120.2200000002"
"345800","3458","AUGUSTANA COLLEGE","SD","private 4 year","399","960644"
"492900","4929","AVERA MCKENNAN HOSPITAL","SD","private 2 year","4","10600"
"2137100","14945","BLACK HILLS BEAUTY COLLEGE","SD","proprietary","63","169118"
"345900","3459","BLACK HILLS STATE UNIVERSITY","SD","public 4 year","1232","3010108.2200000002"
"346300","3463","DAKOTA STATE UNIVERSITY","SD","public 4 year","527","1275323.6599999999"
"346100","3461","DAKOTA WESLEYAN UNIVERSITY","SD","private 4 year","437","1133328.1000000001"
"2297800","16231","HEADLINES ACADEMY","SD","proprietary","57","129164.48"
"2144600","15000","KILIAN COMMUNITY COLLEGE","SD","private 2 year","513","856758"
"530900","5309","LAKE AREA TECHNICAL INSTITUTE","SD","public 2 year","459","1165583"
"828400","8284","MITCHELL TECHNICAL INSTITUTE","SD","public 2 year","382","969734"
"346500","3465","MOUNT MARTY COLLEGE","SD","private 4 year","434","1157608.8899999999"
"405700","4057","NATIONAL AMERICAN UNIVERSITY","SD","proprietary","2685","5198877.7699999996"
"346600","3466","NORTHERN STATE UNIVERSITY","SD","public 4 year","764","1952794.8500000001"
"1465900","14659","OGLALA LAKOTA COLLEGE-","SD","public 4 year","925","2268504"
"346700","3467","PRESENTATION COLLEGE","SD","private 4 year","402","965629"
"598700","5987","SACRED HEART HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY","SD","private 2 year","6","15650"
"2143700","14303","SINTE GLESKA UNIVERSITY","SD","public 4 year","584","1486060"
"1147700","11477","SIOUX VALLEY HOSPITAL","SD","private 2 year","3","11250"
"2277300","16080","SISSETON WAHPETON COMMUNITY COLLEGE","SD","public 2 year","137","283823"
"347000","3470","SOUTH DAKOTA SCHOOL OF MINES AND TECHNOLOGY","SD","public 4 year","464","1160066.5700000001"
"347100","3471","SOUTH DAKOTA STATE UNIVERSITY","SD","public 4 year","2462","6076498.1100000003"
"776400","8285","SOUTHEAST TECHNICAL INSTITUTE","SD","public 2 year","849","1798998"
"1013800","10138","STEWART SCHOOL","SD","proprietary","65","171672"
"346900","3469","UNIVERSITY OF SIOUX FALLS","SD","private 4 year","379","882536"
"347400","3474","UNIVERSITY OF SOUTH DAKOTA","SD","public 4 year","1874","4405643.0700000003"
"1017000","10170","WESTERN DAKOTA TECHNICAL INSTITUTE","SD","public 2 year","581","1288903.0900000001"
"1046000","10460","AMERICAN BAPTIST THEOLOGICAL SEMINARY","TN","private 4 year","60","164604"
"347700","3477","AQUINAS COLLEGE","TN","private 4 year","336","624475.65000000002"
"2257400","15937","ARNOLD'S BEAUTY SCHOOL","TN","proprietary","67","131921.95000000001"
"347800","3478","AUSTIN PEAY STATE UNIVERSITY","TN","public 4 year","3764","9405883.6699999999"
"3440300","34403","BAPTIST MEMORIAL COLLEGE OF HEALTH SCIENCES","TN","private 4 year","304","809837.06000000006"
"347900","3479","BELMONT UNIVERSITY","TN","private 4 year","556","1356705.8600000001"
"348000","3480","BETHEL COLLEGE","TN","private 4 year","965","2333934"
"353600","3536","BRYAN COLLEGE","TN","private 4 year","261","608503.09999999998"
"3930300","39303","BUCHANAN BEAUTY COLLEGE","TN","proprietary","38","88980"
"3841300","38413","CAREER BEAUTY COLLEGE","TN","proprietary","34","99940"
"348100","3481","CARSON - NEWMAN COLLEGE","TN","private 4 year","607","1644486.9199999999"
"399800","3998","CHATTANOOGA STATE TECHNICAL COMMUNITY COLLEGE","TN","public 2 year","3452","7355405.4699999997"
"348200","3482","CHRISTIAN BROTHERS UNIVERSITY","TN","private 4 year","537","1377161"
"399900","3999","CLEVELAND STATE COMMUNITY COLLEGE","TN","public 2 year","1096","2441477.7999999998"
"348300","3483","COLUMBIA STATE COMMUNITY COLLEGE","TN","public 2 year","1631","3408529.8500000001"
"2157100","15510","CONCORDE CAREER COLLEGE","TN","proprietary","1859","3996559"
"998200","9982","CRICHTON COLLEGE","TN","private 4 year","417","921640.84999999998"
"348500","3485","CUMBERLAND UNIVERSITY","TN","private 4 year","388","1109304.28"
"348600","3486","DAVID LIPSCOMB UNIVERSITY","TN","private 4 year","376","921660"
"493400","4934","DRAUGHONS JUNIOR COLLEGE","TN","proprietary","2734","6223182"
"3683300","36833","DUDLEY NWANI THE SCHOOL","TN","proprietary","178","530462.20999999996"
