"PELLID","OPEID","GAPSID","Name","State","Type & Control","Recipients","Awards"
"39273","3927300","5699","BRIO ACADEMY OF COSMETOLOGY  -  NIANTIC","CT","Proprietary","98","252488.53"
"10417","1041700","3340","BRIO ACADEMY OF EAST HARTFORD","CT","Proprietary","162","412132.62"
"11496","1149600","3443","BULLARD - HAVENS TECHNICAL HIGH SCHOOL","CT","Public 2 year","16","37654.5"
"14742","2115100","3760","BUTLER BUSINESS SCHOOL","CT","Proprietary","323","764394.66000000003"
"7635","763500","2976","CAPITAL COMMUNITY COLLEGE","CT","Public 2 year","2305","5344137.6100000003"
"1378","137800","64","CENTRAL CONNECTICUT STATE UNIVERSITY","CT","Public 4 year","1954","5805761"
"32343","3234300","4880","CHARTER OAK STATE COLLEGE","CT","Public 4 year","251","460072"
"40533","4053300","5864","CLEMENS COLLEGE","CT","Proprietary","34","103746.5"
"23166","2316600","784","CONNECTICUT CENTER FOR MASSAGE THERAPY","CT","Proprietary","238","341623.62"
"1379","137900","1213","CONNECTICUT COLLEGE","CT","Private 4 Year","161","553156"
"33163","3316300","4921","CONNECTICUT CULINARY INSTITUTE","CT","Proprietary","364","1096957.9199999999"
"15059","2148700","3826","CONNECTICUT INSTITUTE OF HAIR DESIGN","CT","Proprietary","42","116742"
"33813","3381300","4949","CONNECTICUT TRAINING CENTER","CT","Private 2 Year","314","674387"
"15834","927700","3176","E C GOODWIN TECHNICAL HIGH SCHOOL","CT","Public 2 year","17","47980"
"1425","142500","1231","EASTERN CONNECTICUT STATE UNIVERSITY","CT","Public 4 year","978","2932899"
"13514","730000","2916","ELI WHITNEY TECHNICAL HIGH SCHOOL","CT","Public 2 year","31","101383.5"
"1385","138500","1215","FAIRFIELD UNIVERSITY","CT","Private 4 Year","401","1332366"
"14645","2106600","689","FOX INSTITUTE OF BUSINESS","CT","Proprietary","607","1545265"
"6981","803700","3033","GATEWAY COMMUNITY COLLEGE","CT","Public 2 year","2214","5271168.2800000003"
"12877","1287700","3583","GIBBS COLLEGE","CT","Proprietary","214","643696.82999999996"
"15833","2244900","743","GOODWIN COLLEGE","CT","Private 4 Year","1221","3067149.7599999998"
"9065","906500","3143","HARTFORD SCHOOL OF MUSIC (THE)-","CT","Private 2 Year","16","44591.5"
"13265","2058900","3655","HARVARD H ELLIS TECHNICAL HIGH SCHOOL","CT","Public 2 year","1","1481"
"13264","1326400","3638","HENRY ABBOTT TECHNICAL HIGH SCHOOL","CT","Public 2 year","24","41069"
