"PELLID","OPEID","GAPSID","Name","State","Type & Control","Recipients","Awards"
"41386","4138600","6336","ALASKA CHRISTIAN COLLEGE","AK","Private 2 Year","17","69272"
"1061","106100","1060","ALASKA PACIFIC UNIVERSITY","AK","Private 4 Year","134","385254.46000000002"
"31603","3160300","4845","ALASKA VOCATIONAL TECHNICAL CENTER","AK","Public 2 year","86","225558.79999999999"
"17066","2541000","4372","CAREER ACADEMY","AK","Proprietary","345","998016.17000000004"
"17377","2576900","867","CHARTER COLLEGE","AK","Proprietary","826","1918719.6200000001"
"34613","3461300","5010","ILISAGVIK COLLEGE","AK","Public 2 year","28","71312"
"11462","1146200","3439","UNIVERSITY OF ALASKA - ANCHORAGE","AK","Public 4 year","2625","6917426.9500000002"
"1063","106300","10","UNIVERSITY OF ALASKA FAIRBANKS","AK","Public 4 year","1237","3438245"
"1065","106500","1061","UNIVERSITY OF ALASKA SOUTHEAST","AK","Public 4 year","322","768722"
"1002","100200","1027","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","AL","Public 4 year","3041","10233917"
"1034","103400","1048","ALABAMA SOUTHERN COMMUNITY COLLEGE","AL","Public 2 year","908","2494920.1800000002"
"30325","3032500","4605","ALABAMA STATE COLLEGE OF BARBER STYLING","AL","Proprietary","17","61503"
"1005","100500","1031","ALABAMA STATE UNIVERSITY","AL","Public 4 year","3794","13045160"
"16885","2503400","4296","AMRIDGE UNIVERSITY","AL","Private 4 Year","233","620796"
"1008","100800","2","ATHENS STATE UNIVERSITY","AL","Public 4 year","1176","3285554"
"1009","100900","3","AUBURN UNIVERSITY","AL","Public 4 year","2793","9062149"
"8310","831000","3070","AUBURN UNIVERSITY MONTGOMERY","AL","Public 4 year","1576","4676141"
"5733","573300","2775","BEVILL STATE COMMUNITY COLLEGE","AL","Public 2 year","2965","8126371.2300000004"
"1012","101200","1033","BIRMINGHAM SOUTHERN COLLEGE","AL","Private 4 Year","245","848081.12"
"1030","103000","1045","BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS","AL","Public 2 year","1075","1972487"
"37833","3783300","5527","BLUE CLIFF CAREER COLLEGE","AL","Proprietary","167","451180.31"
"1007","100700","1032","CENTRAL ALABAMA COMMUNITY COLLEGE","AL","Public 2 year","1512","4284210.4199999999"
"12182","1218200","3515","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","AL","Public 2 year","1169","3322374.6899999999"
"41215","4121500","6241","COLUMBIA SOUTHERN UNIVERSITY","AL","Proprietary","771","1704169"
"10554","1055400","3357","CONCORDIA COLLEGE","AL","Private 4 Year","613","2042379.5900000001"
"1015","101500","1034","ENTERPRISE-OZARK COMMUNITY COLLEGE","AL","Public 2 year","1104","3076164.79"
"1060","106000","1059","FAULKNER STATE COMMUNITY COLLEGE","AL","Public 2 year","1918","4997756"
"1003","100300","5082","FAULKNER UNIVERSITY","AL","Private 4 Year","1857","5762612"
"33614","3361400","1011","FORTIS COLLEGE","AL","Proprietary","331","802116.93000000005"
"16592","2341000","4227","FORTIS COLLEGE","AL","Proprietary","1397","3615256.1099999999"
"1017","101700","1036","GADSDEN STATE COMMUNITY COLLEGE","AL","Public 2 year","3579","9975018.0700000003"
"1018","101800","1037","GEORGE C. WALLACE COMMUNITY COLLEGE","AL","Public 2 year","2372","5311478.3499999996"
"7871","787100","3013","GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS","AL","Public 2 year","2915","8481169.6799999997"
"9980","569900","2770","GEORGE CORLEY WALLACE STATE COMMUNITY COLLEGE-CLANTON EXTENTION","AL","Public 2 year","1695","5144865.7699999996"
"5734","573400","2776","H. COUNCILL TRENHOLM STATE TECHNICAL COLLEGE","AL","Public 2 year","1119","2402258.0800000001"
"15370","2199700","3933","HERITAGE CHRISTIAN UNIVERSITY","AL","Private 4 Year","35","95957"
"10193","1019300","599","HERZING UNIVERSITY","AL","Proprietary","376","1046604"
"1019","101900","1038","HUNTINGDON COLLEGE","AL","Private 4 Year","337","1037772.14"
"38943","3894300","5888","HUNTSVILLE BIBLE COLLEGE","AL","Private 4 Year","17","44104"
"5260","526000","2617","J F DRAKE STATE TECHNICAL COLLEGE","AL","Public 2 year","859","2394644.1600000001"
"1020","102000","5","JACKSONVILLE STATE UNIVERSITY","AL","Public 4 year","3261","10554135.93"
"1021","102100","1039","JEFFERSON DAVIS COMMUNITY COLLEGE","AL","Public 2 year","805","2156359.7400000002"
"1022","102200","6","JEFFERSON STATE COMMUNITY COLLEGE","AL","Public 2 year","2088","5071558"
"1013","101300","4","JOHN C CALHOUN STATE COMMUNITY COLLEGE","AL","Public 2 year","3720","9377510.0099999998"
"1023","102300","1040","JUDSON COLLEGE","AL","Private 4 Year","133","409419.34000000003"
"1059","105900","1058","LAWSON STATE COMMUNITY COLLEGE","AL","Public 2 year","2659","7578114.25"
"8988","898800","3137","LURLEEN B. WALLACE COMMUNITY COLLEGE","AL","Public 2 year","1117","3394556.73"
"1026","102600","1042","MARION MILITARY INSTITUTE","AL","Public 2 year","160","545868.42000000004"
"1028","102800","1043","MILES COLLEGE","AL","Private 4 Year","1611","5673444.1100000003"
"41165","4116500","5962","MIMI'S BEAUTY ACADEMY OF COSMETOLOGY","AL","Proprietary","21","55541.800000000003"
"1031","103100","1046","NORTHEAST ALABAMA COMMUNITY COLLEGE","AL","Public 2 year","1985","5546599.4000000004"
"5697","569700","2768","NORTHWEST - SHOALS COMMUNITY COLLEGE","AL","Public 2 year","2041","5714387.0999999996"
"1033","103300","1047","OAKWOOD COLLEGE","AL","Private 4 Year","781","2703504.3799999999"
"16217","2296000","4132","PRINCE INSTITUTE OF PROFESSIONAL STUDIES","AL","Proprietary","63","169152.75"
"5692","569200","2766","REID STATE TECHNICAL COLLEGE","AL","Public 2 year","524","1083789"
"26055","2605500","896","REMINGTON COLLEGE - MOBILE CAMPUS","AL","Proprietary","3654","9849607"
"1036","103600","1049","SAMFORD UNIVERSITY","AL","Private 4 Year","327","1002452.46"
"40673","4067300","6093","SELMA UNIVERSITY","AL","Private 4 Year","68","155351.5"
"5691","569100","2765","SHELTON STATE COMMUNITY COLLEGE","AL","Public 2 year","2638","7427118"
"1038","103800","1050","SNEAD STATE COMMUNITY COLLEGE","AL","Public 2 year","1194","3503963.02"
"13857","2270400","4072","SOUTHEASTERN BIBLE COLLEGE","AL","Private 4 Year","99","303208"
"34593","3459300","5008","SOUTHEASTERN SCHOOL OF COSMETOLOGY","AL","Private 2 Year","150","568906"
"1040","104000","1051","SOUTHERN UNION STATE COMMUNITY COLLEGE","AL","Public 2 year","1965","5958855.4400000004"
"1041","104100","1052","SPRING HILL COLLEGE","AL","Private 4 Year","374","1242817.6299999999"
"1044","104400","1053","STILLMAN COLLEGE","AL","Private 4 Year","823","2957731.0699999998"
"1046","104600","1054","TALLADEGA COLLEGE","AL","Private 4 Year","440","1633715.46"
"1047","104700","1055","TROY UNIVERSITY","AL","Public 4 year","8873","25876488.010000002"
"1050","105000","1056","TUSKEGEE UNIVERSITY","AL","Private 4 Year","1305","4712709.7699999996"
"21706","2170600","5633","UNITED STATES SPORTS ACADEMY","AL","Private 4 Year","67","160121"
"1051","105100","7","UNIVERSITY OF ALABAMA","AL","Public 4 year","4216","13919579.5"
"1052","105200","8","UNIVERSITY OF ALABAMA AT BIRMINGHAM","AL","Public 4 year","2895","9444165"
"1055","105500","9","UNIVERSITY OF ALABAMA IN HUNTSVILLE","AL","Public 4 year","1690","4827269"
"1029","102900","1044","UNIVERSITY OF MOBILE","AL","Private 4 Year","608","1879253"
"1004","100400","1","UNIVERSITY OF MONTEVALLO","AL","Public 4 year","805","2712966"
"1016","101600","1035","UNIVERSITY OF NORTH ALABAMA","AL","Public 4 year","1776","5737808.1100000003"
"1057","105700","1057","UNIVERSITY OF SOUTH ALABAMA","AL","Public 4 year","3258","10008050.93"
"1024","102400","1041","UNIVERSITY OF WEST ALABAMA","AL","Public 4 year","1160","3762854.0299999998"
"30106","3010600","920","VIRGINIA COLLEGE","AL","Proprietary","18516","50369017.079999998"
"41492","4149200","6373","XCELL ACADEMY-A PAUL MITCHELL PARTNER SCHOOL","AL","Proprietary","17","55432"
"30651","3065100","954","ABC BEAUTY COLLEGE","AR","Proprietary","60","182267"
"1087","108700","1073","ARKANSAS BAPTIST COLLEGE","AR","Private 4 Year","606","1980814"
"39973","3997300","5762","ARKANSAS BEAUTY COLLEGE","AR","Proprietary","33","93296"
"30051","3005100","4543","ARKANSAS BEAUTY SCHOOL","AR","Proprietary","67","192113"
"30076","3007600","4548","ARKANSAS BEAUTY SCHOOL/CONWAY","AR","Proprietary","62","173753"
"30234","3023400","4574","ARKANSAS COLLEGE OF BARBERING & HAIR DESIGN","AR","Proprietary","152","496493"
"12860","1286000","3580","ARKANSAS NORTHEASTERN COLLEGE","AR","Public 2 year","977","2543119.6800000002"
"1090","109000","1076","ARKANSAS STATE UNIVERSITY","AR","Public 4 year","6028","19041417"
"1091","109100","5480","ARKANSAS STATE UNIVERSITY - BEEBE","AR","Public 2 year","1366","3976505.9500000002"
"1089","108900","1075","ARKANSAS TECH UNIVERSITY","AR","Public 4 year","3089","9764323"
"15099","2363500","4273","ARTHUR'S BEAUTY COLLEGE","AR","Proprietary","38","102856"
"17020","2538500","4366","ARTHUR'S BEAUTY COLLEGE","AR","Proprietary","153","403987"
"31272","3127200","4815","ASKINS VO TECH","AR","Proprietary","16","27866"
"31052","3105200","4746","BAPTIST HEALTH SCHOOLS LITTLE ROCK","AR","Private 2 Year","385","1054238.4299999999"
"14554","2260400","4051","BEE JAY'S HAIRSTYLING ACADEMY","AR","Proprietary","46","131207"
"11948","2052200","3641","BLACK RIVER TECHNICAL COLLEGE","AR","Public 2 year","1240","3601651"
"16596","2341700","4229","CAREER ACADEMY OF HAIR DESIGN","AR","Proprietary","102","294948"
"1093","109300","1077","CENTRAL BAPTIST COLLEGE","AR","Private 4 Year","222","719539"
"12432","2220900","3978","COSSATOT COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS","AR","Public 2 year","638","1915239.75"
"39123","3912300","5715","CROSSETT SCHOOL OF COSMETOLOGY","AR","Proprietary","28","79132"
"1095","109500","1079","CROWLEY'S RIDGE COLLEGE","AR","Private 4 Year","87","260517.01999999999"
"13583","704400","2884","CROWLEY'S RIDGE TECHNICAL INSTITUTE","AR","Public 2 year","237","657392.12"
"31168","3116800","4786","DELUXE BEAUTY SCHOOL","AR","Proprietary","7","19386"
"12260","1226000","649","EAST ARKANSAS COMMUNITY COLLEGE","AR","Public 2 year","815","2452191.8599999999"
"16041","2272400","4076","EASTERN COLLEGE OF HEALTH VOCATIONS","AR","Proprietary","731","1707629"
"38553","3855300","5650","ECCLESIA COLLEGE","AR","Private 4 Year","38","111082"
"1097","109700","1080","HARDING UNIVERSITY","AR","Private 4 Year","1052","3424925.8300000001"
"1098","109800","1081","HENDERSON STATE UNIVERSITY","AR","Public 4 year","1415","4741396.75"
"1099","109900","1082","HENDRIX COLLEGE","AR","Private 4 Year","229","780676"
"30071","3007100","4545","HOT SPRINGS BEAUTY COLLEGE","AR","Proprietary","61","185313"
"31249","3124900","4802","IMAGINE -  PAUL MITCHELL PARTNER SCHOOL","AR","Proprietary","81","230703.39000000001"
"1100","110000","1083","JOHN BROWN UNIVERSITY","AR","Private 4 Year","461","1376976.27"
"16498","2330800","4199","JRMC SCHOOL OF NURSING","AR","Private 2 Year","48","119247"
"16925","2525800","4342","LEES SCHOOL OF COSMETOLOGY","AR","Proprietary","28","85339"
"35194","3519400","5502","LYNNDALE FUNDAMENTALS OF BEAUTY SCHOOL","AR","Proprietary","21","59755"
"1088","108800","1074","LYON COLLEGE","AR","Private 4 Year","149","474154"
"32543","3254300","4891","MARGARET'S HAIR ACADEMY","AR","Proprietary","59","190292"
"16123","2287400","4112","MARSHA KAY BEAUTY COLLEGE","AR","Proprietary","27","81330"
"10741","1074100","3378","MELLIE'S BEAUTY COLLEGE","AR","Proprietary","94","283853"
"15862","2348200","4240","MID-SOUTH COMMUNITY COLLEGE","AR","Public 2 year","1214","2707333.7799999998"
"12105","1210500","3508","NATIONAL PARK COMMUNITY COLLEGE","AR","Public 2 year","1812","5156016.2800000003"
"16053","2284200","4103","NEW TYLER BARBER COLLEGE","AR","Proprietary","77","242316.17999999999"
"12261","1226100","3519","NORTH ARKANSAS COLLEGE","AR","Public 2 year","1335","3996175"
"30633","3063300","4630","NORTHWEST ARKANSAS COMMUNITY COLLEGE","AR","Public 2 year","2165","5404945.46"
"14044","2073700","3691","NORTHWEST TECHNICAL INSTITUTE","AR","Public 2 year","119","237279.78"
"1102","110200","1085","OUACHITA BAPTIST UNIVERSITY","AR","Private 4 Year","314","1052412"
"9976","997600","3275","OUACHITA TECHNICAL COLLEGE","AR","Public 2 year","557","1525310"
"13217","2087000","3713","OZARKA COLLEGE","AR","Public 2 year","952","2920943.54"
"8070","792100","5256","PAUL MITCHELL THE SCHOOL ARKANSAS","AR","Proprietary","58","116135"
"1103","110300","14","PHILANDER SMITH COLLEGE","AR","Private 4 Year","457","1599485"
"1104","110400","1086","PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS","AR","Public 2 year","1019","2934586.0899999999"
"15585","2202400","3941","PROFESSIONAL COSMETOLOGY EDUCATION CENTER","AR","Proprietary","29","97414.649999999994"
"14167","2075300","3698","PULASKI TECHNICAL COLLEGE","AR","Public 2 year","5893","16826107.190000001"
"12435","2111100","3753","RICH MOUNTAIN COMMUNITY COLLEGE","AR","Public 2 year","435","1207733"
"17262","2569600","4437","SEARCY BEAUTY COLLEGE","AR","Proprietary","57","152138"
"13858","2074600","3695","SOUTH ARKANSAS COMMUNITY COLLEGE","AR","Public 2 year","900","2659434.9500000002"
"14893","570700","2773","SOUTHEAST ARKANSAS COLLEGE","AR","Public 2 year","1303","3680140.71"
"1107","110700","1087","SOUTHERN ARKANSAS UNIVERSITY","AR","Public 4 year","1369","4716340.8600000003"
"7738","773800","2997","SOUTHERN ARKANSAS UNIVERSITY TECHNICAL","AR","Public 2 year","489","1487180.21"
"1108","110800","1088","UNIVERSITY OF ARKANSAS","AR","Public 4 year","3098","9770040.8100000005"
"1110","111000","1090","UNIVERSITY OF ARKANSAS AT FORT SMITH","AR","Public 4 year","3012","8686367.4399999995"
"1101","110100","1084","UNIVERSITY OF ARKANSAS AT LITTLE ROCK","AR","Public 4 year","3646","10676808.859999999"
"1085","108500","1071","UNIVERSITY OF ARKANSAS AT MONTICELLO","AR","Public 4 year","1916","5936052.8099999996"
"1086","108600","1072","UNIVERSITY OF ARKANSAS AT PINE BLUFF","AR","Public 4 year","2438","8688906.2699999996"
"14042","2073500","3689","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILLE","AR","Public 2 year","1032","3004659.3900000001"
"5732","573200","2774","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE","AR","Public 2 year","891","2573086"
"5245","524500","2608","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON","AR","Public 2 year","1160","3171128.79"
"1109","110900","1089","UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES","AR","Public 4 year","292","967858.13"
"1092","109200","13","UNIVERSITY OF CENTRAL ARKANSAS","AR","Public 4 year","3526","11373365.4"
"1094","109400","1078","UNIVERSITY OF THE OZARKS","AR","Private 4 Year","206","700869.12"
"32143","3214300","4874","VELVATEX COLLEGE OF BEAUTY CULTURE","AR","Proprietary","20","67629"
"1106","110600","15","WILLIAMS BAPTIST COLLEGE","AR","Private 4 Year","270","865613"
"10010","1001000","5393","AMERICAN SAMOA COMMUNITY COLLEGE","AS","Public 2 year","1596","4929007.4000000004"
"15550","2199900","3934","AMERICAN INDIAN COLLEGE OF THE ASSEMBLIES OF GOD","AZ","Private 4 Year","78","276428.81"
"16405","2317800","4178","AMERICAN INSTITUTE OF TECHNOLOGY","AZ","Proprietary","749","1555139.3799999999"
"15988","2263100","753","ANTHEM COLLEGE","AZ","Proprietary","2916","7741288.1500000004"
"14550","2100600","684","APOLLO COLLEGE","AZ","Proprietary","4954","13971738.140000001"
"8864","886400","558","ARIZONA ACADEMY OF BEAUTY","AZ","Proprietary","45","117902.05"
"11802","1180200","635","ARIZONA ACADEMY OF BEAUTY - NORTH","AZ","Proprietary","73","208829.67999999999"
"10847","1084700","3389","ARIZONA AUTOMOTIVE INSTITUTE","AZ","Proprietary","1151","3159490.1200000001"
"31150","3115000","4775","ARIZONA COLLEGE OF ALLIED HEALTH","AZ","Proprietary","460","1041866"
"41209","4120900","5910","ARIZONA CULINARY INSTITUTE","AZ","Proprietary","74","206183.17999999999"
"36955","3695500","6285","ARIZONA SCHOOL OF ACUPUNCTURE AND ORIENTAL MEDICINE","AZ","Proprietary","1","3670"
"1081","108100","11","ARIZONA STATE UNIVERSITY","AZ","Public 4 year","13453","42373119"
"1071","107100","1062","ARIZONA WESTERN COLLEGE","AZ","Public 2 year","4219","11161963.689999999"
"16730","2491500","823","ART CENTER DESIGN COLLEGE (THE)","AZ","Proprietary","367","1073725"
"40513","4051300","5834","ART INSTITUTE OF PHOENIX (THE)","AZ","Proprietary","758","2077708.6200000001"
"37405","3740500","5452","ART INSTITUTE OF TUCSON (THE)","AZ","Proprietary","169","429195.47999999998"
"15681","2218800","736","BROOKLINE COLLEGE","AZ","Proprietary","2385","6866070"
"9451","945100","574","BROWN MACKIE COLLEGE","AZ","Proprietary","2576","6806873.9500000002"
"30764","3076400","967","BRYMAN SCHOOL OF ARIZONA (THE)","AZ","Proprietary","4017","10150577"
"30978","3097800","4710","CARSTEN AVEDA INSTITUTE","AZ","Proprietary","119","319059.44"
"7283","728300","2910","CENTRAL ARIZONA COLLEGE","AZ","Public 2 year","1973","5072965"
"30722","3072200","964","CHANDLER-GILBERT COMMUNITY COLLEGE","AZ","Public 2 year","1449","3428779"
"16098","2280500","4097","CHARLES OF ITALY BEAUTY COLLEGE","AZ","Proprietary","89","283737"
"1072","107200","1063","COCHISE COLLEGE","AZ","Public 2 year","1692","4492588.0499999998"
"31004","3100400","4719","COCONINO COUNTY COMTY COLLEGE-FLAGSTAFF LONE TREE CAMPUS","AZ","Public 2 year","920","2176866"
"31203","3120300","4788","COLLEGE AMERICA - FLAGSTAFF","AZ","Proprietary","491","1500911.24"
"15333","2174900","3880","COLLINS COLLEGE","AZ","Proprietary","899","2754619.8799999999"
"30344","3034400","942","CONSERVATORY OF RECORDING ARTS & SCIENCES","AZ","Proprietary","340","948858.62"
"26238","2623800","4530","CORTIVA INSTITUTE - SCOTTSDALE","AZ","Proprietary","96","174246.29999999999"
"25827","2582700","872","CORTIVA INSTITUTE - TUCSON","AZ","Proprietary","129","263018"
"8246","824600","3060","DINE COLLEGE","AZ","Public 4 year","1129","3470963.9900000002"
"10858","1085800","3391","EARL'S ACADEMY OF BEAUTY","AZ","Proprietary","255","660552.5"
"35723","3572300","5060","EAST VALLEY INSTITUTE OF TECHNOLOGY","AZ","Public 2 year","26","67724"
"1073","107300","1064","EASTERN ARIZONA COLLEGE","AZ","Public 2 year","1052","2894241"
"31563","3156300","4842","ESTRELLA MOUNTAIN COMMUNITY COLLEGE","AZ","Public 2 year","2054","4618223.5199999996"
"16203","2295000","769","EVEREST COLLEGE","AZ","Proprietary","5870","13975832"
"8303","830300","3067","GATEWAY COMMUNITY COLLEGE","AZ","Public 2 year","1882","3907269"
"1076","107600","1066","GLENDALE COMMUNITY COLLEGE","AZ","Public 2 year","4243","10095265.42"
"1074","107400","1065","GRAND CANYON UNIVERSITY","AZ","Proprietary","8857","19014349.289999999"
"34453","3445300","4995","HDS TRUCK DRIVING INSTITUTE","AZ","Proprietary","97","331932"
"14283","1218400","648","INTERNATIONAL ACADEMY OF HAIR DESIGN","AZ","Proprietary","138","387818"
"33473","3347300","4937","INTERNATIONAL BAPTIST COLLEGE","AZ","Private 4 Year","32","99322"
"13884","2071200","5154","KAPLAN COLLEGE","AZ","Proprietary","557","1604064"
"5186","2521500","4333","LAMSON COLLEGE","AZ","Proprietary","557","1585965.9399999999"
"15491","2192300","3921","MARICOPA BEAUTY COLLEGE","AZ","Proprietary","58","183939"
"1077","107700","1067","MESA COMMUNITY COLLEGE","AZ","Public 2 year","5344","13101916.5"
"41388","4138800","6319","MODERN TECHNIQUES BEAUTY COLLEGE","AZ","Proprietary","14","45105"
"11864","1186400","3483","MOHAVE COMMUNITY COLLEGE","AZ","Public 2 year","3367","7556686"
"1082","108200","12","NORTHERN ARIZONA UNIVERSITY","AZ","Public 4 year","5041","15826699"
"11862","1186200","3482","NORTHLAND PIONEER COLLEGE","AZ","Public 2 year","965","2209157.6099999999"
"26236","2623600","912","PARADISE VALLEY COMMUNITY COLLEGE","AZ","Public 2 year","1584","3772351.5"
"1078","107800","1068","PHOENIX COLLEGE","AZ","Public 2 year","3124","6706975"
"7266","726600","512","PIMA COUNTY COMMUNITY COLLEGE","AZ","Public 2 year","7883","18946795.75"
"15666","2217100","3966","PIMA MEDICAL INSTITUTE","AZ","Proprietary","5771","17508241.210000001"
"13659","2065300","3669","PRESCOTT COLLEGE","AZ","Private 4 Year","341","994538"
"14483","2177500","3887","RIO SALADO COMMUNITY COLLEGE","AZ","Public 2 year","4114","7893529.8200000003"
"14740","2113800","3758","ROBERTO-VENN SCHOOL OF LUTHIERY","AZ","Proprietary","10","27069"
"30050","3005000","4542","SAFFORD COLLEGE OF BEAUTY CULTURE","AZ","Proprietary","54","194202"
"8304","830400","3068","SCOTTSDALE COMMUNITY COLLEGE","AZ","Public 2 year","1413","3330138"
"26167","2616700","4518","SCOTTSDALE CULINARY INSTITUTE","AZ","Proprietary","984","3255106.4500000002"
"15001","2146600","3821","SOUTH MOUNTAIN COMMUNITY COLLEGE","AZ","Public 2 year","1683","3963065.2999999998"
"35933","3593300","5357","SOUTHWEST INSTITUTE OF HEALING ARTS","AZ","Proprietary","196","533999"
"7113","711300","2893","SOUTHWESTERN COLLEGE","AZ","Private 4 Year","139","423622"
"41529","4152900","6463","STUDIO ACADEMY OF BEAUTY (THE)","AZ","Proprietary","6","13921"
"14127","1168900","3462","THE REFRIGERATION SCHOOL","AZ","Proprietary","438","1330245.26"
"37844","3784400","5518","TOHONO O'ODHAM COMMUNITY COLLEGE","AZ","Public 2 year","74","173087"
"25619","2561900","862","TONI AND GUY HAIRDRESSING ACADEMY","AZ","Proprietary","142","430518.77000000002"
"14212","446700","2507","TUCSON COLLEGE","AZ","Proprietary","612","1749569.99"
"40593","4059300","5825","TUCSON COLLEGE OF BEAUTY","AZ","Proprietary","61","170885"
"38143","3814300","5591","TURNING POINT BEAUTY COLLEGE","AZ","Proprietary","47","128560.33"
"8221","822100","3057","UNIVERSAL TECHNICAL INSTITUTE","AZ","Proprietary","4998","15063370.85"
"14518","2100500","3733","UNIVERSAL TECHNICAL INSTITUTE","AZ","Proprietary","5098","15426256.18"
"17188","2559000","4415","UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY","AZ","Proprietary","401","1270127.3700000001"
"1083","108300","1070","UNIVERSITY OF ARIZONA (THE)","AZ","Public 4 year","6839","22835957.41"
"14593","2098800","3726","UNIVERSITY OF PHOENIX","AZ","Proprietary","243314","655691246.58000004"
"14970","2171500","3872","WESTERN INTERNATIONAL UNIVERSITY","AZ","Proprietary","635","1449561.29"
"1079","107900","1069","YAVAPAI COLLEGE","AZ","Public 2 year","1725","4038682"
"31505","3150500","997","A - TECHNICAL COLLEGE","CA","Proprietary","82","277244"
"7531","753100","526","ACADEMY OF ART UNIVERSITY","CA","Proprietary","3874","9524217"
"41093","4109300","5869","ACADEMY OF BARBERING ARTS (THE)","CA","Proprietary","155","459365"
"41324","4132400","6274","ACADEMY OF ESTHETICS AND COSMETOLOGY","CA","Proprietary","10","39889"
"23424","2342400","4230","ACADEMY OF RADIO & TV BROADCASTING","CA","Proprietary","107","262590.46999999997"
"33274","3327400","5763","ACUPUNCTURE AND INTEGRATIVE MEDICINE COLLEGE, BERKELEY","CA","Private 4 Year","5","15106"
"30199","3019900","929","ADELANTE CAREER INSTITUTE","CA","Proprietary","110","298854"
"16897","2520400","4330","ADRIANS BEAUTY COLLEGE OF TURLOCK","CA","Proprietary","193","625984.43000000005"
"37363","3736300","5458","ADVANCE BEAUTY COLLEGE","CA","Proprietary","317","925762"
"37863","3786300","5546","ADVANCED COLLEGE","CA","Proprietary","239","703397"
"35324","3532400","5735","ADVANCED TRAINING ASSOCIATES","CA","Proprietary","38","123312.28999999999"
"14046","2258600","4050","ALAMEDA BEAUTY COLLEGE","CA","Proprietary","143","356343.72999999998"
"14260","2282300","4100","ALHAMBRA BEAUTY COLLEGE","CA","Proprietary","162","474350.46000000002"
"1111","111100","1091","ALLAN HANCOCK COLLEGE","CA","Public 2 year","1590","4533620"
"11117","1111700","5318","ALLIANT INTERNATIONAL UNIVERSITY","CA","Private 4 Year","82","249767"
"39696","3969600","5748","AMERICAN AUTO INSTITUTE","CA","Proprietary","96","275888"
"13074","1307400","3620","AMERICAN BEAUTY COLLEGE","CA","Proprietary","78","226803"
"15829","2241800","4013","AMERICAN CAREER COLLEGE","CA","Proprietary","4364","12777116"
"39713","3971300","5781","AMERICAN CAREER COLLEGE","CA","Proprietary","1375","3919201.5"
"31444","3144400","4837","AMERICAN COLLEGE OF HEALTH PROFESSIONS","CA","Proprietary","10","41979"
"14545","2099200","3727","AMERICAN CONSERVATORY THEATER FOUNDATION","CA","Private 4 Year","1","4731"
"39623","3962300","5822","AMERICAN INSTITUTE OF MASSAGE THERAPY","CA","Proprietary","12","26715.560000000001"
"2741","274100","1856","AMERICAN JEWISH UNIVERSITY","CA","Private 4 Year","33","122433.67999999999"
"40713","4071300","5916","AMERICAN PACIFIC COLLEGE","CA","Proprietary","43","61182"
"1232","123200","1149","AMERICAN RIVER COLLEGE","CA","Public 2 year","8586","22369532"
"32253","3225300","1002","AMERICAN UNIVERSITY OF HEALTH SCIENCES","CA","Proprietary","57","171644"
"1113","111300","1092","ANTELOPE VALLEY COLLEGE","CA","Public 2 year","6348","16017432.41"
"1116","111600","1093","ART CENTER COLLEGE OF DESIGN","CA","Private 4 Year","645","2308421.2799999998"
"7236","723600","2905","ART INSTITUTE OF CALIFORNIA - LOS ANGELES (THE)","CA","Proprietary","3513","9855453.5"
"16471","2327600","795","ART INSTITUTE OF CALIFORNIA - SAN DIEGO","CA","Proprietary","1913","5588608.54"
"31254","3125400","4805","ART INSTITUTE OF CALIFORNIA-HOLLYWOOD (THE)","CA","Proprietary","935","2490321.1600000001"
"25956","2595600","4473","ASIAN - AMERICAN INTERNATIONAL BEAUTY COLLEGE","CA","Proprietary","101","309091.96000000002"
"17135","2553500","5285","ASSOCIATED TECHNICAL COLLEGE","CA","Proprietary","279","855725.31999999995"
"13988","902200","5151","ASSOCIATED TECHNICAL COLLEGE","CA","Proprietary","902","2910353.48"
"37404","3740400","5607","ATI COLLEGE","CA","Proprietary","202","680829"
"16894","2519800","836","AVANCE' BEAUTY COLLEGE","CA","Proprietary","92","308971"
"1117","111700","1094","AZUSA PACIFIC UNIVERSITY","CA","Private 4 Year","1044","3319789.0499999998"
"1118","111800","1095","BAKERSFIELD COLLEGE","CA","Public 2 year","10613","27773850"
"30674","3067400","4640","BALDWIN PARK ADULT SCHOOL","CA","Public 2 year","220","574693"
"1119","111900","1096","BARSTOW COMMUNITY COLLEGE","CA","Public 2 year","1439","3454822.1899999999"
"7050","705000","504","BAY VISTA COLLEGE OF BEAUTY","CA","Proprietary","213","685131.54000000004"
"39993","3999300","5895","BEAUMONT ADULT SCHOOL","CA","Public 2 year","83","264805.03999999998"
