"OPEID","NAME","CITY","STATE","Insttype","Recips","Awards"
"884300","ALASKA BIBLE COLLEGE","GLENNALLEN","AK","Private 4 Year","15","64426"
"4138600","ALASKA CHRISTIAN COLLEGE","SOLDOTNA","AK","Private 2 Year","56","200063"
"106100","ALASKA PACIFIC UNIVERSITY","ANCHORAGE","AK","Private 4 Year","157","518522"
"3160300","AVTEC","SEWARD","AK","Public 2 Year","86","337220"
"2541000","CAREER ACADEMY","ANCHORAGE","AK","Proprietary 2 Year","421","1370255"
"2576900","CHARTER COLLEGE","ANCHORAGE","AK","Proprietary 4 Year","3969","13335174"
"3461300","ILISAGVIK COLLEGE","BARROW","AK","Public 2 Year","44","140503"
"1146200","UNIVERSITY OF ALASKA ANCHORAGE","ANCHORAGE","AK","Public 4 Year","5025","16562023"
"106300","UNIVERSITY OF ALASKA FAIRBANKS","FAIRBANKS","AK","Public 4 Year","2222","7331399"
"106500","UNIVERSITY OF ALASKA SOUTHEAST","JUNEAU","AK","Public 4 Year","601","1872920"
"100200","ALABAMA AGRCLTL & MECHL UNIV","NORMAL","AL","Public 4 Year","3149","14289424"
"103400","ALABAMA SOUTHERN COMMUNITY COLLEGE","MONROEVILLE","AL","Public 2 Year","1195","4340788"
"3032500","ALABAMA STATE CLG BARBER STYLING","BIRMINGHAM","AL","Proprietary 2 Year","34","122771"
"100500","ALABAMA STATE UNIVERSITY","MONTGOMERY","AL","Public 4 Year","4233","18201252"
"2503400","AMRIDGE UNIVERSITY","MONTGOMERY","AL","Private 4 Year","333","1120488"
"100800","ATHENS STATE UNIVERSITY","ATHENS","AL","Public 4 Year","1706","6063860"
"100900","AUBURN UNIVERSITY","AUBURN","AL","Public 4 Year","3744","14717078"
"831000","AUBURN UNIVERSITY-MONTGOMERY","MONTGOMERY","AL","Public 4 Year","2055","7420165"
"573300","BEVILL STATE CMTY COLLEGE-WALKER","SUMITON","AL","Public 2 Year","3285","11042212"
"101200","BIRMINGHAM SOUTHERN COLLEGE","BIRMINGHAM","AL","Private 4 Year","283","1150377"
"103000","BISHOP STATE COMMUNITY COLLEGE","MOBILE","AL","Public 2 Year","3317","11792757"
"3783300","BLUE CLIFF CAREER COLLEGE","MOBILE","AL","Proprietary 2 Year","131","452941"
"101300","CALHOUN COMMUNITY COLLEGE","DECATUR","AL","Public 2 Year","6514","21448839"
"4066300","CARDIAC AND VASCULAR INSTITUTE OF ULTRAS","MOBILE","AL","Proprietary 2 Year","42","186891"
"100700","CENTRAL ALABAMA COMMUNITY COLLEGE","ALEXANDER CITY","AL","Public 2 Year","1954","7059539"
"1218200","CHATTAHOOCHEE VALLEY CMTY CLG","PHENIX CITY","AL","Public 2 Year","1329","4770574"
"4121500","COLUMBIA SOUTHERN UNIVERSITY","ORANGE BEACH","AL","Proprietary 4 Year","4422","14684024"
"1055400","CONCORDIA COLLEGE","SELMA","AL","Private 4 Year","741","2983134"
"101500","ENTERPRISE STATE COMMUNITY COLLEGE","ENTERPRISE","AL","Public 2 Year","1752","6656481"
"106000","FAULKNER STATE COMMUNITY COLLEGE","BAY MINETTE","AL","Public 2 Year","3133","11038791"
"100300","FAULKNER UNIVERSITY","MONTGOMERY","AL","Private 4 Year","2193","8574276"
"2341000","FORTIS COLLEGE","MOBILE","AL","Proprietary 2 Year","2222","7857971"
"3361400","FORTIS COLLEGE","FOLEY","AL","Proprietary 2 Year","633","2127690"
"101700","GADSDEN STATE COMMUNITY COLLEGE","GADSDEN","AL","Public 2 Year","5431","18533606"
"101800","GEORGE C WALLACE COMMUNITY COLLEGE","DOTHAN","AL","Public 2 Year","3813","12599291"
"787100","GEORGE C WALLACE STATE CMTY CLG","HANCEVILLE","AL","Public 2 Year","3720","13715670"
"569900","GEORGE C WALLACE STATE CMTY COLLEGE","SELMA","AL","Public 2 Year","2007","7489516"
"573400","H. COUNCILL TRENHOLM STATE TECH COLLEGE","MONTGOMERY","AL","Public 2 Year","1492","5093484"
"4187300","HAIR ACADEMY (THE)","MONTGOMERY","AL","Proprietary 2 Year","36","188475"
"2199700","HERITAGE CHRISTIAN UNIVERSITY","FLORENCE","AL","Private 4 Year","33","109619"
"101900","HUNTINGDON COLLEGE","MONTGOMERY","AL","Private 4 Year","506","2032174"
"3894300","HUNTSVILLE BIBLE COLLEGE","HUNTSVILLE","AL","Private 4 Year","60","213297"
"526000","J.F. DRAKE STATE TECH COLLEGE","HUNTSVILLE","AL","Public 2 Year","1210","3856652"
"102000","JACKSONVILLE STATE UNIVERSITY","JACKSONVILLE","AL","Public 4 Year","4141","16608655"
"102100","JEFFERSON DAVIS COMMUNITY COLLEGE","BREWTON","AL","Public 2 Year","914","2977068"
"102200","JEFFERSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public 2 Year","4394","13899762"
"102300","JUDSON COLLEGE","MARION","AL","Private 4 Year","180","725831"
"105900","LAWSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public 2 Year","3759","13227881"
"105901","LAWSON STATE COMMUNITY COLLEGE - BESSEME","BESSEMER","AL","Public 2 Year","63","210658"
"898800","LURLEEN B WALLACE COMMUNITY COLLEGE","ANDALUSIA","AL","Public 2 Year","1317","4738685"
"102600","MARION MILITARY INSTITUTE","MARION","AL","Public 2 Year","191","802587"
"102800","MILES COLLEGE","FAIRFIELD","AL","Private 4 Year","1568","6904979"
"4187200","NEW BEGINNING COLLEGE OF COSMETOLOGY","ALBERTVILLE","AL","Proprietary 2 Year","66","238338"
"103100","NORTHEAST ALABAMA STATE CMNTY COLG","RAINSVILLE","AL","Public 2 Year","2647","9374294"
"569700","NORTHWEST- SHOALS COMMUNITY COLLEGE","MUSCLE SHOALS","AL","Public 2 Year","2089","7077196"
"569702","NORTHWEST-SHOALS C.C.-PHIL CAMPBELL","PHIL CAMPBELL","AL","Public 2 Year","590","2097294"
"103300","OAKWOOD COLLEGE","HUNTSVILLE","AL","Private 4 Year","1065","4404345"
"2285000","PAUL MITCHELL THE SCHOOL HUNTSVILLE","MADISON","AL","Proprietary 2 Year","95","359794"
"2296000","PRINCE INSTITUTE OF PROFESSIONAL STUDIES","MONTGOMERY","AL","Proprietary 2 Year","117","407935"
"569200","REID STATE TECHNICAL COLLEGE","EVERGREEN","AL","Public 2 Year","650","2075145"
"2605500","REMINGTON COLLEGE - MOBILE CAMPUS","MOBILE","AL","Private 4 Year","4393","16250645"
"103600","SAMFORD UNIVERSITY","BIRMINGHAM","AL","Private 4 Year","468","1811314"
"4067300","SELMA UNIVERSITY","SELMA","AL","Private 4 Year","506","2047611"
"569100","SHELTON STATE COMMUNITY CLG","TUSCALOOSA","AL","Public 2 Year","3640","11790028"
"103800","SNEAD STATE COMMUNITY COLLEGE","BOAZ","AL","Public 2 Year","1672","6126940"
"2270400","SOUTHEASTERN BIBLE COLLEGE","BIRIMINGHAM","AL","Private 4 Year","118","459405"
"3459300","SOUTHEASTERN SCHOOL OF COSMETOLOGY","MIDFIELD","AL","Private 2 Year","175","719476"
"104000","SOUTHERN UNION STATE COMMUNITY CLG","WADLEY","AL","Public 2 Year","2811","10721403"
"104100","SPRING HILL COLLEGE","MOBILE","AL","Private 4 Year","498","2064753"
"104400","STILLMAN COLLEGE","TUSCALOOSA","AL","Private 4 Year","809","3787252"
"104600","TALLADEGA COLLEGE","TALLADEGA","AL","Private 4 Year","543","2403423"
"104700","TROY UNIVERSITY","TROY","AL","Public 4 Year","11185","40484088"
"105000","TUSKEGEE UNIVERSITY","TUSKEGEE","AL","Private 4 Year","1674","7644721"
"2170600","UNITED STATES SPORTS ACADEMY","DAPHNE","AL","Private 4 Year","118","351693"
"4197500","UNIVERSITY ACADEMY OF HAIR DESIGN","NORTHPORT","AL","Proprietary 2 Year","6","19720"
"105100","UNIVERSITY OF ALABAMA (THE)","TUSCALOOSA","AL","Public 4 Year","6285","25035944"
"105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","Public 4 Year","4436","17541258"
"105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","HUNTSVILLE","AL","Public 4 Year","2116","8201321"
"102900","UNIVERSITY OF MOBILE","MOBILE","AL","Private 4 Year","842","3150039"
"100400","UNIVERSITY OF MONTEVALLO","MONTEVALLO","AL","Public 4 Year","1110","4579233"
"101600","UNIVERSITY OF NORTH ALABAMA","FLORENCE","AL","Public 4 Year","2477","9867187"
"105700","UNIVERSITY OF SOUTH ALABAMA","MOBILE","AL","Public 4 Year","4608","17891651"
"102400","UNIVERSITY OF WEST ALABAMA","LIVINGSTON","AL","Public 4 Year","1406","5687973"
"3010600","VIRGINIA COLLEGE","BIRMINGHAM","AL","Proprietary 4 Year","24380","85987917"
"4149200","XCELL ACADEMY-A PAUL MITCHELL PARTNER SC","HOOVER","AL","Proprietary 2 Year","131","464530"
"3065100","ABC BEAUTY COLLEGE","ARKADELPHIA","AR","Proprietary 2 Year","55","205133"
"108700","ARKANSAS BAPTIST COLLEGE","LITTLE ROCK","AR","Private 4 Year","1233","4919921"
"3997300","ARKANSAS BEAUTY COLLEGE","RUSSELLVILLE","AR","Proprietary 2 Year","34","102866"
"3005100","ARKANSAS BEAUTY SCHOOL","LITTLE ROCK","AR","Proprietary 2 Year","61","208907"
"3007600","ARKANSAS BEAUTY SCHOOL-CONWAY","CONWAY","AR","Proprietary 2 Year","60","223495"
"3023400","ARKANSAS COLLEGE OF BARBERING","NORTH LITTLE ROCK","AR","Proprietary 2 Year","117","459805"
"1286000","ARKANSAS NORTHEASTERN COLLEGE","BLYTHEVILLE","AR","Public 2 Year","1228","3971756"
"109000","ARKANSAS STATE UNIVERSITY","STATE UNIVERSITY","AR","Public 4 Year","7136","28403452"
"109100","ARKANSAS STATE UNIVERSITY - BEEBE","BEEBE","AR","Public 2 Year","1704","6432956"
"108900","ARKANSAS TECH UNIVERSITY","RUSSELLVILLE","AR","Public 4 Year","5065","19817460"
"2363500","ARTHUR'S BEAUTY COLLEGE","FORT SMITH","AR","Proprietary 2 Year","59","248090"
"2538500","ARTHUR'S BEAUTY COLLEGE","JACKSONVILLE","AR","Proprietary 2 Year","174","649522"
"3105200","BAPTIST HEALTH SCHOOLS LITTLE ROCK","LITTLE ROCK","AR","Private 2 Year","512","1772391"
"2260400","BEE JAY'S HAIRSTYLING ACADEMY","LITTLE ROCK","AR","Proprietary 2 Year","10","30361"
"2052200","BLACK RIVER TECHNICAL COLLEGE","POCAHONTAS","AR","Public 2 Year","2025","7604750"
"2341700","CAREER ACADEMY OF HAIR DESIGN","SPRINGDALE","AR","Proprietary 2 Year","265","977083"
"109300","CENTRAL BAPTIST COLLEGE","CONWAY","AR","Private 4 Year","425","1701054"
"2220900","COSSATOT COMMUNITY COLLEGE","DE QUEEN","AR","Public 2 Year","801","2893070"
"3912300","CROSSETT SCHOOL OF COSMETOLOGY","CROSSETT","AR","Proprietary 2 Year","32","118546"
"109500","CROWLEYS RIDGE COLLEGE","PARAGOULD","AR","Private 4 Year","115","436668"
"704400","CROWLEYS RIDGE TECHNICAL INSTITUTE","FORREST CITY","AR","Public 2 Year","289","999437"
"1226000","EAST ARKANSAS COMMUNITY COLLEGE","FORREST CITY","AR","Public 2 Year","799","2999013"
"2272400","EASTERN COLLEGE OF HEALTH VOCATIONS","LITTLE ROCK","AR","Proprietary 2 Year","802","2454218"
"3855300","ECCLESIA COLLEGE","SPRINGDALE","AR","Private 4 Year","91","315464"
"109700","HARDING UNIVERSITY","SEARCY","AR","Private 4 Year","1201","4703045"
"109800","HENDERSON STATE UNIVERSITY","ARKADELPHIA","AR","Public 4 Year","1914","7934233"
"109900","HENDRIX COLLEGE","CONWAY","AR","Private 4 Year","271","1102515"
"3007100","HOT SPRINGS BEAUTY COLLEGE","HOT SPRINGS","AR","Proprietary 2 Year","69","245239"
"3124900","IMAGINE -  PAUL MITCHELL PARTNER SCHOOL","NORTH LITTLE ROCK","AR","Proprietary 2 Year","412","1468048"
"2330800","JEFFERSON SCHOOL OF NURSING","PINE BLUFF","AR","Private 2 Year","62","279116"
"110000","JOHN BROWN UNIVERSITY","SILOAM SPRINGS","AR","Private 4 Year","733","2660238"
"2525800","LEE'S SCHOOL OF COSMETOLOGY","NORTH LITTLE ROCK","AR","Proprietary 2 Year","25","89987"
"3519400","LYNNDALE FUNDAMENTALS OF BEAUTY SCH","EL DORADO","AR","Proprietary 2 Year","16","56659"
"108800","LYON COLLEGE","BATESVILLE","AR","Private 4 Year","275","1187118"
"3254300","MARGARET'S HAIR ACADEMY","MONTICELLO","AR","Proprietary 2 Year","60","244229"
"2287400","MARSHA KAY BEAUTY COLLEGE","MOUNTAIN HOME","AR","Proprietary 2 Year","18","69863"
"1074100","MELLIE'S BEAUTY COLLEGE","FORT SMITH","AR","Proprietary 2 Year","91","307752"
"2348200","MID-SOUTH COMMUNITY COLLEGE","WEST MEMPHIS","AR","Public 2 Year","1526","4897892"
"1210500","NATIONAL PARK COMMUNITY COLLEGE","HOT SPRINGS","AR","Public 2 Year","2889","10700888"
"2284200","NEW TYLER BARBER COLLEGE INC","NORTH LITTLE ROCK","AR","Proprietary 2 Year","80","305879"
"1226100","NORTH ARKANSAS COLLEGE","HARRISON","AR","Public 2 Year","1729","6366826"
"3063300","NORTHWEST ARKANSAS COMMUNITY COLLEG","BENTONVILLE","AR","Public 2 Year","4139","13571430"
"2073700","NORTHWEST TECHNICAL INSTITUTE","SPRINGDALE","AR","Public 2 Year","206","587233"
"110200","OUACHITA BAPTIST UNIVERSITY","ARKADELPHIA","AR","Private 4 Year","450","1755609"
"997600","OUACHITA TECHNICAL COLLEGE","MALVERN","AR","Public 2 Year","692","2467718"
"2087000","OZARKA COLLEGE","MELBOURNE","AR","Public 2 Year","1519","5800340"
"792100","PAUL MITCHELL THE SCHOOL ARKANSAS","FAYETTEVILLE","AR","Proprietary 2 Year","85","311574"
"110300","PHILANDER SMITH COLLEGE","LITTLE ROCK","AR","Private 4 Year","611","2683275"
"110400","PHILLIPS COUNTY COMMUNITY COLLEGE","HELENA","AR","Public 2 Year","1059","3775092"
"2202400","PROFESSIONAL COSMETOLOGY EDUC CTR","EL DORADO","AR","Proprietary 2 Year","56","205609"
"2075300","PULASKI TECHNICAL COLLEGE","NORTH LITTLE ROCK","AR","Public 2 Year","9474","35670875"
"2111100","RICH MOUNTAIN COMMUNITY COLLEGE","MENA","AR","Public 2 Year","558","2006350"
"4183400","SALON PROFESSIONAL ACADEMY (THE)","NORTH LITTLE ROCK","AR","Proprietary 2 Year","50","202539"
"2569600","SEARCY BEAUTY COLLEGE","SEARCY","AR","Proprietary 2 Year","67","229924"
"570700","SEARK COLLEGE","PINE BLUFF","AR","Public 2 Year","1566","5776658"
"2074600","SOUTH ARKANSAS COMMUNITY COLLEGE","EL DORADO","AR","Public 2 Year","1256","4498302"
"110700","SOUTHERN ARKANSAS UNIVERSITY","MAGNOLIA","AR","Public 4 Year","1677","7032670"
"773800","SOUTHERN ARKANSAS UNIVERSITY TECH","CAMDEN","AR","Public 2 Year","727","2584855"
"2339800","SOUTHERN INSTITUTE OF COSMETOLOGY","WEST MEMPHIS","AR","Proprietary 2 Year","106","356968"
"524500","U OF A COMM COLLEGE AT MORRILTON","MORRILTON","AR","Public 2 Year","1626","5741807"
"573200","UNIV AR COMMUNITY COLLEGE AT HOPE","HOPE","AR","Public 2 Year","1053","3641264"
"110800","UNIV ARKANSAS FAYETTEVILLE","FAYETTEVILLE","AR","Public 4 Year","5095","19981106"
"110100","UNIV ARKANSAS LITTLE ROCK","LITTLE ROCK","AR","Public 4 Year","4943","18571934"
"108500","UNIV ARKANSAS MONTICELLO","MONTICELLO","AR","Public 4 Year","2605","10110784"
"108600","UNIV OF ARKANSAS AT PINE BLUFF","PINE BLUFF","AR","Public 4 Year","2428","10537637"
"2073500","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE","BATESVILLE","AR","Public 2 Year","1241","4425879"
"110900","UNIVERSITY OF ARKANSAS FOR MEDICAL SCIEN","LITTLE ROCK","AR","Public 4 Year","353","1436038"
"111000","UNIVERSITY OF ARKANSAS-FORT SMITH","FORT SMITH","AR","Public 4 Year","4264","16372327"
"109200","UNIVERSITY OF CENTRAL ARKANSAS","CONWAY","AR","Public 4 Year","3914","15400584"
"109400","UNIVERSITY OF THE OZARKS","CLARKSVILLE","AR","Private 4 Year","253","1107994"
"3214300","VELVATEX COLLEGE OF BEAUTY CULTURE","LITTLE ROCK","AR","Proprietary 2 Year","14","64575"
"4183100","WASHINGTON BARBER COLLEGE","LITTLE ROCK","AR","Proprietary 2 Year","71","330605"
"110600","WILLIAMS BAPTIST COLLEGE","WALNUT RIDGE","AR","Private 4 Year","319","1325178"
"1001000","AMERICAN SAMOA CMNTY COLLEGE","PAGO PAGO","AS","Public 2 Year","1626","5887334"
"4174200","ALL BEAUTY COLLEGE","FORT MOHAVE","AZ","Proprietary 2 Year","61","230851"
"2199900","AMERICAN INDIAN CLG-ASSEMBLIES GOD","PHOENIX","AZ","Private 4 Year","75","306678"
"4148700","AMERICAN INSTITUTE OF INTERIOR DESIGN","FOUNTAIN HILLS","AZ","Proprietary 2 Year","7","31564"
"2317800","AMERICAN INSTITUTE OF TECHNOLOGY","PHOENIX","AZ","Proprietary 2 Year","1011","2942328"
"2263100","ANTHEM COLLEGE","PHOENIX","AZ","Proprietary 4 Year","4622","15950520"
"886400","ARIZONA ACADEMY OF BEAUTY","TUCSON","AZ","Proprietary 2 Year","58","190769"
"1180200","ARIZONA ACADEMY OF BEAUTY-NORTH","TUCSON","AZ","Proprietary 2 Year","68","212604"
"1084700","ARIZONA AUTOMOTIVE INSTITUTE","GLENDALE","AZ","Proprietary 2 Year","1401","4933497"
"711300","ARIZONA CHRISTIAN UNIVERSITY","PHOENIX","AZ","Private 4 Year","204","789138"
"3115000","ARIZONA COLLEGE OF ALLIED HEALTH","GLENDALE","AZ","Proprietary 2 Year","925","3225510"
"4120900","ARIZONA CULINARY INSTITUTE","SCOTTSDALE","AZ","Proprietary 2 Year","96","313569"
"108100","ARIZONA STATE UNIV (ALL CAMPUSES)","TEMPE","AZ","Public 4 Year","25686","100792915"
"107100","ARIZONA WESTERN COLLEGE","YUMA","AZ","Public 2 Year","5904","18643706"
"4051300","ART INSTITUTE OF PHOENIX (THE)","PHOENIX","AZ","Proprietary 4 Year","29867","105034069"
"1293700","ARTISTIC BEAUTY COLLEGES - PARADISE VALL","SCOTTSDALE","AZ","Proprietary 2 Year","188","664202"
"1180800","ARTISTIC BEAUTY COLLEGES-FLAGSTAFF","FLAGSTAFF","AZ","Proprietary 2 Year","345","1283161"
"2220300","ARTISTIC BEAUTY COLLEGES-GLENDALE","PHOENIX","AZ","Proprietary 2 Year","226","808267"
"1234300","ARTISTIC BEAUTY COLLEGES-PHOENIX","GLENDALE","AZ","Proprietary 2 Year","320","1176340"
"886500","ARTISTIC BEAUTY COLLEGES-TUCSON","TUCSON","AZ","Proprietary 2 Year","295","1059461"
"1085800","AVALON SCHOOL OF COSMETOLOGY","MESA","AZ","Proprietary 2 Year","684","2519677"
"4194500","AVEDA INSTITUTE TUCSON","TUCSON","AZ","Proprietary 2 Year","50","186603"
"2561900","BRILLARE HAIRDRESSING ACADEMY","SCOTTSDALE","AZ","Proprietary 2 Year","140","507240"
"2218800","BROOKLINE COLLEGE","PHOENIX","AZ","Proprietary 4 Year","3935","12598452"
"3076400","BRYMAN SCHOOL OF ARIZONA","PHOENIX","AZ","Proprietary 2 Year","3541","11914522"
"2100600","CARRINGTON COLLEGE","PHOENIX","AZ","Proprietary 4 Year","3398","12290263"
"3097800","CARSTEN INSTITUTE OF HAIR & BEAUTY","TEMPE","AZ","Proprietary 2 Year","156","558393"
"4172100","CCIC BEAUTY COLLEGE","PEORIA","AZ","Proprietary 2 Year","35","127016"
"728300","CENTRAL ARIZONA COLLEGE","COOLIDGE","AZ","Public 2 Year","4397","14519758"
"3072200","CHANDLER-GILBERT COMMUNITY COLLEGE","CHANDLER","AZ","Public 2 Year","4179","13071439"
"2280500","CHARLES OF ITALY BEAUTY COLLEGE","LAKE HAVASU CITY","AZ","Proprietary 2 Year","83","341375"
"4191200","CLASSIC COOKING ACADEMY","SCOTTSDALE","AZ","Private 2 Year","3","7131"
"107200","COCHISE COLLEGE","DOUGLAS","AZ","Public 2 Year","1941","6427681"
"3100400","COCONINO COUNTY COMMUNITY COLLEGE","FLAGSTAFF","AZ","Public 2 Year","1509","4880777"
"3120300","COLLEGE AMERICA","FLAGSTAFF","AZ","Proprietary 4 Year","870","3317829"
"2160305","COLLINS COLLEGE","PHOENIX","AZ","Proprietary 4 Year","817","3082132"
"3034400","CONSERVATORY RECORDING ARTS & SCIS","TEMPE","AZ","Proprietary 2 Year","559","1799973"
"2623800","CORTIVA INSTITUTE - SCOTTSDALE","SCOTTSDALE","AZ","Proprietary 2 Year","82","225497"
"2582700","CORTIVA INSTITUTE - TUCSON","TUCSON","AZ","Proprietary 2 Year","251","779312"
"824600","DIN╔ COLLEGE","TSAILE","AZ","Public 4 Year","1871","7028387"
"3572300","EAST VALLEY INSTITUTE OF TECHNOLOGY","MESA","AZ","Public 2 Year","150","433910"
"107300","EASTERN ARIZONA COLLEGE","THATCHER","AZ","Public 2 Year","1777","6258336"
"3156300","ESTRELLA MOUNTAIN COMMUNITY COLLEGE","AVONDALE","AZ","Public 2 Year","4764","14843962"
"2295000","EVEREST COLLEGE","PHOENIX","AZ","Proprietary 4 Year","2431","8903451"
"2533200","FRANK LLOYD WRIGHT SCHOOL OF ARCHITECTUR","SCOTTSDALE","AZ","Private 4 Year","2","8300"
"830300","GATEWAY COMMUNITY COLLEGE","PHOENIX","AZ","Public 2 Year","3410","9668193"
"107600","GLENDALE COMMUNITY COLLEGE","GLENDALE","AZ","Public 2 Year","10288","32550559"
"107400","GRAND CANYON UNIVERSITY","PHOENIX","AZ","Proprietary 4 Year","21786","79262035"
"3445300","HDS TRUCK DRIVING INSTITUTE","TUCSON","AZ","Proprietary 2 Year","80","263773"
"1218400","INTERNATIONAL ACAD OF HAIR DESIGN","CHANDLER","AZ","Proprietary 2 Year","271","918993"
"3347300","INTERNATIONAL BAPTIST COLLEGE","CHANDLER","AZ","Private 4 Year","34","141773"
"732911","ITT TECHNICAL INSTITUTE","TEMPE","AZ","Proprietary 4 Year","2507","8873178"
"732990","ITT TECHNICAL INSTITUTE","TUCSON","AZ","Proprietary 4 Year","2213","8192746"
"2071200","KAPLAN COLLEGE","PHOENIX","AZ","Proprietary 2 Year","454","1736035"
"4175300","KOHLER ACADEMY","SCOTTSDALE","AZ","Proprietary 2 Year","123","443697"
"2521500","LAMSON COLLEGE","TEMPE","AZ","Proprietary 2 Year","105","422902"
"2616700","LE CORDON BLEU COLLEGE OF CULINARY ARTS","SCOTTSDALE","AZ","Proprietary 4 Year","1894","7292348"
"2192300","MARICOPA BEAUTY COLLEGE","AVONDALE","AZ","Proprietary 2 Year","61","222736"
"107700","MESA COMMUNITY COLLEGE","MESA","AZ","Public 2 Year","12405","38652183"
"1186400","MOHAVE COMMUNITY COLLEGE","KINGMAN","AZ","Public 2 Year","3708","11469489"
"4157400","NATIONAL PARALEGAL COLLEGE","PHOENIX","AZ","Proprietary 4 Year","581","2276047"
"3813300","NORTHCENTRAL UNIVERSITY","PRESCOTT VALLEY","AZ","Proprietary 4 Year","220","611605"
"108200","NORTHERN ARIZONA UNIVERSITY","FLAGSTAFF","AZ","Public 4 Year","9114","35963135"
"1186200","NORTHLAND PIONEER COLLEGE","HOLBROOK","AZ","Public 2 Year","1226","3374922"
"2623600","PARADISE VALLEY COMMUNITY COLLEGE","PHOENIX","AZ","Public 2 Year","2930","9261183"
"4174100","PAUL MITCHELL THE SCHOOL PHOENIX","PHOENIX","AZ","Proprietary 2 Year","154","585125"
"107800","PHOENIX COLLEGE","PHOENIX","AZ","Public 2 Year","7152","22738973"
"726600","PIMA COUNTY COMMUNITY COLLEGE","TUCSON","AZ","Public 2 Year","15345","51454220"
"2217100","PIMA MEDICAL INSTITUTE","TUCSON","AZ","Proprietary 4 Year","8181","30290017"
"2065300","PRESCOTT COLLEGE","PRESCOTT","AZ","Private 4 Year","393","1542913"
"4177500","PURE AESTHETICS","TUCSON","AZ","Proprietary 2 Year","31","87683"
"1168900","REFRIGERATION SCHOOL","PHOENIX","AZ","Proprietary 2 Year","794","2824328"
"2177500","RIO SALADO COMMUNITY COLLEGE","TEMPE","AZ","Public 2 Year","12171","31104202"
"2113800","ROBERTO-VENN SCH OF LUTHIERY","PHOENIX","AZ","Proprietary 2 Year","29","107331"
"3005000","SAFFORD COLLEGE OF BEAUTY CULTURE","SAFFORD","AZ","Proprietary 2 Year","73","358213"
"830400","SCOTTSDALE COMMUNITY COLLEGE","SCOTTSDALE","AZ","Public 2 Year","2998","9637887"
"2146600","SOUTH MOUNTAIN COMMUNITY COLLEGE","PHOENIX","AZ","Public 2 Year","2953","10084173"
"3593300","SOUTHWEST INSTITUTE OF HEALING ARTS","TEMPE","AZ","Proprietary 2 Year","525","2047540"
"4152900","STUDIO ACADEMY OF BEAUTY (THE)","CHANDLER","AZ","Proprietary 2 Year","185","644387"
"2491500","THE ART CENTER DESIGN COLLEGE","TUCSON","AZ","Proprietary 4 Year","362","1460893"
"3784400","TOHONO O'ODHAM COMMUNITY COLLEGE","SELLS","AZ","Public 2 Year","129","438351"
"446700","TUCSON COLLEGE","TUCSON","AZ","Proprietary 2 Year","557","2156727"
"4059300","TUCSON COLLEGE OF BEAUTY","TUCSON","AZ","Proprietary 2 Year","77","278055"
"3814300","TURNING POINT BEAUTY COLLEGE","CASA GRANDE","AZ","Proprietary 2 Year","70","292611"
"4139200","UNIVERSAL BARBER COLLEGE","PHOENIX","AZ","Proprietary 2 Year","63","236837"
"822100","UNIVERSAL TECHNICAL INSTITUTE","AVONDALE","AZ","Proprietary 2 Year","8473","31253595"
"2100500","UNIVERSAL TECHNICAL INSTITUTE","PHOENIX","AZ","Proprietary 2 Year","7468","27777216"
"2559000","UNIVERSITY OF ADVANCING TECHNOLOGY","TEMPE","AZ","Proprietary 4 Year","505","1853878"
"108300","UNIVERSITY OF ARIZONA","TUCSON","AZ","Public 4 Year","10675","43578354"
"2098800","UNIVERSITY OF PHOENIX","PHOENIX","AZ","Proprietary 4 Year","259998","945602843"
"2171500","WESTERN INTERNATIONAL UNIVERSITY","PHOENIX","AZ","Proprietary 4 Year","1373","4269155"
"107900","YAVAPAI COLLEGE","PRESCOTT","AZ","Public 2 Year","3079","9656676"
"4189800","ACADEMY FOR SALON PROFESSIONALS","CANOGA PARK","CA","Proprietary 2 Year","63","232241"
"4185700","ACADEMY FOR SALON PROFESSIONALS (THE)","SANTA CLARA","CA","Proprietary 2 Year","108","375841"
"753100","ACADEMY OF ART UNIVERSITY","SAN FRANCISCO","CA","Proprietary 4 Year","6250","19052662"
"4109300","ACADEMY OF BARBERING ARTS (THE)","NORTHRIDGE","CA","Proprietary 2 Year","264","1023943"
"4185500","ACADEMY OF COUTURE ART","WEST HOLLYWOOD","CA","Proprietary 4 Year","5","17688"
"4132400","ACADEMY OF ESTHETICS AND COSMETOLOGY","SYLMAR","CA","Proprietary 2 Year","51","218914"
"2342400","ACADEMY OF RADIO BROADCASTING","HUNTINGTON BEACH","CA","Proprietary 2 Year","106","399810"
"3327400","ACUPUNCTURE AND INTEGRATIVE MEDICINE COL","BERKELEY","CA","Private 4 Year","2","5550"
"2520400","ADRIAN'S BEAUTY COLLEGE OF TURLOCK","TURLOCK","CA","Proprietary 2 Year","148","596360"
"3736300","ADVANCE BEAUTY COLLEGE","GARDEN GROVE","CA","Proprietary 2 Year","448","1458378"
"4206800","ADVANCE BEAUTY TECHS ACADEMY","SAN JACINTO","CA","Proprietary 2 Year","18","48113"
