"OPEID","NAME","CITY","STATE","Insttype","Recips","Awards"
"3811300","EASTERN SCHOOL OF ACUPUNCTURE AND TRADIT","MONTCLAIR","NJ","Proprietary 2 Year","3","9250"
"2053700","EASTWICK COLLEGE","RAMSEY","NJ","Proprietary 2 Year","761","2199132"
"2149800","EMPIRE BEAUTY SCHOOL","LAUREL SPRNGS CLEMENTON","NJ","Proprietary 2 Year","327","1143434"
"2344200","EMPIRE BEAUTY SCHOOL","CHERRY HILL","NJ","Proprietary 2 Year","315","1001654"
"710700","ESSEX COUNTY COLLEGE","NEWARK","NJ","Public 2 Year","8504","32150043"
"2261800","EUROPEAN ACADEMY OF COSMETOLOGY","UNION","NJ","Proprietary 2 Year","139","469836"
"260702","FAIRLEIGH DICKINSON UNIV-ED WMS CLG","HACKENSACK","NJ","Private 4 Year","6","14445"
"260700","FAIRLEIGH DICKINSON UNIV-TEANECK","TEANECK","NJ","Private 4 Year","2593","10467938"
"261000","FELICIAN COLLEGE","LODI","NJ","Private 4 Year","955","3953109"
"4125000","GENTLE HEALING SCHOOL OF MASSAGE","CRANBURY","NJ","Proprietary 2 Year","8","17567"
"260800","GEORGIAN COURT UNIVERSITY","LAKEWOOD","NJ","Private 4 Year","807","3172365"
"690100","GLOUCESTER COUNTY COLLEGE","SEWELL","NJ","Public 2 Year","2284","8341207"
"2104000","HARRIS SCHOOL OF BUSINESS","CHERRY HILL","NJ","Proprietary 2 Year","1927","5917101"
"2586900","HARRIS SCHOOL OF BUSINESS","VOORHEES","NJ","Proprietary 2 Year","1270","3846570"
"3803300","HEALTHCARE TRAINING INSTITUTE","UNION","NJ","Proprietary 2 Year","257","887341"
"849400","HO HO KUS SCHL OF TRADE & TECH SCIENCES","PATERSON","NJ","Proprietary 2 Year","203","737007"
"1246200","HOHOKUS - HACKENSACK SCHOOL OF BUSINESS","HACKENSACK","NJ","Proprietary 2 Year","596","1917578"
"2092300","HOHOKUS SCHOOL - RETS/NUTLEY","NUTLEY","NJ","Proprietary 2 Year","592","1863759"
"641700","HOLY NAME HOSPITAL SCH OF NURSING","TEANECK","NJ","Private 2 Year","46","158655"
"1295400","HUDSON COUNTY COMMUNITY COLLEGE","JERSEY CITY","NJ","Public 2 Year","8071","28553050"
"3197300","INSTITUTE FOR HEALTH EDUCATION(THE)","JERSEY CITY","NJ","Proprietary 2 Year","190","755264"
"3536300","INSTITUTE FOR THERAPEUTIC MASSAGE","HASKELL","NJ","Proprietary 2 Year","92","265719"
"2146800","JOE KUBERT SCH OF CARTOON & GRAPHIC","DOVER","NJ","Proprietary 2 Year","31","136125"
"262200","KEAN UNIVERSITY","UNION","NJ","Public 4 Year","6106","24275930"
"3530300","KEY SKILLS LEARNING, INC.","CLIFTON","NJ","Proprietary 2 Year","3","4319"
"4173100","LAB PAUL MITCHELL PARTNER SCHOOL (THE)","EWING","NJ","Proprietary 2 Year","62","223915"
"750600","LINCOLN TECHNICAL INSTITUTE","UNION","NJ","Proprietary 2 Year","2475","8564643"
"1246100","LINCOLN TECHNICAL INSTITUTE","EDISON","NJ","Proprietary 2 Year","4404","14492182"
"2291000","LINCOLN TECHNICAL INSTITUTE","SOUTH PLAINFIELD","NJ","Proprietary 2 Year","253","970167"
"474000","MERCER COUNTY COMMUNITY COLLEGE","TRENTON","NJ","Public 2 Year","4054","13378713"
"4180300","MESIVTA KESER TORAH","BELMAR","NJ","Private 4 Year","34","181825"
"3637300","METRO AUTO ELECTRONICS TRAINING INSTITUT","KENILWORTH","NJ","Proprietary 2 Year","14","42087"
"261500","MIDDLESEX COUNTY COLLEGE","EDISON","NJ","Public 2 Year","5772","20171828"
"539900","MONMOUTH COUNTY VOCATIONAL SCH DIST","FREEHOLD","NJ","Public 2 Year","49","197804"
"261600","MONMOUTH UNIVERSITY","WEST LONG BRANCH","NJ","Private 4 Year","1261","5033541"
"261700","MONTCLAIR STATE UNIVERSITY","MONTCLAIR","NJ","Public 4 Year","5573","23003622"
"1152300","MORRIS COUNTY SCHOOL OF TECHNOLOGY","DENVILLE","NJ","Public 2 Year","15","71600"
"642000","MOUNTAINSIDE HOSP SCH NRSG","MONTCLAIR","NJ","Proprietary 2 Year","12","32828"
"642100","MUHLENBERG SNYDER SCHOOLS","PLAINFIELD","NJ","Private 2 Year","210","555806"
"4154900","NATIONAL CAREER INSTITUTE","EAST ORANGE","NJ","Proprietary 2 Year","315","1194179"
"1170800","NATURAL MOTION INST OF HAIR DESIGN","JERSEY CITY","NJ","Proprietary 2 Year","122","453498"
"3424500","NEW COMMUNITY WORKFORCE DEVELOPMENT","NEWARK","NJ","Private 2 Year","394","1221206"
"2223700","NEW HORIZON INST OF COSMETOLOGY","WEST NEW YORK","NJ","Proprietary 2 Year","201","653656"
"261300","NEW JERSEY CITY UNIVERSITY","JERSEY CITY","NJ","Public 4 Year","4176","17188162"
