"OPE ID","Institution Name","Institution City","Institution State","Institution Type And Control","Total Awards","Total Recipients"
"100200","ALABAMA AGRCLTL & MECHL UNIV","NORMAL","AL","Public - 4 Year","13738784","3120"
"100300","FAULKNER UNIVERSITY","MONTGOMERY","AL","Private - 4 Year","7957840","2038"
"100400","UNIVERSITY OF MONTEVALLO","MONTEVALLO","AL","Public - 4 Year","4656149","1147"
"100500","ALABAMA STATE UNIVERSITY","MONTGOMERY","AL","Public - 4 Year","18675520","4423"
"100700","CENTRAL ALABAMA COMMUNITY COLLEGE","ALEXANDER CITY","AL","Public - 2 Year","6073038","1681"
"100800","ATHENS STATE UNIVERSITY","ATHENS","AL","Public - 4 Year","5725062","1594"
"100900","AUBURN UNIVERSITY","AUBURN","AL","Public - 4 Year","14097069","3573"
"101200","BIRMINGHAM SOUTHERN COLLEGE","BIRMINGHAM","AL","Private - 4 Year","1019403","260"
"101300","CALHOUN COMMUNITY COLLEGE","DECATUR","AL","Public - 2 Year","18339651","5674"
"101500","ENTERPRISE STATE COMMUNITY COLLEGE","ENTERPRISE","AL","Public - 2 Year","5732003","1586"
"101600","UNIVERSITY OF NORTH ALABAMA","FLORENCE","AL","Public - 4 Year","9793118","2444"
"101700","GADSDEN STATE COMMUNITY COLLEGE","GADSDEN","AL","Public - 2 Year","14902951","4498"
"101800","GEORGE C WALLACE COMMUNITY COLLEGE","DOTHAN","AL","Public - 2 Year","11106162","3271"
"101900","HUNTINGDON COLLEGE","MONTGOMERY","AL","Private - 4 Year","2021234","517"
"102000","JACKSONVILLE STATE UNIVERSITY","JACKSONVILLE","AL","Public - 4 Year","15378026","3883"
"102100","JEFFERSON DAVIS COMMUNITY COLLEGE","BREWTON","AL","Public - 2 Year","2757990","781"
"102200","JEFFERSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public - 2 Year","12914986","4045"
"102300","JUDSON COLLEGE","MARION","AL","Private - 4 Year","732285","175"
"102400","UNIVERSITY OF WEST ALABAMA","LIVINGSTON","AL","Public - 4 Year","5040059","1239"
"102600","MARION MILITARY INSTITUTE","MARION","AL","Public - 2 Year","778024","180"
"102800","MILES COLLEGE","FAIRFIELD","AL","Private - 4 Year","6771794","1531"
"102900","UNIVERSITY OF MOBILE","MOBILE","AL","Private - 4 Year","2909785","779"
"103000","BISHOP STATE COMMUNITY COLLEGE","MOBILE","AL","Public - 2 Year","11347519","3244"
"103100","NORTHEAST ALABAMA STATE CMNTY COLG","RAINSVILLE","AL","Public - 2 Year","8684128","2426"
"569702","NORTHWEST-SHOALS C.C.-PHIL CAMPBELL","PHIL CAMPBELL","AL","Public - 2 Year","2168967","620"
"103300","OAKWOOD COLLEGE","HUNTSVILLE","AL","Private - 4 Year","4471067","1066"
"103400","ALABAMA SOUTHERN COMMUNITY COLLEGE","MONROEVILLE","AL","Public - 2 Year","3542965","971"
"103600","SAMFORD UNIVERSITY","BIRMINGHAM","AL","Private - 4 Year","1725296","454"
"103800","SNEAD STATE COMMUNITY COLLEGE","BOAZ","AL","Public - 2 Year","5987098","1650"
"104000","SOUTHERN UNION STATE COMMUNITY CLG","WADLEY","AL","Public - 2 Year","10409900","2736"
"104100","SPRING HILL COLLEGE","MOBILE","AL","Private - 4 Year","1649895","407"
"104400","STILLMAN COLLEGE","TUSCALOOSA","AL","Private - 4 Year","3268854","739"
"104600","TALLADEGA COLLEGE","TALLADEGA","AL","Private - 4 Year","3551387","777"
"104700","TROY UNIVERSITY","TROY","AL","Public - 4 Year","33471263","9363"
"105000","TUSKEGEE UNIVERSITY","TUSKEGEE","AL","Private - 4 Year","7211551","1613"
"105100","UNIVERSITY OF ALABAMA (THE)","TUSCALOOSA","AL","Public - 4 Year","24560513","6236"
"105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","Public - 4 Year","17022497","4333"
"105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","HUNTSVILLE","AL","Public - 4 Year","7776157","2040"
"105700","UNIVERSITY OF SOUTH ALABAMA","MOBILE","AL","Public - 4 Year","18584983","4616"
"105900","LAWSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public - 2 Year","10472632","2960"
"106000","FAULKNER STATE COMMUNITY COLLEGE","BAY MINETTE","AL","Public - 2 Year","9442605","2673"
"106100","ALASKA PACIFIC UNIVERSITY","ANCHORAGE","AK","Private - 4 Year","435536","130"
"106300","UNIVERSITY OF ALASKA FAIRBANKS","FAIRBANKS","AK","Public - 4 Year","7319455","2217"
"106500","UNIVERSITY OF ALASKA SOUTHEAST","JUNEAU","AK","Public - 4 Year","1972613","584"
"107100","ARIZONA WESTERN COLLEGE","YUMA","AZ","Public - 2 Year","18095003","5607"
"107200","COCHISE COLLEGE","DOUGLAS","AZ","Public - 2 Year","5297666","1650"
"107300","EASTERN ARIZONA COLLEGE","THATCHER","AZ","Public - 2 Year","4818263","1335"
"107400","GRAND CANYON UNIVERSITY","PHOENIX","AZ","Proprietary - 4 Year","93099468","25179"
"107600","GLENDALE COMMUNITY COLLEGE","GLENDALE","AZ","Public - 2 Year","32313817","9923"
"107700","MESA COMMUNITY COLLEGE","MESA","AZ","Public - 2 Year","34938683","11184"
"107800","PHOENIX COLLEGE","PHOENIX","AZ","Public - 2 Year","23346975","7548"
"107900","YAVAPAI COLLEGE","PRESCOTT","AZ","Public - 2 Year","10372835","3222"
"108100","ARIZONA STATE UNIV (ALL CAMPUSES)","TEMPE","AZ","Public - 4 Year","95962723","24131"
"108200","NORTHERN ARIZONA UNIVERSITY","FLAGSTAFF","AZ","Public - 4 Year","35113307","8952"
"108300","UNIVERSITY OF ARIZONA","TUCSON","AZ","Public - 4 Year","45006305","10818"
"108500","UNIV ARKANSAS MONTICELLO","MONTICELLO","AR","Public - 4 Year","9389213","2412"
"108600","UNIV OF ARKANSAS AT PINE BLUFF","PINE BLUFF","AR","Public - 4 Year","8741131","2005"
"108700","ARKANSAS BAPTIST COLLEGE","LITTLE ROCK","AR","Private - 4 Year","4093460","1053"
"108800","LYON COLLEGE","BATESVILLE","AR","Private - 4 Year","1166536","265"
"108900","ARKANSAS TECH UNIVERSITY","RUSSELLVILLE","AR","Public - 4 Year","20612096","5285"
"109000","ARKANSAS STATE UNIVERSITY","STATE UNIVERSITY","AR","Public - 4 Year","27537628","6965"
"109100","ARKANSAS STATE UNIVERSITY - BEEBE","BEEBE","AR","Public - 2 Year","6267309","1638"
"109200","UNIVERSITY OF CENTRAL ARKANSAS","CONWAY","AR","Public - 4 Year","16211442","4013"
"109300","CENTRAL BAPTIST COLLEGE","CONWAY","AR","Private - 4 Year","1656339","410"
"109400","UNIVERSITY OF THE OZARKS","CLARKSVILLE","AR","Private - 4 Year","997022","233"
"109500","CROWLEYS RIDGE COLLEGE","PARAGOULD","AR","Private - 4 Year","369559","90"
"109700","HARDING UNIVERSITY","SEARCY","AR","Private - 4 Year","4700487","1189"
"109800","HENDERSON STATE UNIVERSITY","ARKADELPHIA","AR","Public - 4 Year","7661154","1868"
"109900","HENDRIX COLLEGE","CONWAY","AR","Private - 4 Year","1034996","247"
"110000","JOHN BROWN UNIVERSITY","SILOAM SPRINGS","AR","Private - 4 Year","2593865","703"
"110100","UNIV ARKANSAS LITTLE ROCK","LITTLE ROCK","AR","Public - 4 Year","17208616","4638"
"110200","OUACHITA BAPTIST UNIVERSITY","ARKADELPHIA","AR","Private - 4 Year","1664940","413"
"110300","PHILANDER SMITH COLLEGE","LITTLE ROCK","AR","Private - 4 Year","2227181","497"
"110400","PHILLIPS COUNTY COMMUNITY COLLEGE","HELENA","AR","Public - 2 Year","3521572","966"
"110500","SHORTER COLLEGE","NORTH LITTLE ROCK","AR","Private - 2 Year","794706","201"
"110600","WILLIAMS BAPTIST COLLEGE","WALNUT RIDGE","AR","Private - 4 Year","1267807","305"
"110700","SOUTHERN ARKANSAS UNIVERSITY","MAGNOLIA","AR","Public - 4 Year","6506157","1563"
"110800","UNIV ARKANSAS FAYETTEVILLE","FAYETTEVILLE","AR","Public - 4 Year","20575366","5190"
"110900","UNIVERSITY OF ARKANSAS FOR MEDICAL SCIEN","LITTLE ROCK","AR","Public - 4 Year","1313653","325"
"111000","UNIVERSITY OF ARKANSAS-FORT SMITH","FORT SMITH","AR","Public - 4 Year","15818035","4144"
"111100","ALLAN HANCOCK COLLEGE","SANTA MARIA","CA","Public - 2 Year","10324809","3101"
"111300","ANTELOPE VALLEY COLLEGE","LANCASTER","CA","Public - 2 Year","28506108","8929"
"111600","ART CENTER COLLEGE OF DESIGN","PASADENA","CA","Private - 4 Year","3226944","759"
"111700","AZUSA PACIFIC UNIVERSITY","AZUSA","CA","Private - 4 Year","10316736","2707"
"111800","BAKERSFIELD COLLEGE","BAKERSFIELD","CA","Public - 2 Year","25184701","8167"
"111900","BARSTOW COMMUNITY COLLEGE","BARSTOW","CA","Public - 2 Year","7110035","2372"
"112200","BIOLA UNIVERSITY","LA MIRADA","CA","Private - 4 Year","5627095","1415"
"112300","BROOKS INSTITUTE","SANTA BARBARA","CA","Proprietary - 4 Year","1493466","337"
"112400","CABRILLO COLLEGE","APTOS","CA","Public - 2 Year","12643026","3908"
"112500","CALIFORNIA BAPTIST UNIVERSITY","RIVERSIDE","CA","Private - 4 Year","11071905","2865"
"112700","CALIFORNIA COLLEGE OF THE ARTS","SAN FRANCISCO","CA","Private - 4 Year","2159484","506"
"113100","CALIFORNIA INSTITUTE OF TECHNOLOGY","PASADENA","CA","Private - 4 Year","446461","105"
"113200","CALIFORNIA INSTITUTE OF THE ARTS","VALENCIA","CA","Private - 4 Year","1408609","320"
"113300","CALIFORNIA LUTHERAN UNIVERSITY","THOUSAND OAKS","CA","Private - 4 Year","3272151","856"
"113400","CALIFORNIA MARITIME ACADEMY","VALLEJO","CA","Public - 4 Year","1759765","378"
"113700","CALIF STATE UNIV-FULLERTON","FULLERTON","CA","Public - 4 Year","58713281","14084"
"113800","CALIFORNIA STATE UNIVERSITY, EAST BAY","HAYWARD","CA","Public - 4 Year","24389793","5993"
"113900","CALIF STATE UNIV-LONG BEACH","LONG BEACH","CA","Public - 4 Year","65979795","15502"
"114000","CALIF STATE UNIV-LOS ANGELES","LOS ANGELES","CA","Public - 4 Year","53375069","12652"
"114100","CALIF STATE UNIV, DOMINGUEZ HILLS","CARSON","CA","Public - 4 Year","30264664","7239"
"114200","CALIF STATE UNIV SAN BERNARDINO","SAN BERNARDINO","CA","Public - 4 Year","42918098","9983"
"114300","CAL POLY STATE UNIVERSITY","SAN LUIS OBISPO","CA","Public - 4 Year","15198281","3749"
"114400","CALIF STATE POLYTECHNIC UNIV POMONA","POMONA","CA","Public - 4 Year","40545454","9572"
"114600","CALIF STATE UNIV - CHICO","CHICO","CA","Public - 4 Year","28131221","6529"
"114700","CALIF STATE UNIV - FRESNO","FRESNO","CA","Public - 4 Year","50157494","11404"
"114900","HUMBOLDT STATE UNIVERSITY","ARCATA","CA","Public - 4 Year","17553227","3965"
"115000","CALIF STATE UNIV-SACRAMENTO","SACRAMENTO","CA","Public - 4 Year","56697231","13747"
"115100","SAN DIEGO STATE UNIVERSITY","SAN DIEGO","CA","Public - 4 Year","46323060","10805"
"115300","CALIF STATE UNIV-NORTHRIDGE","NORTHRIDGE","CA","Public - 4 Year","69670908","16087"
"115400","SAN FRANCISCO STATE UNIVERSITY","SAN FRANCISCO","CA","Public - 4 Year","48371794","11676"
"115500","SAN JOSE STATE UNIVERSITY","SAN JOSE","CA","Public - 4 Year","43360875","10482"
"115600","SONOMA STATE UNIVERSITY","ROHNERT PARK","CA","Public - 4 Year","10742997","2619"
"115700","CALIF STATE UNIV-STANISLAUS","TURLOCK","CA","Public - 4 Year","19875248","4789"
"116100","CERRITOS COLLEGE","NORWALK","CA","Public - 2 Year","34500522","11297"
"116200","CHABOT COLLEGE","HAYWARD","CA","Public - 2 Year","12613094","3994"
"116300","CHAFFEY COLLEGE","RANCHO CUCAMONGA","CA","Public - 2 Year","24042211","7986"
"116400","CHAPMAN UNIVERSITY","ORANGE","CA","Private - 4 Year","4940816","1218"
"116600","CITRUS COLLEGE","GLENDORA","CA","Public - 2 Year","14776760","4840"
"117000","CLAREMONT MCKENNA COLLEGE","CLAREMONT","CA","Private - 4 Year","593861","148"
"117100","HARVEY MUDD COLLEGE","CLAREMONT","CA","Private - 4 Year","434104","104"
"117200","PITZER COLLEGE","CLAREMONT","CA","Private - 4 Year","719719","179"
"117300","POMONA COLLEGE","CLAREMONT","CA","Private - 4 Year","1206950","276"
"117400","SCRIPPS COLLEGE","CLAREMONT","CA","Private - 4 Year","504252","126"
"117600","WEST HILLS COMMUNITY COLLEGE","COALINGA","CA","Public - 2 Year","4144397","1162"
"117700","COGSWELL POLYTECHNICAL COLLEGE","SUNNYVALE","CA","Proprietary - 4 Year","828939","209"
"117800","COLLEGE OF MARIN","KENTFIELD","CA","Public - 2 Year","6595361","2046"
"117900","NOTRE DAME DE NAMUR UNIVERSITY","BELMONT","CA","Private - 4 Year","2265300","622"
"118100","COLLEGE OF SAN MATEO","SAN MATEO","CA","Public - 2 Year","5959313","1760"
"118200","COLLEGE OF THE DESERT","PALM DESERT","CA","Public - 2 Year","14798427","4722"
"118300","HOLY NAMES UNIVERSITY","OAKLAND","CA","Private - 4 Year","1839630","461"
"118500","COLLEGE OF THE REDWOODS","EUREKA","CA","Public - 2 Year","7774289","2344"
"118600","COLLEGE OF THE SEQUOIAS","VISALIA","CA","Public - 2 Year","18064232","5790"
"118700","COLLEGE OF THE SISKIYOUS","WEED","CA","Public - 2 Year","4125072","1122"
"119701","COMPTON COMMUNITY COLLEGE","COMPTON","CA","Public - 2 Year","7973736","2397"
"119000","CONTRA COSTA COLLEGE","SAN PABLO","CA","Public - 2 Year","7843185","2367"
"119100","DIABLO VALLEY COLLEGE","PLEASANT HILL","CA","Public - 2 Year","11027761","3190"
"119200","CUESTA COLLEGE","SAN LUIS OBISPO","CA","Public - 2 Year","6590419","1939"
"119300","CYPRESS COLLEGE","CYPRESS","CA","Public - 2 Year","16245336","4746"
"119600","DOMINICAN UNIVERSITY OF CALIFORNIA","SAN RAFAEL","CA","Private - 4 Year","2039293","541"
"119700","EL CAMINO COLLEGE","TORRANCE","CA","Public - 2 Year","23356857","7332"
"119900","FOOTHILL COLLEGE","LOS ALTOS HILLS","CA","Public - 2 Year","4915912","1518"
"120100","FULLERTON COLLEGE","FULLERTON","CA","Public - 2 Year","20996530","5937"
"120200","GAVILAN COLLEGE","GILROY","CA","Public - 2 Year","5967911","1859"
"120300","GLENDALE COMMUNITY COLLEGE","GLENDALE","CA","Public - 2 Year","26007852","7628"
"120500","GOLDEN GATE UNIVERSITY","SAN FRANCISCO","CA","Private - 4 Year","532993","178"
"120600","GOLDEN WEST COLLEGE","HUNTINGTON BEACH","CA","Public - 2 Year","13929268","3812"
"120800","GROSSMONT COLLEGE","EL CAJON","CA","Public - 2 Year","16090787","4827"
"120900","HARTNELL COMMUNITY COLLEGE","SALINAS","CA","Public - 2 Year","10647541","3142"
"121200","HUMPHREYS COLLEGE","STOCKTON","CA","Private - 4 Year","2774846","770"
"121400","IMPERIAL VALLEY COLLEGE","IMPERIAL","CA","Public - 2 Year","17895330","4896"
"121500","LA SIERRA UNIVERSITY","RIVERSIDE","CA","Private - 4 Year","4243223","1026"
"121600","UNIVERSITY OF LA VERNE","LA VERNE","CA","Private - 4 Year","9494271","2634"
"121700","LASSEN COLLEGE","SUSANVILLE","CA","Public - 2 Year","1798766","491"
"121800","LOMA LINDA UNIVERSITY","LOMA LINDA","CA","Private - 4 Year","1695952","427"
"121900","LONG BEACH CITY COLLEGE","LONG BEACH","CA","Public - 2 Year","42404610","12531"
"122000","MASTER'S COLLEGE & SEMINARY (THE)","SANTA CLARITA","CA","Private - 4 Year","1672047","456"
"2226000","EAST LOS ANGELES COLLEGE","MONTEREY PARK","CA","Public - 2 Year","38425289","11319"
"122300","LOS ANGELES CITY COLLEGE","LOS ANGELES","CA","Public - 2 Year","27913144","7872"
"122400","LOS ANGELES HARBOR COLLEGE","WILMINGTON","CA","Public - 2 Year","12822948","3852"
"122600","LOS ANGELES PIERCE COLLEGE","WOODLAND HILLS","CA","Public - 2 Year","26116162","7830"
"122700","LOS ANGELES TRADE TECH COLLEGE","LOS ANGELES","CA","Public - 2 Year","20909534","6137"
"122800","LOS ANGELES VALLEY COLLEGE","VALLEY GLEN","CA","Public - 2 Year","23289872","6775"
"122900","SO CA UNIV  HEALTH SCIENCES","WHITTIER","CA","Private - 4 Year","12301","6"
"123200","AMERICAN RIVER COLLEGE","SACRAMENTO","CA","Public - 2 Year","35270591","10830"
"123300","SACRAMENTO CITY COLLEGE","SACRAMENTO","CA","Public - 2 Year","25385065","7792"
"1164900","LOYOLA MARYMOUNT UNIVERSITY","LOS ANGELES","CA","Private - 4 Year","5166408","1221"
"123600","MENLO COLLEGE","ATHERTON","CA","Private - 4 Year","1060161","249"
"123700","MERCED COMMUNITY COLLEGE","MERCED","CA","Public - 2 Year","19560535","5926"
"123800","MILLS COLLEGE","OAKLAND","CA","Private - 4 Year","2011349","475"
"123900","MIRACOSTA COLLEGE","OCEANSIDE","CA","Public - 2 Year","7078408","2000"
"124000","MODESTO JUNIOR COLLEGE","MODESTO","CA","Public - 2 Year","25987033","7996"
"369110","MIDDLEBURY COLLEGE - MONTEREY INSTITUTE","MONTEREY","CA","Private - 4 Year","34325","10"
"124200","MONTEREY PENINSULA COLLEGE","MONTEREY","CA","Public - 2 Year","5053917","1538"
"124300","MOUNT ST MARYS COLLEGE","LOS ANGELES","CA","Private - 4 Year","5905239","1478"
"124500","MT. SAN ANTONIO COLLEGE","WALNUT","CA","Public - 2 Year","41680676","12355"
"124600","MT SAN JACINTO COLLEGE","SAN JACINTO","CA","Public - 2 Year","17303856","6123"
"124700","NAPA VALLEY COLLEGE","NAPA","CA","Public - 2 Year","6325549","1961"
"124900","OCCIDENTAL COLLEGE","LOS ANGELES","CA","Private - 4 Year","2005790","467"
"125000","ORANGE COAST COLLEGE - FIN AID OFF","COSTA MESA","CA","Public - 2 Year","16483134","4506"
"125100","OTIS COLLEGE OF ART AND DESIGN","LOS ANGELES","CA","Private - 4 Year","2622047","557"
"125200","HOPE INTERNATIONAL UNIVERSITY","FULLERTON","CA","Private - 4 Year","1914273","514"
"125300","FRESNO PACIFIC UNIVERSITY","FRESNO","CA","Private - 4 Year","6376364","1796"
"125500","PACIFIC OAKS COLLEGE","PASADENA","CA","Private - 4 Year","990125","320"
"125800","PACIFIC UNION COLLEGE","ANGWIN","CA","Private - 4 Year","2776746","668"
"125900","PALO VERDE COLLEGE","BLYTHE","CA","Public - 2 Year","1449082","387"
"126000","PALOMAR COLLEGE","SAN MARCOS","CA","Public - 2 Year","14891577","4467"
"126100","PASADENA CITY COLLEGE","PASADENA","CA","Public - 2 Year","28391168","7259"
"126200","POINT LOMA NAZARENE UNIVERSITY","SAN DIEGO","CA","Private - 4 Year","2803720","675"
"1014900","PEPPERDINE UNIVERSITY","MALIBU","CA","Private - 4 Year","3793771","910"
"126600","LANEY COLLEGE","OAKLAND","CA","Public - 2 Year","12709708","3566"
"126700","MERRITT COLLEGE","OAKLAND","CA","Public - 2 Year","6467698","1831"
"126800","PORTERVILLE COLLEGE","PORTERVILLE","CA","Public - 2 Year","8493774","2439"
"126900","RIO HONDO COLLEGE","WHITTIER","CA","Public - 2 Year","17408214","5478"
"127000","RIVERSIDE CITY COLLEGE","RIVERSIDE","CA","Public - 2 Year","20540247","7081"
"127200","SAN BERNARDINO VALLEY COLLEGE","SAN BERNARDINO","CA","Public - 2 Year","19604988","5909"
"127300","SAN DIEGO CITY COLLEGE","SAN DIEGO","CA","Public - 2 Year","22692233","6653"
"127500","SAN DIEGO MESA COLLEGE","SAN DIEGO","CA","Public - 2 Year","18578666","5220"
"127800","SAN FRANCISCO CONSERVATORY OF MUSIC","SAN FRANCISCO","CA","Private - 4 Year","290467","64"
"128000","SAN JOAQUIN DELTA COLLEGE","STOCKTON","CA","Public - 2 Year","27660300","8309"
"128100","WILLIAM JESSUP UNIVERSITY","ROCKLIN","CA","Private - 4 Year","1942658","516"
"128200","SAN JOSE CITY COLLEGE","SAN JOSE","CA","Public - 2 Year","8244332","2322"
"128400","SANTA ANA COLLEGE","SANTA ANA","CA","Public - 2 Year","12608380","3802"
"128500","SANTA BARBARA CITY COLLEGE","SANTA BARBARA","CA","Public - 2 Year","17186175","4967"
"128600","SANTA MONICA COLLEGE","SANTA MONICA","CA","Public - 2 Year","28577600","8341"
"128700","SANTA ROSA JUNIOR COLLEGE","SANTA ROSA","CA","Public - 2 Year","15641144","4686"
"128900","SHASTA COLLEGE","REDDING","CA","Public - 2 Year","14292084","4115"
"129000","SIERRA COLLEGE","ROCKLIN","CA","Public - 2 Year","22987526","6917"
"129100","SIMPSON UNIVERSITY","REDDING","CA","Private - 4 Year","2701922","693"
"129200","SOLANO COMMUNITY COLLEGE","FAIRFIELD","CA","Public - 2 Year","9369349","3048"
"129300","VANGUARD UNIVERSITY OF SOUTHERN CA","COSTA MESA","CA","Private - 4 Year","3400637","887"
"129400","SOUTHWESTERN COLLEGE","CHULA VISTA","CA","Public - 2 Year","21293389","5765"
"130200","SAINT MARY'S COLLEGE OF CALIFORNIA","MORAGA","CA","Private - 4 Year","3772967","921"
"130500","STANFORD UNIVERSITY","STANFORD","CA","Private - 4 Year","4679894","1117"
"130700","FRESNO CITY COLLEGE","FRESNO","CA","Public - 2 Year","33277977","10283"
"130800","REEDLEY COLLEGE","REEDLEY","CA","Public - 2 Year","17038744","5086"
"130900","TAFT COLLEGE","TAFT","CA","Public - 2 Year","4006783","1155"
"131200","UNIVERSITY OF CALIFORNIA-BERKELEY","BERKELEY","CA","Public - 4 Year","39006072","9216"
"131300","UNIVERSITY OF CALIFORNIA-DAVIS","DAVIS","CA","Public - 4 Year","48908715","11193"
"131400","UNIVERSITY OF CALIFORNIA-IRVINE","IRVINE","CA","Public - 4 Year","44074781","9878"
"131500","UNIVERSITY OF CALIFORNIA (UCLA)","LOS ANGELES","CA","Public - 4 Year","46571295","10847"
"131600","UNIVERSITY OF CALIFORNIA-RIVERSIDE","RIVERSIDE","CA","Public - 4 Year","47633164","10975"
"131700","UNIVERSITY OF CALIFORNIA-SAN DIEGO","LA JOLLA","CA","Public - 4 Year","43938603","9880"
"132000","UNIVERSITY OF CALIFORNIA-SANTA BARB","SANTA BARBARA","CA","Public - 4 Year","32740591","7493"
"132100","UNIVERSITY OF CALIFORNIA-SANTA CRUZ","SANTA CRUZ","CA","Public - 4 Year","31677437","7243"
"132200","UNIVERSITY OF REDLANDS","REDLANDS","CA","Private - 4 Year","4637406","1258"
"132500","UNIVERSITY OF SAN FRANCISCO","SAN FRANCISCO","CA","Private - 4 Year","6856818","1700"
"132600","SANTA CLARA UNIVERSITY","SANTA CLARA","CA","Private - 4 Year","3005913","723"
"132800","UNIVERSITY OF SOUTHERN CALIFORNIA","LOS ANGELES","CA","Private - 4 Year","18912183","4431"
"132900","UNIVERSITY OF THE PACIFIC","STOCKTON","CA","Private - 4 Year","6872237","1618"
"133400","VENTURA COLLEGE","VENTURA","CA","Public - 2 Year","15044999","4436"
"133500","VICTOR VALLEY COLLEGE","VICTORVILLE","CA","Public - 2 Year","20861035","5911"
"133800","WEST VALLEY COLLEGE","SARATOGA","CA","Public - 2 Year","5746537","1825"
"133900","CORBAN UNIVERSITY","SALEM","OR","Private - 4 Year","1650885","416"
"134100","WESTMONT COLLEGE","SANTA BARBARA","CA","Private - 4 Year","1138615","285"
"134200","WHITTIER COLLEGE","WHITTIER","CA","Private - 4 Year","2732402","624"
"134300","WOODBURY UNIVERSITY","BURBANK","CA","Private - 4 Year","3198493","759"
"134400","YUBA COLLEGE","MARYSVILLE","CA","Public - 2 Year","12143404","3815"
"134500","ADAMS STATE COLLEGE","ALAMOSA","CO","Public - 4 Year","5320114","1377"
"134600","ARAPAHOE COMMUNITY COLLEGE","LITTLETON","CO","Public - 2 Year","10707123","3613"
"134700","COLORADO COLLEGE","COLORADO SPRINGS","CO","Private - 4 Year","845441","200"
"134800","COLORADO SCHOOL OF MINES","GOLDEN","CO","Public - 4 Year","2988401","755"
"134900","UNIVERSITY OF NORTHERN COLORADO","GREELEY","CO","Public - 4 Year","13693083","3525"
"135000","COLORADO STATE UNIVERSITY","FORT COLLINS","CO","Public - 4 Year","22958671","5895"
"135300","FORT LEWIS COLLEGE","DURANGO","CO","Public - 4 Year","5630939","1402"
"135500","LAMAR COMMUNITY COLLEGE","LAMAR","CO","Public - 2 Year","1320249","366"
"135800","COLORADO MESA UNIVERSITY","GRAND JUNCTION","CO","Public - 4 Year","15478042","4150"
"135900","COLORADO NORTHWESTERN COMMUNITY COLLEGE","RANGELY","CO","Public - 2 Year","1149098","304"
"136000","METROPOLITAN STATE CLG OF DENVER","DENVER","CO","Public - 4 Year","34531039","10246"
"136100","NORTHEASTERN JUNIOR COLLEGE","STERLING","CO","Public - 2 Year","2342213","653"
"136200","OTERO JUNIOR COLLEGE","LA JUNTA","CO","Public - 2 Year","2950266","846"
"136300","REGIS UNIVERSITY","DENVER","CO","Private - 4 Year","5865349","1748"
"136500","COLORADO STATE UNIVERSITY-PUEBLO","PUEBLO","CO","Public - 4 Year","9325814","2356"
"136800","TRINIDAD STATE JR COLLEGE","TRINIDAD","CO","Public - 2 Year","3765677","1030"
"137000","UNIVERSITY OF COLORADO-BOULDER","BOULDER","CO","Public - 4 Year","18846182","4705"
"137100","UNIVERSITY OF DENVER","DENVER","CO","Private - 4 Year","4095243","1057"
"137200","WESTERN STATE COLLEGE","GUNNISON","CO","Public - 4 Year","2710862","684"
"137400","ALBERTUS MAGNUS COLLEGE","NEW HAVEN","CT","Private - 4 Year","2968383","791"
"137800","CENTRAL CONNECTICUT STATE UNIV","NEW BRITAIN","CT","Public - 4 Year","12936154","3491"
"137900","CONNECTICUT COLLEGE","NEW LONDON","CT","Private - 4 Year","1022416","253"
"138000","WESTERN CONNECTICUT STATE UNIV","DANBURY","CT","Public - 4 Year","6284456","1655"
"138500","FAIRFIELD UNIVERSITY","FAIRFIELD","CT","Private - 4 Year","2412963","574"
"138900","HOLY APOSTLES COLLEGE & SEMINARY","CROMWELL","CT","Private - 4 Year","33201","12"
"139200","MANCHESTER COMMUNITY COLLEGE","MANCHESTER","CT","Public - 2 Year","9218481","3224"
"139300","MITCHELL COLLEGE","NEW LONDON","CT","Private - 4 Year","1291866","321"
"139700","UNIVERSITY OF NEW HAVEN","WEST HAVEN","CT","Private - 4 Year","4844622","1271"
"139800","NORTHWESTERN CT COMMUNITY COLLEGE","WINSTED","CT","Public - 2 Year","1701431","576"
"139900","NORWALK COMMUNITY TECHNICAL COLLEGE","NORWALK","CT","Public - 2 Year","7582549","2526"
"140100","POST UNIVERSITY","WATERBURY","CT","Proprietary - 4 Year","17687394","5247"
"140200","QUINNIPIAC UNIVERSITY","HAMDEN","CT","Private - 4 Year","3758836","928"
"140300","SACRED HEART UNIVERSITY","FAIRFIELD","CT","Private - 4 Year","2962671","767"
"140600","SOUTHERN CONNECTICUT STATE UNIV","NEW HAVEN","CT","Public - 4 Year","11878010","3092"
"140900","SAINT JOSEPH COLLEGE","WEST HARTFORD","CT","Private - 4 Year","1621794","405"
"141400","TRINITY COLLEGE","HARTFORD","CT","Private - 4 Year","1255072","309"
"141600","UNIVERSITY OF BRIDGEPORT","BRIDGEPORT","CT","Private - 4 Year","5220252","1434"
"141700","UNIVERSITY OF CONNECTICUT-STORRS","STORRS","CT","Public - 4 Year","21599069","5323"
"141704","UNIVERSITY OF CONNECTICUT","WATERBURY","CT","Public - 4 Year","5550","1"
