"OPE ID","Institution Name","Institution City","Institution State","Institution Type And Control","Total Awards","Total Recipients"
"2073500","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE","BATESVILLE","AR","Public - 2 Year","3813437","1063"
"2073700","NORTHWEST TECHNICAL INSTITUTE","SPRINGDALE","AR","Public - 2 Year","621779","209"
"2258600","ALAMEDA BEAUTY COLLEGE","ALAMEDA","CA","Proprietary - 2 Year","675363","193"
"2156200","DELTA - MONTROSE TECHNICAL COLLEGE","DELTA","CO","Public - 2 Year","396049","110"
"2116900","UPPER VALLEY JVS","PIQUA","OH","Public - 2 Year","271437","109"
"2073400","CARVER CAREER TECH ED CTR","CHARLESTON","WV","Public - 2 Year","569838","138"
"2178700","CITRUS HEIGHTS BEAUTY COLLEGE","CITRUS HEIGHTS","CA","Proprietary - 2 Year","214098","52"
"2073300","GALLIA-JACKSON-VINTON SCH ADULT ED","RIO GRANDE","OH","Public - 2 Year","304654","101"
"2075800","SOUTHERN CA INST OF ARCHITECTURE","LOS ANGELES","CA","Private - 4 Year","618969","133"
"2074400","IL EASTERN COMM COLGS-FRONTIER","FAIRFIELD","IL","Public - 2 Year","937461","278"
"2075700","BRIARCLIFFE COLLEGE","BETHPAGE","NY","Proprietary - 4 Year","7721679","1964"
"2280900","MID-ATLANTIC CHRISTIAN UNIVERSITY","ELIZABETH CITY","NC","Private - 4 Year","465557","122"
"656500","READING HOSPITAL SCHOOL OF HEALTH SCIENC","WEST READING","PA","Private - 2 Year","577281","163"
"2260800","HUERTAS JUNIOR COLLEGE","CAGUAS","PR","Proprietary - 2 Year","8186294","1968"
"661200","COVENANT SCH OF NSG & ALLIED HEALTH","LUBBOCK","TX","Private - 2 Year","519271","138"
"2140000","RIVERSIDE SCHOOL OF HEALTH CAREERS","NEWPORT NEWS","VA","Private - 2 Year","581134","194"
"2228100","MAC DANIEL'S BEAUTY SCHOOL","CHICAGO","IL","Proprietary - 2 Year","136946","35"
"2056400","CAPRI COSMETOLOGY LEARNING CENTER","NANUET","NY","Proprietary - 2 Year","624926","183"
"535600","TENNESSEE TECHNOLOGY CENTER AT HOHENWALD","HOHENWALD","TN","Public - 2 Year","997063","309"
"1168900","REFRIGERATION SCHOOL","PHOENIX","AZ","Proprietary - 2 Year","2337514","666"
"884400","CALIFORNIA CHRISTIAN COLLEGE","FRESNO","CA","Private - 4 Year","93102","21"
"2169900","ASSABET VALLEY REGIONAL VOC SCHOOL","MARLBOROUGH","MA","Public - 2 Year","139645","31"
"2203400","NEVADA REGIONAL TECHNICAL CENTER","NEVADA","MO","Public - 2 Year","64450","13"
"1016100","LORAINE'S ACADEMY, INC","ST PETERSBURG","FL","Proprietary - 2 Year","490146","167"
"552600","SOUTH CENTRAL LOUISIANA TECHNICAL COLG","MORGAN CITY","LA","Public - 2 Year","920885","287"
"2079400","EMPIRE BEAUTY SCHOOL","FRAMINGHAM","MA","Proprietary - 2 Year","1690564","460"
"2146400","INSTITUTE OF AMERICAN INDIAN ARTS","SANTA FE","NM","Public - 4 Year","727810","171"
"2136800","AMERICAN COMMERCIAL COLLEGE","SAN ANGELO","TX","Proprietary - 2 Year","395893","121"
"2074100","CAPITOL CITY TRADE & TECHNICAL SCH","AUSTIN","TX","Proprietary - 2 Year","1094885","346"
"2075300","PULASKI TECHNICAL COLLEGE","NORTH LITTLE ROCK","AR","Public - 2 Year","33426006","9190"
"2074800","LIFE UNIVERSITY","MARIETTA","GA","Private - 4 Year","2006600","496"
