"OPE_ID","NAME","CITY","STATE","Institution Type & Control","Total Recipients","Total Awards"
"989200","DULUTH BUSINESS UNIV, INC.","DULUTH","MN","Proprietary 4 Year","213","627408"
"662200","COLLEGE OF HEALTH SCIENCES - CHRV","ROANOKE","VA","Private 4 Year","360","1437448"
"989600","OAKTON COMMUNITY COLLEGE","DES PLAINES","IL","Public 2 Year","2498","7476133"
"989800","DEMMON SCHOOL OF BEAUTY","LAKE CHARLES","LA","Proprietary 2 Year","56","194779"
"989900","LOWELL ACADEMY HAIRSTYLING INST","LOWELL","MA","Proprietary 2 Year","72","191048"
"990200","SHERIDAN TECHNICAL CENTER","HOLLYWOOD","FL","Public 2 Year","753","2800333"
"990300","VANCE-GRANVILLE CMTY COLLEGE","HENDERSON","NC","Public 2 Year","2272","6714484"
"991000","TECHNICAL COLLEGE OF THE LOWCOUNTRY","BEAUFORT","SC","Public 2 Year","1851","5679739"
"991200","VOLUNTEER STATE COMMUNITY COLLEGE","GALLATIN","TN","Public 2 Year","3636","11521095"
"991400","ROANE STATE COMMUNITY COLLEGE","HARRIMAN","TN","Public 2 Year","3234","11183651"
"991700","IVY TECH COMMUNITY COLLEGE OF INDIANA","INDIANAPOLIS","IN","Public 2 Year","63301","192320777"
"992800","PIEDMONT VIRGINIA COMMUNITY COLLEGE","CHARLOTTESVILLE","VA","Public 2 Year","1880","5311546"
"993000","UNIVERSITY OF TEXAS-PERMIAN BASIN","ODESSA","TX","Public 4 Year","1459","5518863"
"993200","TEXAS STATE TECH CLG-WEST TEXAS","SWEETWATER","TX","Public 2 Year","768","2217828"
"993600","MIDDLESEX COMMUNITY COLLEGE","BEDFORD","MA","Public 2 Year","3833","11993390"
"640400","NEBR METHODIST CLG OF NURS ALLD HLTH","OMAHA","NE","Private 4 Year","279","994054"
"994100","BELMONT TECHNICAL COLLEGE","SAINT CLAIRSVILLE","OH","Public 2 Year","982","3369459"
"994200","SHAWNEE STATE UNIVERSITY","PORTSMOUTH","OH","Public 4 Year","2494","10030118"
"1009800","NEUMONT UNIVERSITY","S JORDAN","UT","Proprietary 4 Year","217","906006"
"996200","LUNA COMMUNITY COLLEGE","LAS VEGAS","NM","Public 2 Year","581","2159912"
"996300","CADDO KIOWA VOC TECH CENTER","FORT COBB","OK","Public 2 Year","150","555132"
"996400","CENTRAL OKLAHOMA AREA VOC TECH SCH","DRUMRIGHT","OK","Public 2 Year","114","370943"
"996500","CANADIAN VALLEY TECHNOLOGY CENTER","EL RENO","OK","Public 2 Year","185","607342"
"996800","GORDON COOPER TECHNOLOGY CENTER","SHAWNEE","OK","Public 2 Year","208","725776"
"997600","COLLEGE OF THE OUACHITAS","MALVERN","AR","Public 2 Year","664","2341607"
"569900","GEORGE C WALLACE STATE CMTY COLLEGE","SELMA","AL","Public 2 Year","1706","6299732"
"998100","MORGAN COMMUNITY COLLEGE","FORT MORGAN","CO","Public 2 Year","680","2125080"
"998200","VICTORY UNIVERSITY","MEMPHIS","TN","Proprietary 4 Year","1406","4960898"
"998700","SAINT ANTHONY COLLEGE OF NURSING","ROCKFORD","IL","Private 4 Year","102","358006"
"998900","SANTA BARBARA BUSINESS COLLEGE","SANTA BARBARA","CA","Proprietary 4 Year","458","1664242"
"999400","PASSAIC COUNTY COMMUNITY COLLEGE","PATERSON","NJ","Public 2 Year","6206","21019019"
"1001000","AMERICAN SAMOA CMNTY COLLEGE","PAGO PAGO","AS","Public 4 Year","1317","4748220"
"1001400","GARRETT COMMUNITY COLLEGE","MCHENRY","MD","Public 2 Year","491","1860937"
"502200","BAYAMON CENTRAL UNIVERSITY","BAYAMON","PR","Private 4 Year","1515","6404697"
"1001900","UNIV OF TEXAS SOUTHWESTERN MED CTR","DALLAS","TX","Public 4 Year","2","2266"
"1002000","LEWIS AND CLARK COMMUNITY COLLEGE","GODFREY","IL","Public 2 Year","2455","7436545"
"1002700","JAMES A. RHODES STATE COLLEGE","LIMA","OH","Public 2 Year","1880","6256853"
"1004300","BON SECOURS MEMORIAL COLLEGE OF NURSING","RICHMOND","VA","Private 4 Year","114","377498"
"1005100","LA GUARDIA CMTY COLLEGE - CUNY","LONG ISLAND CITY","NY","Public 2 Year","11000","40421292"
"1005200","JEFFERSON-LEWIS BOCES PRAC NRSGPRG","WATERTOWN","NY","Public 2 Year","78","294062"
"1005300","INDIAN CAPITAL TECHNOLGY CENTER #4","MUSKOGEE","OK","Public 2 Year","368","1504171"
"1005600","AIKEN TECHNICAL COLLEGE","AIKEN","SC","Public 2 Year","1853","6003467"
"1005900","AMERICAN COMMERCIAL COLLEGE","ODESSA","TX","Proprietary 2 Year","191","629642"
"1006000","VERNON COLLEGE","VERNON","TX","Public 2 Year","1673","5778492"
"1018200","ROGUE COMMUNITY COLLEGE","GRANTS PASS","OR","Public 2 Year","4302","13833768"
"1009700","CUNY-MEDGAR W EVERS COLLEGE","BROOKLYN","NY","Public 4 Year","4614","18608288"
"1011100","CERRO-COSO COMMUNITY COLLEGE","RIDGECREST","CA","Public 2 Year","1286","3719325"
"1011500","UNIVERSITY OF TEXAS-SAN ANTONIO","SAN ANTONIO","TX","Public 4 Year","10986","44097767"
"1012200","PHAGANS' MEDFORD BEAUTY SCHOOL","MEDFORD","OR","Proprietary 2 Year","88","309752"
"1013000","WADE COLLEGE","DALLAS","TX","Proprietary 4 Year","191","801374"
"1013800","STEWART SCHOOL","SIOUX FALLS","SD","Proprietary 2 Year","91","385770"
"1014200","TOURO COLLEGE","NEW YORK","NY","Private 4 Year","3675","15460529"
"1014700","WESTERN SUFFOLK BOCES","NORTHPORT","NY","Public 2 Year","172","589726"
"1014800","COLORADO TECHNICAL UNIVERSITY","COLORADO SPRINGS","CO","Proprietary 4 Year","22850","72101792"
"1015100","VINCENNES BEAUTY COLLEGE","VINCENNES","IN","Proprietary 2 Year","39","133959"
"1016800","NATIONWIDE BEAUTY ACADEMY","COLUMBUS","OH","Proprietary 2 Year","99","359639"
"1017000","WESTERN DAKOTA TECHNICAL INSTITUTE","RAPID CITY","SD","Public 2 Year","774","2881334"
"1017600","WESTMORELAND COUNTY COMMUNITY CLG","YOUNGWOOD","PA","Public 2 Year","3120","10003722"
"1019500","ART INSTITUTE OF FT LAUDERDALE","FORT LAUDERDALE","FL","Proprietary 4 Year","1612","5700195"
"1019800","ECPI UNIVERSITY","VIRGINIA BEACH","VA","Proprietary 4 Year","8909","35384522"
"2160307","INTERNATIONAL ACADEMY OF DESIGN & TECH","NASHVILLE","TN","Proprietary 4 Year","99","387697"
"3052000","MEREDITH MANOR EQUESTRIAN CENTRE","WAVERLY","WV","Proprietary 2 Year","86","330754"
"150601","MIAMI DADE COLLEGE - NORTH CAMPUS","MIAMI","FL","Public 4 Year","10191","38330441"
"1024800","ART INSTITUTES INTL MINNESOTA","MINNEAPOLIS","MN","Proprietary 4 Year","869","2907288"
"1025600","BENEDICTINE COLLEGE","ATCHISON","KS","Private 4 Year","450","1801783"
"1026400","SOUTH COLLEGE","ASHEVILLE","NC","Proprietary 4 Year","325","1124447"
"1026600","HILLSDALE FREE WILL BAPTIST COLLEGE","MOORE","OK","Private 4 Year","108","449531"
"1028000","OHIO STATE BEAUTY ACADEMY","LIMA","OH","Proprietary 2 Year","159","627568"
"1028600","EMPIRE STATE COLLEGE","SARATOGA SPRINGS","NY","Public 4 Year","5995","20138225"
"1031900","MEDIX SCHOOL","TOWSON","MD","Proprietary 2 Year","3594","12367808"
"1032300","HANNAH E MULLINS SCH-PRAC NRSG","SALEM","OH","Public 2 Year","62","240028"
"1034000","LOS MEDANOS COLLEGE","PITTSBURG","CA","Public 2 Year","2939","9855391"
"1034200","SOUTHERN OKLAHOMA TECHNOLOGY CENTER","ARDMORE","OK","Public 2 Year","79","285824"
"1034300","COLLEGE OF MICRONESIA - FSM","KOLONIA, POHNPEI","FM","Public 2 Year","2678","10686354"
"1034500","CINCINNATI STATE TECH & COMM CLG","CINCINNATI","OH","Public 2 Year","6524","15635659"
"1035600","EVEREST INSTITUTE","CROSS LANES","WV","Proprietary 2 Year","548","1699177"
"1036200","COLLEGE OF SOUTHERN NEVADA","LAS VEGAS","NV","Public 4 Year","15169","42760688"
"2107700","TRUCKEE MEADOWS COMMUNITY CLG","RENO","NV","Public 2 Year","3982","12054984"
"1036400","WHATCOM COMMUNITY COLLEGE","BELLINGHAM","WA","Public 2 Year","1954","6266393"
"1037400","METROPOLITAN STATE UNIVERSITY","ST PAUL","MN","Public 4 Year","3968","12970766"
"1037800","RABBINICAL COLLEGE OF LONG ISLAND","LONG BEACH","NY","Private 4 Year","45","203125"
"1038700","EL PASO COMMUNITY COLLEGE","EL PASO","TX","Public 2 Year","15889","57014877"
"1038800","READING AREA COMMUNITY COLLEGE","READING","PA","Public 2 Year","3555","10311813"
"1122000","WINDWARD COMMUNITY COLLEGE","KANEOHE","HI","Public 2 Year","1127","3700771"
"1039100","OKLAHOMA CITY COMMUNITY COLLEGE","OKLAHOMA CITY","OK","Public 2 Year","5004","15242171"
"2053000","LIBERTY UNIVERSITY","LYNCHBURG","VA","Private 4 Year","31043","106147959"
"1039500","UNIVERSITY OF SAN DIEGO","SAN DIEGO","CA","Private 4 Year","1042","4174096"
"1040200","DAKOTA COUNTY TECHNICAL COLLEGE","ROSEMOUNT","MN","Public 2 Year","1361","4243103"
"1040500","PINNACLE CAREER INSTITUTE","KANSAS CITY","MO","Proprietary 2 Year","1312","3924891"
"1040600","JOSEF'S SCHOOL OF HAIR DESIGN","GRAND FORKS","ND","Proprietary 2 Year","81","347182"
"1040900","LAFAYETTE BEAUTY ACADEMY","LAFAYETTE","IN","Proprietary 2 Year","94","327874"
"1041000","TESST COLLEGE OF TECHNOLOGY","TOWSON","MD","Proprietary 2 Year","415","1462179"
"1041700","MARINELLO SCHOOL OF BEAUTY","EAST HARTFORD","CT","Proprietary 2 Year","189","658633"
"1063300","HOUSTON COMMUNITY COLLEGE","HOUSTON","TX","Public 2 Year","28490","92545258"
"1042400","SALON PROFESSIONAL ACADEMY THE","LEXINGTON","KY","Proprietary 2 Year","225","884587"
"1043800","HASKELL INDIAN NATIONS UNIVERSITY","LAWRENCE","KS","Public 4 Year","601","2464264"
"1043900","SOUTHWEST TENNESSEE COMMUNITY COLLG","MEMPHIS","TN","Public 2 Year","7912","25595644"
"230302","OAKLAND COMMUNITY COLLEGE - ROYAL OAK CA","ROYAL OAK","MI","Public 2 Year","3005","9655911"
"1044700","PLAZA BEAUTY SCHOOL, INC.","MEMPHIS","TN","Proprietary 2 Year","113","353949"
"1045300","WASHINGTON STATE CMTY COLLEGE","MARIETTA","OH","Public 2 Year","749","2625321"
"1046000","AMERICAN BAPTIST THEOLOGICAL SEMINA","NASHVILLE","TN","Private 4 Year","99","432435"
"1047000","KALAMAZOO BEAUTY ACADEMY","PORTAGE","MI","Proprietary 2 Year","41","140627"
"1047400","MARYMOUNT COLLEGE OF PALOS VERDES","RANCHO PALOS VERDES","CA","Private 4 Year","424","1926142"
"1048700","WEST GEORGIA TECHNICAL COLLEGE","WACO","GA","Public 2 Year","5204","10693969"
"1048900","NATIONAL COLLEGE","INDIANAPOLIS","IN","Proprietary 4 Year","1776","6383209"
"1049000","REGENCY BEAUTY INSTITUTE","BROOKLYN PARK","MN","Proprietary 2 Year","7764","27738460"
"1049100","HENNEPIN TECHNICAL COLLEGE","BROOKLYN PARK","MN","Public 2 Year","3521","10339626"
"1050100","LAKEVIEW  COLLEGE OF NURSING","DANVILLE","IL","Private 4 Year","144","606303"
"1050300","WICHITA TECHNICAL INSTITUTE","WICHITA","KS","Proprietary 2 Year","1425","5132330"
